# model_name=pna_baseline
# seed=0
# started_at=20251114-233419
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.7042436599731445,0.6911051273345947,0.16895353523167697,0.5178216099739075,0.0,0.48688584566116333,0.0,0.0,0.0,0.0,0.0,0.37589216232299805,0.0,0.4778892695903778
2,0.6807836294174194,0.6897166967391968,0.13478152047504077,0.5178216099739075,0.0,0.48688584566116333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4778892695903778
3,0.6693382263183594,0.6880189776420593,0.13478152047504077,0.5178216099739075,0.0,0.48688584566116333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4778892695903778
4,0.6599196195602417,0.6863188147544861,0.14199046231806278,0.539033830165863,0.0,0.5216187238693237,0.0,0.0,0.016416845843195915,0.0,0.0,0.0,0.006936416029930115,0.4778892695903778
5,0.6533504724502563,0.6845372319221497,0.15875653516162525,0.5825954079627991,0.0,0.5492238998413086,0.0,0.0,0.07091715186834335,0.0,0.0,0.0,0.06569615751504898,0.4778892695903778
6,0.646781325340271,0.6826171875,0.17785978723656048,0.619480550289154,0.0,0.5955043435096741,0.0,0.0,0.11543534696102142,0.0,0.0,0.0,0.14814814925193787,0.4778892695903778
7,0.6410102248191833,0.6805696487426758,0.20766658132726495,0.7436663508415222,0.0,0.7006911039352417,0.0,0.0,0.13730570673942566,0.0,0.0,0.0,0.22477996349334717,0.4778892695903778
8,0.6350357532501221,0.6783311367034912,0.21798825873570007,0.7540508508682251,0.0,0.7408656477928162,0.0,0.0,0.12471283227205276,0.0,0.0,0.0,0.3003522455692291,0.4778892695903778
9,0.628840446472168,0.6758513450622559,0.26318050446835434,0.760866641998291,0.0,0.7915289998054504,0.0,0.0,0.07313738018274307,0.07317663729190826,0.0,0.365517258644104,0.3528693616390228,0.4778892695903778
10,0.6227466464042664,0.6730362772941589,0.2946003394370729,0.8395423889160156,0.0,0.850452184677124,0.0,0.0,0.0595155693590641,0.19479353725910187,0.0,0.365517258644104,0.45289352536201477,0.4778892695903778
11,0.6169256567955017,0.6698671579360962,0.315303735435009,0.8956344723701477,0.0,0.8844085931777954,0.0,0.0,0.05549774318933487,0.2845240533351898,0.0,0.365517258644104,0.5048696994781494,0.4778892695903778
12,0.6110352873802185,0.6663841605186462,0.33720782128247345,0.9388223886489868,0.0,0.8974003791809082,0.0,0.0,0.05158591270446777,0.3642994165420532,0.0,0.365517258644104,0.5270684361457825,0.5645922422409058
13,0.6054430603981018,0.6624786257743835,0.3561582246964628,0.962664008140564,0.0,0.9142348766326904,0.0,0.0,0.048234887421131134,0.5270721912384033,0.0,0.365517258644104,0.5335342884063721,0.5664829611778259
14,0.5997689962387085,0.6582956910133362,0.3712683357298374,0.9867173433303833,0.0,0.9435972571372986,0.0,0.0,0.042792003601789474,0.5709396600723267,0.0,0.365517258644104,0.5342019200325012,0.6401862502098083
