# model_name=fedavg_seed0
# seed=0
# started_at=20260319-144514
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.5544827116034263,0.5537598631203032,0.7413769391450015,0.9651124477386475,0.9600062966346741,0.9982998967170715,0.9998083114624023,0.4398297965526581,0.5624989867210388,0.7115481495857239,0.6417115926742554,0.5523982644081116,0.6550430655479431,0.6688895225524902
2,0.4275920207414746,0.4301729194111352,0.7636852643706582,0.9623528122901917,0.962207019329071,0.9996285438537598,0.9992457032203674,0.47454309463500977,0.6162109375,0.6944133639335632,0.6801560521125793,0.681673526763916,0.6678984761238098,0.6622083783149719
3,0.3590679718174658,0.4891725414350596,0.736411373723637,0.9774723052978516,0.9733063578605652,0.9956901669502258,0.9986717700958252,0.3922957479953766,0.6082662343978882,0.7097896933555603,0.5443734526634216,0.5920594930648804,0.6502451300621033,0.6583547592163086
4,0.31542769094118717,0.5354429499021885,0.7492167868397452,0.9481902122497559,0.9780284762382507,0.9720445275306702,0.9986627697944641,0.3913690149784088,0.6135831475257874,0.7139614224433899,0.6650242209434509,0.6700735688209534,0.6434953808784485,0.6469519138336182
5,0.35965061504790125,0.7375320838909506,0.7308670580387115,0.8344711661338806,0.9907703399658203,0.9504783153533936,0.994918167591095,0.3872539699077606,0.6055775284767151,0.6898069977760315,0.6438273787498474,0.6615363955497742,0.6398966312408447,0.6410007476806641
6,0.295980596599208,0.6552703152122328,0.7523516822944988,0.9799628257751465,1.0,0.9860427379608154,0.9930421710014343,0.3892342150211334,0.6097416877746582,0.7166321277618408,0.6571142673492432,0.6488454937934875,0.6408258080482483,0.654427170753479
7,0.3049712065861493,0.6030049750938974,0.743981970982118,0.9940443634986877,0.9895430207252502,0.9893931746482849,0.9841709136962891,0.3892340362071991,0.6131134033203125,0.6637526154518127,0.6487745642662048,0.6151911616325378,0.648738443851471,0.647845983505249
8,0.29008595329474984,0.6630996560709596,0.7495627972212705,0.9722795486450195,0.9984309077262878,0.9838593602180481,0.9935979247093201,0.38918498158454895,0.601665198802948,0.7141817212104797,0.6707903742790222,0.6135470867156982,0.6526460647583008,0.6550076007843018
9,0.29642831557652394,0.5988429677649317,0.753758043050766,0.9916576743125916,0.9883288741111755,0.9855005741119385,0.9803513884544373,0.3891850411891937,0.6134372353553772,0.7278923392295837,0.6809194087982178,0.6146207451820374,0.658366858959198,0.6610783338546753
10,0.2915902244021415,0.5714033327133942,0.75477750192989,0.9590820670127869,0.9979130625724792,0.9668397903442383,0.9982876777648926,0.38985776901245117,0.6133120059967041,0.7321545481681824,0.687736451625824,0.6416535973548889,0.6581516861915588,0.6575638651847839
