# model_name=fedavg_seed0
# seed=0
# started_at=20260320-143631
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.7502273731615954,0.747799723199093,0.5032697672193701,0.6986980248581279,0.8004271984100342,0.37910354137420654,0.5191873908042908,0.5606479644775391,0.4312896132469177,0.49176570773124695,0.563004195690155,0.5615119338035583,0.0,0.6479541063308716,0.5810757875442505,0.9910871982574463,0.8679153919219971,0.9967544078826904,0.8781309723854065,0.425048828125,0.5437896847724915,0.6660553812980652,0.5085092782974243,0.43133702874183655,0.6843429207801819,0.6927071809768677
2,0.6886453368724921,0.6837496326819482,0.6283059011806141,0.719141420992938,0.6953865885734558,0.8637769222259521,0.5416373014450073,0.978202223777771,0.5402596592903137,0.3877939283847809,0.6557470560073853,0.5850919485092163,0.43344584107398987,0.6008564233779907,0.6291670203208923,0.9685186743736267,0.9800428152084351,0.9805281758308411,0.9980982542037964,0.5383399724960327,0.5433567762374878,0.6557076573371887,0.5068666338920593,0.3864388167858124,0.6712145209312439,0.6814433336257935
3,0.6116512422159914,0.6088838584880985,0.7436607480049133,0.759221840988506,0.9586402773857117,0.9566613435745239,0.9994569420814514,0.9988225698471069,0.5580008625984192,0.5786752104759216,0.6756800413131714,0.6157633066177368,0.5279240012168884,0.6493598222732544,0.6612838506698608,0.9912427663803101,0.988281786441803,0.9999980926513672,0.9999980926513672,0.6679898500442505,0.5906821489334106,0.6981262564659119,0.5877370238304138,0.45353615283966064,0.6806820034980774,0.6931660771369934
4,0.5425046437825912,0.5413600777268417,0.7390211874788458,0.7811948277733543,0.9605381488800049,0.959627091884613,0.9998213052749634,0.9971150159835815,0.5367506146430969,0.5770455598831177,0.6599081158638,0.5975527167320251,0.5272513628005981,0.6510904431343079,0.6625326871871948,0.9945964813232422,0.9923952221870422,1.0,1.0,0.7817829251289368,0.6002042889595032,0.7176455855369568,0.6326862573623657,0.5177252888679504,0.6667612791061401,0.6893457770347595
5,0.5020871339263496,0.4988432008139003,0.7484143647280607,0.8049469698559154,0.9619083404541016,0.9599133729934692,0.9998213052749634,0.997555673122406,0.5695558786392212,0.5914255976676941,0.6735780239105225,0.6116495728492737,0.5568978190422058,0.6508427262306213,0.6594097018241882,0.9953840374946594,0.9950217604637146,1.0,1.0,0.8369523882865906,0.6041080951690674,0.741463840007782,0.7104380130767822,0.6106082201004028,0.6709204316139221,0.6895198822021484
6,0.45347135473083666,0.45167335621445376,0.7541927803646434,0.8093240640380166,0.9605016112327576,0.9548198580741882,0.9998213052749634,0.9967356324195862,0.5950447916984558,0.5985897183418274,0.6696411967277527,0.6342949271202087,0.5779207348823547,0.6499494314193726,0.6588013768196106,0.9951336979866028,0.9953229427337646,1.0,1.0,0.8856745362281799,0.6013128161430359,0.7535978555679321,0.7171099185943604,0.5866752862930298,0.6741967797279358,0.6935408711433411
7,0.4068625570435227,0.4053569310246274,0.7736339948394082,0.8204286748712714,0.9593880772590637,0.9572857022285461,1.0,0.9982894062995911,0.7254936099052429,0.6029622554779053,0.6912448406219482,0.6547719240188599,0.612784206867218,0.6457269787788391,0.6620269417762756,0.9954723119735718,0.9964755773544312,1.0,1.0,0.9490669369697571,0.6067224144935608,0.7649422883987427,0.7335028052330017,0.6272990107536316,0.6621864438056946,0.689047634601593
8,0.40729467543490205,0.4046114673700603,0.7725906046954069,0.8343463594263251,0.9599287509918213,0.9680802822113037,1.0,0.9983449578285217,0.7277606129646301,0.6005256175994873,0.6753784418106079,0.6472510695457458,0.6078445911407471,0.651986300945282,0.6613960266113281,0.9965582489967346,0.9965158104896545,1.0,1.0,0.9874585270881653,0.6082088351249695,0.7755098342895508,0.7491281032562256,0.6818593144416809,0.6842037439346313,0.6983675360679626
9,0.3867962885470617,0.38652068989928506,0.7887299169193615,0.8348729285326871,0.9700190424919128,0.9615873694419861,0.998676598072052,0.994888424873352,0.8981374502182007,0.6022452712059021,0.6772915124893188,0.6563777327537537,0.6151166558265686,0.6515420079231262,0.650147020816803,0.997336208820343,0.9974573850631714,1.0,1.0,0.9861317276954651,0.6073959469795227,0.7687952518463135,0.7448610663414001,0.6910847425460815,0.6875919103622437,0.7029479742050171
10,0.3886006967925327,0.3884553142418216,0.7914148569107056,0.8365681063045155,0.9704539179801941,0.9831684231758118,0.9988346695899963,0.9964389801025391,0.9635868072509766,0.5949761867523193,0.667427122592926,0.6325562596321106,0.5939904451370239,0.6512433290481567,0.6528872847557068,0.99724942445755,0.9990312457084656,1.0,1.0,0.988052248954773,0.603732168674469,0.7785446047782898,0.7441522479057312,0.6992824673652649,0.6889694333076477,0.7032353281974792
11,0.3557350082056863,0.353968516541346,0.7931884635578502,0.8397493687543002,0.9734352231025696,0.9679880738258362,0.9990532398223877,0.9933561682701111,0.8811248540878296,0.6017931699752808,0.6908603310585022,0.6651325225830078,0.6489238142967224,0.6515085101127625,0.6518971920013428,0.9983519911766052,0.9983207583427429,1.0,1.0,0.9920915365219116,0.6062097549438477,0.783264696598053,0.7544968128204346,0.7215647101402283,0.683454155921936,0.699488639831543
12,0.3573088011680505,0.356723372544437,0.7893669009208679,0.8349765701727434,0.9631360173225403,0.9243125915527344,0.9992733597755432,0.9630330801010132,0.9518302083015442,0.6010140776634216,0.6817976236343384,0.6564852595329285,0.6268144845962524,0.6543015837669373,0.6610376238822937,0.9975517392158508,0.9991824626922607,1.0,1.0,0.987282931804657,0.6055577397346497,0.777263879776001,0.7349672317504883,0.6990527510643005,0.6840260624885559,0.6998574733734131
13,0.3434100307169415,0.3425107016675954,0.7978179400617426,0.8394243121147156,0.9720396399497986,0.9785975217819214,0.9992733597755432,0.9885566830635071,0.9545508027076721,0.6026985049247742,0.6816473603248596,0.6590610146522522,0.6340587735176086,0.6522322297096252,0.6532814502716064,0.9985535740852356,0.9985914826393127,1.0,1.0,0.9929841756820679,0.6050351858139038,0.7852426171302795,0.7514601349830627,0.7116790413856506,0.6891343593597412,0.7009868621826172
14,0.33359870871344766,0.3306730354764988,0.8022828643972223,0.840340641411868,0.9636279344558716,0.9835630059242249,0.9994783997535706,0.9888673424720764,0.9678753018379211,0.6022912263870239,0.6847938299179077,0.6688205599784851,0.6580750346183777,0.6479409337043762,0.6597779393196106,0.9982448816299438,0.9992875456809998,1.0,1.0,0.9956624507904053,0.602932870388031,0.7823202610015869,0.7498684525489807,0.7248882055282593,0.689609169960022,0.7009332180023193
15,0.3401166205004458,0.3373211150034054,0.79070875861428,0.8407482721588828,0.9894160628318787,0.9814698100090027,0.9971809983253479,0.9838032126426697,0.9371110200881958,0.5959843993186951,0.6275169849395752,0.6571753621101379,0.62222820520401,0.653172492980957,0.6527377963066101,0.9993000030517578,0.9995023012161255,1.0,1.0,0.9899812936782837,0.6056724786758423,0.7859219908714294,0.754507839679718,0.7259838581085205,0.6874907612800598,0.6998704671859741
16,0.33445771284155795,0.33396516758501743,0.8014662157405507,0.835584429177371,0.9913024306297302,0.9797199964523315,0.9966147541999817,0.971047580242157,0.9853463768959045,0.6050872206687927,0.6885308623313904,0.6680030822753906,0.6253311038017273,0.6516001224517822,0.6535448431968689,0.999306321144104,0.9997180104255676,1.0,1.0,0.9911245703697205,0.6083047986030579,0.7781245112419128,0.7422255873680115,0.6840288043022156,0.6898572444915771,0.6987388730049133
17,0.33550607153784223,0.33465783768062246,0.7992491884665056,0.8384087519212202,0.9916508197784424,0.968835175037384,0.9981540441513062,0.9750279188156128,0.964307427406311,0.603036642074585,0.6898502111434937,0.6664243340492249,0.6336680054664612,0.6518533825874329,0.6489331126213074,0.9993719458580017,0.9996339082717896,1.0,1.0,0.9911688566207886,0.6081885099411011,0.7828184962272644,0.750592052936554,0.7021817564964294,0.6893065571784973,0.6992341876029968
18,0.32169746053524506,0.3196406391584311,0.8064733201807196,0.8464956121011213,0.9916723370552063,0.9885750412940979,0.9979642033576965,0.9794002175331116,0.972685694694519,0.6144761443138123,0.6903041005134583,0.6703234314918518,0.663743793964386,0.6518837213516235,0.6501778364181519,0.9997206330299377,0.9998339414596558,1.0,0.9999930262565613,0.9933345913887024,0.6071143746376038,0.7976822257041931,0.7722944617271423,0.7516611814498901,0.6914318203926086,0.69838547706604
19,0.3224499455956749,0.32145556569753564,0.806800668889826,0.8438847444274209,0.9916773438453674,0.9827412962913513,0.9974028468132019,0.9747105240821838,0.9835083484649658,0.6109117865562439,0.7021343111991882,0.6662099361419678,0.6606331467628479,0.650068998336792,0.6548088192939758,0.9995731115341187,0.999803364276886,1.0,1.0,0.9930848479270935,0.6063526272773743,0.7918255925178528,0.7647314071655273,0.7409288287162781,0.6901729702949524,0.6962594389915466
20,0.3300099816077795,0.3297068858572521,0.7935411008921537,0.8413569276983087,0.9719111919403076,0.898769199848175,0.9988601207733154,0.9610300660133362,0.9744651913642883,0.6117315888404846,0.7024878263473511,0.6661275625228882,0.6367416977882385,0.6512206792831421,0.6556069850921631,0.9996402263641357,0.9999340176582336,1.0,0.999994695186615,0.9869916439056396,0.6081302762031555,0.7928390502929688,0.7569596767425537,0.7239177823066711,0.6910846829414368,0.6954341530799866
21,0.3305916448870858,0.3304534169410533,0.7949570146473971,0.8405898050828413,0.9821259379386902,0.9418489336967468,0.9992733597755432,0.9561096429824829,0.9471902847290039,0.6057209372520447,0.6848684549331665,0.6696545481681824,0.6539852023124695,0.6517800688743591,0.6519697904586792,0.9996517300605774,0.9998053312301636,1.0,0.9999850988388062,0.9914407730102539,0.60709148645401,0.7880055904388428,0.7533504366874695,0.7132093906402588,0.6920198202133179,0.7019281983375549
22,0.3299517910995763,0.3278372913922084,0.8027036460963163,0.8424414125355807,0.9950856566429138,0.9875999093055725,0.9979652166366577,0.979169487953186,0.960798442363739,0.6092870831489563,0.6878024935722351,0.6684644222259521,0.6436783075332642,0.6513300538063049,0.648559033870697,0.9997734427452087,0.999878466129303,1.0,1.0,0.9971639513969421,0.6091779470443726,0.7925277352333069,0.7604827880859375,0.7167178392410278,0.6931320428848267,0.6980013251304626
23,0.3230383092667157,0.32091755594357346,0.8013262152671814,0.8389877731149847,0.9945083856582642,0.9805189371109009,0.9968239068984985,0.9850246906280518,0.9475990533828735,0.6161091923713684,0.6959107518196106,0.6664635539054871,0.6314860582351685,0.6515365839004517,0.6486072540283203,0.999439001083374,0.9993578791618347,1.0,0.9999979734420776,0.9935937523841858,0.6081702709197998,0.7878873348236084,0.7494402527809143,0.6951380372047424,0.6932796239852905,0.7025613784790039
24,0.32133420330264195,0.31906319798430094,0.8042402863502502,0.8406191630796953,0.9883920550346375,0.9913963675498962,0.9987019300460815,0.9943667650222778,0.9674043655395508,0.6115624308586121,0.6923859715461731,0.668298065662384,0.6298376321792603,0.6529172658920288,0.6513803005218506,0.9995172023773193,0.9997376799583435,1.0,1.0,0.9935160279273987,0.60891193151474,0.7898082733154297,0.753279983997345,0.7052448391914368,0.6947263479232788,0.7020685076713562
25,0.32586540330897323,0.3234127110140407,0.8062747283415361,0.8406459201465953,0.9876594543457031,0.9899516701698303,0.999038815498352,0.9899778366088867,0.9854860901832581,0.6127691268920898,0.6941176652908325,0.6672471165657043,0.6394413113594055,0.6539905071258545,0.64934241771698,0.9994903802871704,0.9999002814292908,1.0,1.0,0.9921020269393921,0.6094610691070557,0.7918871641159058,0.7542429566383362,0.7038049101829529,0.6932491064071655,0.7029672265052795
26,0.315810868755365,0.31232835585902746,0.8069355650381609,0.8418637026440013,0.9912837743759155,0.9835153222084045,0.9985219836235046,0.9937140345573425,0.9627363681793213,0.6124063730239868,0.699483335018158,0.6726359128952026,0.6582116484642029,0.6526728272438049,0.6511096358299255,0.9998698830604553,0.9996529221534729,1.0,0.9999409914016724,0.9926643967628479,0.6081382036209106,0.7928745150566101,0.7571041584014893,0.7114812731742859,0.6955126523971558,0.7032617330551147
27,0.32097980358225087,0.31920804647266005,0.8030356873165477,0.8410009795969183,0.9976339936256409,0.9887853264808655,0.9968780875205994,0.9898447394371033,0.9758234620094299,0.6104934811592102,0.6896031498908997,0.6707103252410889,0.6127461194992065,0.651851236820221,0.64902263879776,0.9998219013214111,0.9997901916503906,1.0,1.0,0.997682511806488,0.6099504828453064,0.7962820529937744,0.750180184841156,0.6963140964508057,0.6962125897407532,0.7047767639160156
28,0.3199291026199257,0.31762208152154126,0.8022229129617865,0.8393117460337552,0.9958975911140442,0.9933129549026489,0.9957244992256165,0.9933783411979675,0.9602887034416199,0.6073582768440247,0.6905825734138489,0.6699707508087158,0.6174997091293335,0.6515119671821594,0.6489266753196716,0.9999036192893982,0.9998311400413513,1.0,0.9999792575836182,0.9956175684928894,0.6096662282943726,0.7912271022796631,0.746701180934906,0.6894367337226868,0.6957952976226807,0.7042710781097412
29,0.31757577817081967,0.3154702308652118,0.8031302365389738,0.8427826545455239,0.9871864318847656,0.9778268337249756,0.9992443919181824,0.9868146777153015,0.9589058756828308,0.6114962697029114,0.6965070366859436,0.6711177825927734,0.6371289491653442,0.653407633304596,0.6547967195510864,0.9998234510421753,0.9998063445091248,1.0,1.0,0.9933580160140991,0.6098393201828003,0.7955231070518494,0.7614728212356567,0.7109845876693726,0.6943727135658264,0.7054288387298584
30,0.31850015844180907,0.31740016057607895,0.8015709627758373,0.8350886648351495,0.9840658903121948,0.9936798214912415,0.9992297887802124,0.9949438571929932,0.970660924911499,0.609722912311554,0.6957892775535583,0.6671182513237,0.597713053226471,0.653101921081543,0.6512548923492432,0.9997632503509521,0.9997090697288513,1.0,0.9999897480010986,0.98666912317276,0.6073364019393921,0.7840675115585327,0.7383326888084412,0.6712693572044373,0.6939178109169006,0.7049203515052795
31,0.32415897538373756,0.32385163028136965,0.7972854484211315,0.8403519121083346,0.9947017431259155,0.9742501378059387,0.9985176920890808,0.9887531399726868,0.903378427028656,0.6112798452377319,0.6908882856369019,0.6681483387947083,0.6394060850143433,0.6518895626068115,0.6489266753196716,0.9998587369918823,0.999509871006012,1.0,0.9998482465744019,0.9977588057518005,0.6094018220901489,0.7914563417434692,0.7494087219238281,0.6977832913398743,0.694572389125824,0.7042728066444397
32,0.32207912599647437,0.3221012651566577,0.8005486184900458,0.836512869054621,0.9954376220703125,0.9764896631240845,0.9962947964668274,0.9909581542015076,0.9666823148727417,0.6088405847549438,0.689987301826477,0.6677905321121216,0.6120702028274536,0.6524689197540283,0.6490147113800049,0.9998718500137329,0.9996463656425476,1.0,0.9999939203262329,0.9960529208183289,0.6093330979347229,0.7862347364425659,0.7352067232131958,0.6760939359664917,0.6946886777877808,0.7045193314552307
33,0.31623566772911577,0.3136755913322113,0.7987578727982261,0.8387884985316884,0.9930674433708191,0.9842227101325989,0.9985219836235046,0.9943410158157349,0.8957806825637817,0.610619843006134,0.699506402015686,0.6676948666572571,0.6422342658042908,0.6515043377876282,0.6488430500030518,0.9998982548713684,0.9996633529663086,1.0,1.0,0.9958170652389526,0.6110650300979614,0.787858247756958,0.7452296018600464,0.6862705945968628,0.6960713267326355,0.704800009727478
34,0.31722182286528006,0.3169562438823926,0.8034341010180387,0.8345870646563444,0.9968854188919067,0.9888478517532349,0.9966892004013062,0.9924846887588501,0.9743019342422485,0.610357403755188,0.6903836131095886,0.6652899980545044,0.6201134920120239,0.6533153057098389,0.6491062045097351,0.9999008774757385,0.999678909778595,1.0,1.0,0.9931744337081909,0.6103084683418274,0.7834581732749939,0.7317466735839844,0.6628838181495667,0.6941182017326355,0.7051881551742554
35,0.31741712064970107,0.3166224311648087,0.8030532869425687,0.8384679881009188,0.9959365129470825,0.9825229644775391,0.9988733530044556,0.9902293086051941,0.96578049659729,0.6103716492652893,0.7002912759780884,0.6684578657150269,0.6206514239311218,0.6516282558441162,0.6488430500030518,0.999861478805542,0.999657928943634,1.0,1.0,0.9957246780395508,0.6108759641647339,0.7912295460700989,0.7434990406036377,0.6831762790679932,0.6949453949928284,0.7041775584220886
36,0.3144239189423921,0.31410987056928696,0.8024276061491533,0.8391350345178084,0.9956409335136414,0.9813535809516907,0.9984955191612244,0.9868243932723999,0.978735089302063,0.6115039587020874,0.6916182637214661,0.6678202748298645,0.6135979294776917,0.6523545384407043,0.6487591862678528,0.9998646378517151,0.9997864365577698,1.0,1.0,0.9908173084259033,0.6116471886634827,0.7901734709739685,0.7484757900238037,0.6917749643325806,0.6946443915367126,0.703301191329956
37,0.3083575760925209,0.3070921668684863,0.8051038872111927,0.8401545936411078,0.9976136684417725,0.9834820032119751,0.9974486231803894,0.994539201259613,0.985015869140625,0.6108458042144775,0.703574001789093,0.6700662970542908,0.6111055612564087,0.6504114866256714,0.6520402431488037,0.9999691843986511,0.9995754957199097,1.0,0.9999979734420776,0.997134804725647,0.6113871932029724,0.7918679118156433,0.7495352625846863,0.694240391254425,0.6941860914230347,0.7038062214851379
38,0.3090934985941583,0.3078366080557977,0.8024403344501149,0.841152700510892,0.9978089928627014,0.98353511095047,0.9974278807640076,0.9937357306480408,0.9555192589759827,0.6104165315628052,0.6881182193756104,0.6686893701553345,0.62713623046875,0.6529360413551331,0.651520311832428,0.9999563694000244,0.9996373653411865,1.0,0.9999897480010986,0.9938229322433472,0.6116254329681396,0.7928687930107117,0.7518177032470703,0.7026395201683044,0.6952387690544128,0.7050830721855164
39,0.3148223477187174,0.31478821824801023,0.8047019243240356,0.8368283835324374,0.9964864253997803,0.9800135493278503,0.998497724533081,0.9892879724502563,0.9757619500160217,0.615931510925293,0.6980909109115601,0.6658893823623657,0.6309740543365479,0.6520881652832031,0.6486995220184326,0.9999369382858276,0.9992319941520691,1.0,0.999938428401947,0.9839769005775452,0.606872022151947,0.790350615978241,0.7402065396308899,0.6822439432144165,0.6968441009521484,0.7055107355117798
40,0.3123373018079625,0.31115318648069634,0.8052322918718512,0.8363529552112926,0.9981248378753662,0.9951218962669373,0.9981563687324524,0.9949836730957031,0.9740809202194214,0.6123169660568237,0.6961158514022827,0.6697115302085876,0.6181706190109253,0.6511533856391907,0.6496191620826721,0.9999294877052307,0.999577522277832,1.0,1.0,0.9904470443725586,0.6108174920082092,0.7875416874885559,0.738207995891571,0.6730810403823853,0.6957812905311584,0.7044989466667175
41,0.3242035668629866,0.325855544486186,0.797816048968922,0.8333728042515841,0.9964901208877563,0.971164882183075,0.9981420636177063,0.9736389517784119,0.947967529296875,0.613801121711731,0.6933635473251343,0.6694533824920654,0.6050873398780823,0.653680145740509,0.6531874537467957,0.9998562932014465,0.9992730021476746,1.0,0.9999959468841553,0.9906757473945618,0.6099622249603271,0.7839415669441223,0.730449914932251,0.652886688709259,0.6962756514549255,0.7037838101387024
42,0.3155901898176242,0.31980726987872166,0.7939875667745416,0.8315461386333812,0.9647875428199768,0.9686078429222107,0.9998153448104858,0.9806280136108398,0.9522985816001892,0.6048317551612854,0.6851435899734497,0.6479807496070862,0.6194828152656555,0.6549418568611145,0.6553451418876648,0.9999093413352966,0.9995611906051636,1.0,1.0,0.9892948269844055,0.6052412390708923,0.7783090472221375,0.7239261865615845,0.6500335335731506,0.695159375667572,0.705572783946991
43,0.3107842756060017,0.31318834946974244,0.8025834235278043,0.8350737853483721,0.9892653822898865,0.9790056943893433,0.9992710947990417,0.9945461750030518,0.9763057231903076,0.6110097765922546,0.6875119805335999,0.6642299890518188,0.6235752701759338,0.6541029214859009,0.6495936512947083,0.9999580979347229,0.9993096590042114,1.0,0.9999974966049194,0.9861377477645874,0.6060197353363037,0.7832956314086914,0.7385482788085938,0.6680724024772644,0.6972189545631409,0.707253634929657
