# model_name=fedavg_seed1
# seed=1
# started_at=20260422-145817
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.7288352749800308,0.729867034963871,0.4110489126337184,0.7574707269668579,0.6457650065422058,0.6136835813522339,0.5382935404777527,0.5527356863021851,0.3389328420162201,0.5295411944389343,0.23131676018238068,0.002146853134036064,0.0022038735914975405,0.5841583609580994,0.48276033997535706,0.9900087118148804,0.9897512197494507,0.9999955892562866,0.999920666217804,0.42310792207717896,0.6075882911682129,0.748379647731781,0.6589609980583191,0.5388739705085754,0.7006450891494751,0.6749458909034729
2,0.6719337896395479,0.67776988843242,0.4498742292211814,0.7708203413269736,0.6526986956596375,0.6914858818054199,0.6202982068061829,0.6833851933479309,0.3396904468536377,0.5273879170417786,0.21513183414936066,0.02827889658510685,0.04582744091749191,0.589057981967926,0.555374026298523,0.988523006439209,0.9849472045898438,1.0,1.0,0.42577123641967773,0.6137393712997437,0.7768253684043884,0.6997629404067993,0.5928280353546143,0.7088967561721802,0.6877298355102539
3,0.8502223356891572,0.861507537490327,0.3976314262994988,0.792079362002286,0.5796670913696289,0.5936590433120728,0.5991449356079102,0.5842990875244141,0.32323241233825684,0.5069305896759033,0.1313686966896057,0.0034599066711962223,0.0,0.5381786227226257,0.5140053033828735,0.9925903081893921,0.990740180015564,1.0,1.0,0.4361725449562073,0.6380666494369507,0.8049200177192688,0.7416467070579529,0.6775696277618408,0.7255178689956665,0.7056490778923035
4,1.0533386140953673,1.072643180478202,0.3900631095325066,0.8084589784795587,0.5683057904243469,0.5623840093612671,0.5941672325134277,0.5827211141586304,0.32253485918045044,0.5064181685447693,0.1282098889350891,0.001374570420011878,0.0,0.5170649886131287,0.5075135827064514,0.994139552116394,0.9964094161987305,1.0,1.0,0.4477911591529846,0.6466297507286072,0.828787624835968,0.7857545614242554,0.7402535676956177,0.7320036292076111,0.721279501914978
5,0.9239062151568689,0.9407892578884649,0.4340259862471033,0.8073986524885352,0.6209994554519653,0.6318308115005493,0.7299925088882446,0.7448551654815674,0.32348185777664185,0.507077693939209,0.1319146305322647,0.0035025763791054487,0.002061855746433139,0.5440194010734558,0.5345498919487,0.998234748840332,0.9971563220024109,1.0,1.0,0.45063695311546326,0.6450198888778687,0.8277090787887573,0.770720362663269,0.7228177785873413,0.7425214648246765,0.7265685796737671
6,0.9252390598443572,0.9443791689704437,0.4559330696409399,0.8080789013342424,0.6997590065002441,0.6351783275604248,0.7782220840454102,0.7723917961120605,0.32614871859550476,0.5090337991714478,0.13832299411296844,0.01612744852900505,0.00316682830452919,0.5713248252868652,0.5655879378318787,0.9991501569747925,0.9974550008773804,1.0,1.0,0.45115941762924194,0.645836591720581,0.8190799951553345,0.7788500785827637,0.7200452089309692,0.7430728673934937,0.7342185974121094
7,0.9570936698290861,0.9824743246961936,0.45977754247459496,0.8145444664088163,0.6601806879043579,0.6639641523361206,0.7368078231811523,0.8798196911811829,0.3374705910682678,0.5100578665733337,0.13873077929019928,0.013321802020072937,0.00316682830452919,0.5678716897964478,0.5461610555648804,0.997822642326355,0.9993209838867188,1.0,1.0,0.45655107498168945,0.6508505344390869,0.830710768699646,0.7871099710464478,0.7514975070953369,0.7505200505256653,0.7356055974960327
8,0.8913145897754591,0.9134303107808444,0.5012441070919688,0.8181682608344338,0.7502589225769043,0.7249711751937866,0.9230399131774902,0.9126259088516235,0.34225279092788696,0.5101411938667297,0.14293065667152405,0.0339030995965004,0.016585830599069595,0.5839834213256836,0.5729922652244568,0.9994164705276489,0.9995926022529602,1.0,1.0,0.4708216190338135,0.6601184010505676,0.8291810154914856,0.7978572845458984,0.7563172578811646,0.7477877736091614,0.7387584447860718
9,0.963028159078116,0.9893565321686209,0.49050529301166534,0.8256922255862843,0.7337315678596497,0.7235501408576965,0.8318395614624023,0.8671881556510925,0.3567076623439789,0.5100910067558289,0.1565680056810379,0.03455609828233719,0.024088315665721893,0.5871326923370361,0.5701050162315369,0.9991990923881531,0.9992567300796509,1.0,1.0,0.4964313507080078,0.6710556745529175,0.8413262367248535,0.8066239356994629,0.7833880186080933,0.7475422620773315,0.7377911806106567
10,1.0087737598182789,1.0346502072914625,0.48485388793051243,0.8366792798042297,0.7443675994873047,0.6696822643280029,0.8668373823165894,0.8101617097854614,0.35883036255836487,0.5098573565483093,0.13991641998291016,0.024542082101106644,0.013359436765313148,0.6341016888618469,0.5617364645004272,0.9990272521972656,0.9998736381530762,1.0,1.0,0.552370011806488,0.6788252592086792,0.8453989028930664,0.8225029706954956,0.8124127388000488,0.7523936033248901,0.7406677007675171
