# model_name=fedavg_seed1
# seed=1
# started_at=20260421-024219
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.5432500289375052,0.5497746888466806,0.6671471189368855,0.7471869587898254,0.9039689898490906,0.8659641146659851,0.8652443885803223,0.8216129541397095,0.4172414243221283,0.5823885798454285,0.6163979172706604,0.4791908860206604,0.4741443991661072,0.657914936542511,0.6545497179031372,0.9825828671455383,0.9896193742752075,0.9999936819076538,1.0,0.4138557016849518,0.5969441533088684,0.7390176057815552,0.6418204307556152,0.4663327634334564,0.6944664716720581,0.694423496723175
2,0.6433731478078779,0.66162083090226,0.5067792724479329,0.7931953451850198,0.780010998249054,0.5718293786048889,0.8095318078994751,0.6675156354904175,0.34688499569892883,0.5381661653518677,0.34318339824676514,0.193851038813591,0.14287741482257843,0.5941930413246155,0.5865281224250793,0.992306113243103,0.9983352422714233,1.0,1.0,0.42407721281051636,0.6226848363876343,0.8121615648269653,0.7621768116950989,0.6863948106765747,0.7210208773612976,0.7059913277626038
3,0.6939037909953504,0.713872935217176,0.5251916999166663,0.8089011745019392,0.772249698638916,0.6425508260726929,0.9620500802993774,0.7687830924987793,0.3437366485595703,0.52937251329422,0.3009740114212036,0.16930699348449707,0.14259251952171326,0.5728347897529602,0.5726575255393982,0.9990528225898743,0.9998598098754883,1.0,1.0,0.46229153871536255,0.641003429889679,0.8182613253593445,0.7870053648948669,0.7382687330245972,0.725713312625885,0.7264565825462341
4,0.6507745003201718,0.670092988100967,0.5941757261753082,0.8360919085415927,0.7538489103317261,0.9645185470581055,0.9297934770584106,0.9765423536300659,0.3652200698852539,0.5275133848190308,0.3211318850517273,0.3025311231613159,0.1848870813846588,0.6299005746841431,0.5800455808639526,0.9997884631156921,0.9994912147521973,1.0,1.0,0.698794960975647,0.6806095242500305,0.8164199590682983,0.8004338145256042,0.7628518342971802,0.7193854451179504,0.7192357778549194
5,0.5980063606452238,0.603100376015644,0.6783225996927782,0.8791052644903009,0.8831966519355774,0.9030437469482422,0.9655637741088867,0.9628331065177917,0.457789808511734,0.5551705956459045,0.5304738283157349,0.5316868424415588,0.4034934639930725,0.6339108347892761,0.6343859434127808,0.9998447299003601,0.9996553659439087,0.9999979138374329,1.0,0.9649406671524048,0.8540006875991821,0.8357614278793335,0.8118398785591125,0.8011540174484253,0.7042333483695984,0.6987298727035522
6,0.6052047332421147,0.6177104818171715,0.6628029292280023,0.8796300400387157,0.7754846811294556,0.7590392827987671,0.9561299085617065,0.9531521797180176,0.8442784547805786,0.573529839515686,0.4356343150138855,0.4426012933254242,0.32725152373313904,0.6168421506881714,0.6068885922431946,0.9999839663505554,0.9999823570251465,0.9999883770942688,1.0,0.9690505862236023,0.8526378870010376,0.8389560580253601,0.8066795468330383,0.7916526198387146,0.7085086107254028,0.7084904313087463
7,0.5248470750315456,0.5390329821715316,0.6702309169552543,0.8863647363402627,0.7871094942092896,0.8846601247787476,0.9590843319892883,0.9644752740859985,0.7219265699386597,0.6013774871826172,0.4020713269710541,0.4625261425971985,0.3328583836555481,0.6190956830978394,0.6373552680015564,0.9999815821647644,0.9999179840087891,1.0,1.0,0.961723804473877,0.883540153503418,0.8437094688415527,0.8042687177658081,0.8053646087646484,0.7283602952957153,0.7231454849243164
8,0.45517164556742595,0.471214265916598,0.7184892323884097,0.8867257833480835,0.8321852684020996,0.8870013356208801,0.9622170329093933,0.9625881910324097,0.8436046838760376,0.6788448095321655,0.4500793516635895,0.5493788719177246,0.4601480960845947,0.6469875574111938,0.6303463578224182,0.9999680519104004,0.9999504089355469,0.9999406933784485,0.9999993443489075,0.9607572555541992,0.9056297540664673,0.8396069407463074,0.8046282529830933,0.7827271223068237,0.7352092862129211,0.7255665063858032
9,0.5433693775978182,0.5636220010915566,0.6997335390611128,0.8900997205214067,0.7519785165786743,0.940862774848938,0.9524931907653809,0.9798042178153992,0.9059922099113464,0.7334414124488831,0.41950663924217224,0.4924581050872803,0.29447081685066223,0.6125607490539551,0.6135002970695496,0.9999402165412903,0.9999296069145203,0.9999985694885254,0.9999739527702332,0.9587281346321106,0.897453784942627,0.8585432171821594,0.8079374432563782,0.787477433681488,0.7493659257888794,0.731748640537262
10,0.4382985509922877,0.4471175689544669,0.7853955843231895,0.8840409029613842,0.9848491549491882,0.9838329553604126,0.9876524209976196,0.9882560968399048,0.9295786023139954,0.7502748370170593,0.5862685441970825,0.56354159116745,0.5827024579048157,0.6219730973243713,0.6604216694831848,0.999987781047821,0.999825119972229,0.9999876022338867,0.9999731779098511,0.9647704362869263,0.9165759086608887,0.8461014628410339,0.7867873311042786,0.7603937387466431,0.7272400856018066,0.7228072881698608
