timestamp_iso,model,n_runs,seeds,macro_mean_prauc,deg-in_mean_prauc,deg-out_mean_prauc,fan-in_mean_prauc,fan-out_mean_prauc,C2_mean_prauc,C3_mean_prauc,C4_mean_prauc,C5_mean_prauc,C6_mean_prauc,S-G_mean_prauc,B-C_mean_prauc,deg-in_std_prauc,deg-out_std_prauc,fan-in_std_prauc,fan-out_std_prauc,C2_std_prauc,C3_std_prauc,C4_std_prauc,C5_std_prauc,C6_std_prauc,S-G_std_prauc,B-C_std_prauc,runtime
2026-03-27T09:20:17,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_085053",3,"0,1,2",60.83,99.22,99.16,99.98,99.99,61.34,23.18,40.41,31.8,39.76,38.44,35.8,0.41,0.06,0.02,0.01,1.85,3.64,0.82,1.11,0.38,4.93,3.49,00:29:23
2026-03-27T09:32:33,"FedAvg PNA | num_clients=3, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_083715",3,"0,1,2",80.34,100.0,100.0,100.0,99.99,98.55,79.99,57.88,61.7,70.14,56.44,59.01,0.0,0.0,0.0,0.02,0.18,10.56,0.41,0.52,1.57,0.78,1.19,00:55:18
2026-03-27T11:19:33,"FedAvg PNA | num_clients=15, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_104717",3,"0,1,2",69.13,99.89,99.9,99.97,99.99,97.87,58.32,53.19,18.64,25.36,53.05,54.25,0.07,0.0,0.03,0.0,1.07,11.56,2.81,3.19,1.2,2.78,2.18,00:32:16
2026-03-27T11:19:42,"FedAvg PNA | num_clients=10, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_103542",3,"0,1,2",65.63,99.77,99.59,99.95,99.98,92.86,32.49,53.34,34.11,24.45,36.64,48.72,0.13,0.3,0.03,0.01,4.47,7.82,1.84,3.49,0.39,1.2,3.33,00:44:00
2026-03-27T11:55:43,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_112624",3,"0,1,2",60.97,99.46,99.42,99.96,99.99,61.62,21.52,41.11,31.29,40.2,39.42,36.72,0.32,0.24,0.05,0.02,0.95,3.26,2.3,1.24,1.18,2.87,3.01,00:29:19
2026-03-27T14:48:07,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_141351",3,"0,1,2",64.45,99.84,99.71,99.57,99.64,84.56,25.45,41.16,28.41,39.97,43.5,47.17,0.1,0.23,0.37,0.33,11.9,7.19,5.75,5.61,4.16,4.09,5.63,00:34:16
2026-03-27T15:14:04,"FedAvg PNA | num_clients=3, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_142630",3,"0,1,2",81.21,100.0,100.0,99.98,100.0,98.14,85.15,58.54,61.73,71.83,56.95,61.03,0.0,0.0,0.02,0.0,1.32,9.37,0.49,0.26,0.27,0.27,0.53,00:47:34
2026-03-27T15:26:21,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_143837",3,"0,1,2",70.28,99.87,99.99,99.47,99.85,98.2,49.87,49.75,31.5,46.03,49.11,49.39,0.14,0.01,0.35,0.05,0.4,11.39,3.75,1.92,0.76,3.87,3.93,00:47:44
2026-03-27T16:14:32,"FedAvg PNA | num_clients=10, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_152651",3,"0,1,2",69.51,99.95,99.98,99.99,100.0,99.11,50.29,55.91,33.74,24.92,47.16,53.52,0.06,0.01,0.01,0.0,0.18,6.5,0.31,1.02,2.35,1.46,0.85,00:47:41
2026-03-27T16:26:00,"FedAvg PNA | num_clients=15, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_153937",3,"0,1,2",67.73,99.91,99.76,100.0,100.0,97.44,56.14,50.0,16.89,23.43,48.05,53.39,0.04,0.18,0.0,0.0,1.04,8.65,0.98,1.63,2.54,0.76,1.69,00:46:24
