timestamp_iso,model,n_runs,seeds,macro_mean_pct,deg-in_mean_pct,deg-out_mean_pct,fan-in_mean_pct,fan-out_mean_pct,C2_mean_pct,C3_mean_pct,C4_mean_pct,C5_mean_pct,C6_mean_pct,S-G_mean_pct,B-C_mean_pct,deg-in_std_pct,deg-out_std_pct,fan-in_std_pct,fan-out_std_pct,C2_std_pct,C3_std_pct,C4_std_pct,C5_std_pct,C6_std_pct,S-G_std_pct,B-C_std_pct,runtime
2026-03-27T09:20:17,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_085053",3,"0,1,2",44.46,79.24,80.88,86.55,82.91,38.95,6.33,23.49,16.44,24.57,20.63,29.02,6.77,11.0,9.54,11.6,1.08,0.21,1.04,0.67,0.41,1.21,1.41,00:29:23
2026-03-27T09:32:33,"FedAvg PNA | num_clients=3, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_083715",3,"0,1,2",75.8,99.95,99.45,99.34,99.52,97.43,71.01,49.69,55.22,63.48,46.56,52.14,0.04,0.25,0.38,0.3,0.25,7.37,1.75,0.35,0.35,1.48,3.55,00:55:18
2026-03-27T11:19:33,"FedAvg PNA | num_clients=15, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_104717",3,"0,1,2",53.41,95.82,93.61,97.94,97.03,79.67,16.42,25.47,13.18,14.38,20.37,33.59,2.44,3.3,1.23,1.75,6.8,4.23,3.3,1.76,1.83,4.34,1.45,00:32:16
2026-03-27T11:19:42,"FedAvg PNA | num_clients=10, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_103542",3,"0,1,2",53.46,97.26,96.71,98.92,99.16,72.02,10.72,28.36,12.18,13.18,21.77,37.83,1.03,1.89,0.7,0.16,11.2,4.15,2.65,1.55,1.62,4.25,6.59,00:44:00
2026-03-27T11:55:43,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_112624",3,"0,1,2",47.63,86.08,83.13,94.84,89.83,41.75,6.56,25.11,17.29,26.69,21.6,31.1,1.11,6.93,2.52,7.87,7.1,1.22,4.4,2.98,4.37,4.41,1.63,00:29:19
2026-03-27T14:48:07,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=0.5, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_141351",3,"0,1,2",59.39,98.52,94.01,96.96,96.71,72.5,20.25,34.79,25.58,36.17,36.16,41.62,0.79,4.67,1.47,0.62,15.96,11.86,2.46,1.85,2.28,7.93,3.77,00:34:16
2026-03-27T15:14:04,"FedAvg PNA | num_clients=3, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_142630",3,"0,1,2",74.48,99.92,99.98,99.54,99.81,96.79,56.38,51.1,55.49,64.51,44.29,51.46,0.06,0.01,0.13,0.04,1.15,18.64,0.86,0.22,0.77,1.32,2.77,00:47:34
2026-03-27T15:26:21,"FedAvg PNA | num_clients=5, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_143837",3,"0,1,2",66.76,98.72,99.27,98.61,98.91,97.97,38.35,41.13,29.13,41.19,45.49,45.62,1.18,0.44,0.49,0.26,0.62,4.82,0.3,0.35,0.27,4.28,3.49,00:47:44
2026-03-27T16:14:32,"FedAvg PNA | num_clients=10, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_152651",3,"0,1,2",57.64,98.28,99.26,98.91,99.58,89.94,13.59,33.11,15.3,15.94,30.06,40.1,0.91,0.1,0.55,0.22,4.39,2.54,1.97,1.8,0.81,5.2,5.24,00:47:41
2026-03-27T16:26:00,"FedAvg PNA | num_clients=15, cross_edges=True, local_labels=True, global_epochs=100, local_epochs=1, client_fraction=1.0, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260327_153937",3,"0,1,2",56.37,97.53,96.85,99.82,99.94,69.61,27.89,29.94,16.92,18.81,22.39,40.34,0.43,0.84,0.09,0.07,5.16,1.14,4.06,1.48,2.0,4.42,3.09,00:46:24
