# model_name=layerwise_exchange_client_7
# seed=0
# started_at=20260408-152008
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.7804239623712532,0.7977396784572426,0.37748794934966345,0.6701034876433286,0.558201014995575,0.558201014995575,0.5230352282524109,0.536912739276886,0.38518521189689636,0.536912739276886,0.0,0.0,0.0,0.536912739276886,0.5170067548751831,0.9311461448669434,0.9842973351478577,0.8866764903068542,0.9995092153549194,0.38407102227211,0.4303707480430603,0.6447188258171082,0.536609411239624,0.3764770030975342,0.5752143263816833,0.6220478415489197
2,0.7789970568684867,0.7969504241549641,0.35026821138506586,0.46149101040580054,0.31178706884384155,0.9528535604476929,0.0,0.7181329131126404,0.0,0.0,0.5899094343185425,0.4964132010936737,0.29893240332603455,0.46408841013908386,0.02083333395421505,0.5611557960510254,0.9862983226776123,0.5147958993911743,0.9797754287719727,0.16858266294002533,0.2621240019798279,0.27858445048332214,0.29105108976364136,0.14454688131809235,0.46338167786598206,0.42610490322113037
3,0.7429208375595429,0.7662891609953084,0.4498817812312733,0.5244521295482462,0.664634108543396,0.7914893627166748,0.5415162444114685,0.8125,0.0,0.0,0.5899094343185425,0.4740532338619232,0.30243903398513794,0.40989401936531067,0.36226415634155273,0.8199003338813782,0.9222388863563538,0.8001242876052856,0.9153700470924377,0.1926187127828598,0.2773101031780243,0.330462783575058,0.23668669164180756,0.1427009552717209,0.5851007699966431,0.5464598536491394
4,0.6477964502987844,0.6754857571846848,0.530347462404858,0.6735182743180882,0.8473683595657349,0.6894410252571106,0.7798742055892944,0.6666666865348816,0.21383649110794067,0.21551723778247833,0.6108107566833496,0.5095168352127075,0.3521594703197479,0.4452296793460846,0.5034013390541077,0.9673642516136169,0.9778578877449036,0.9755000472068787,0.9893881678581238,0.388386607170105,0.5713778734207153,0.5314329862594604,0.41180747747421265,0.23806162178516388,0.6921608448028564,0.6653632521629333
5,0.4807349275320004,0.5023432100584747,0.7139706205237996,0.7256143932992761,0.9502487182617188,0.9732360243797302,0.9567567110061646,0.9949748516082764,0.44255322217941284,0.5243902206420898,0.6872963905334473,0.6096653938293457,0.44843050837516785,0.6393442153930664,0.6267805695533752,0.9933211207389832,0.9974947571754456,0.9995750188827515,0.9998046159744263,0.43487438559532166,0.6221129894256592,0.6374158263206482,0.5334853529930115,0.37314993143081665,0.7085875868797302,0.6819367408752441
6,0.4032864369752206,0.4217700397202728,0.741164581342177,0.7403778623450886,0.9605911374092102,0.9782082438468933,1.0,0.9975062012672424,0.4787878692150116,0.6298076510429382,0.712430477142334,0.5900900959968567,0.46022728085517883,0.6767676472663879,0.6683937907218933,0.9995259642601013,0.9997855424880981,1.0,1.0,0.44685131311416626,0.6282333731651306,0.683747410774231,0.5649335384368896,0.41098180413246155,0.7194769382476807,0.6906206011772156
7,0.39557326527742237,0.40942214672718574,0.7462647530165586,0.7451697940176184,0.983132541179657,0.9757280945777893,0.9948453903198242,0.9975062012672424,0.5013927221298218,0.6236079931259155,0.692307710647583,0.6129753589630127,0.47093018889427185,0.6881187558174133,0.668367326259613,0.9996300935745239,0.9996256232261658,1.0,1.0,0.4462759494781494,0.6311510801315308,0.6887397170066833,0.5799383521080017,0.43421754240989685,0.7212907075881958,0.6959986686706543
8,0.390318547194694,0.4045080475850936,0.7470198734240099,0.7603473582051017,0.9580247402191162,0.9806763529777527,1.0,0.9950249195098877,0.5088757276535034,0.6298850774765015,0.7159533500671387,0.6036036610603333,0.4732394516468048,0.6801007390022278,0.6718345880508423,0.9982600808143616,0.9993875622749329,1.0,1.0,0.4658449590206146,0.6381917595863342,0.7210915088653564,0.6162067651748657,0.5072733759880066,0.7215906381607056,0.6959742903709412
9,0.3981145359439291,0.411781535017381,0.7465333261273124,0.7680770104581659,0.9605911374092102,0.9732360243797302,1.0,1.0,0.5144695043563843,0.6195122003555298,0.7075812816619873,0.6147368550300598,0.46648797392845154,0.683417022228241,0.6718345880508423,0.9989326596260071,0.9988825917243958,1.0,1.0,0.46649491786956787,0.6336126923561096,0.722980797290802,0.6425735354423523,0.5591495633125305,0.7246507406234741,0.7015696167945862
10,0.38709952586736435,0.39798053289772173,0.7532903145660054,0.7758072397925637,0.9782082438468933,0.983132541179657,0.9897435903549194,1.0,0.5227272510528564,0.6224256157875061,0.70703125,0.631808340549469,0.49462369084358215,0.689826250076294,0.6666666865348816,0.9989593625068665,0.9999551773071289,1.0,1.0,0.4767712354660034,0.6419479846954346,0.7379895448684692,0.6648788452148438,0.5884608030319214,0.7259543538093567,0.6989623308181763
