epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,507945,225569,44.4082,55.0706
1,1,507945,225569,44.4082,55.0706
1,2,507945,225569,44.4082,55.0706
1,3,507945,225569,44.4082,55.0706
1,4,507945,225569,44.4082,55.0706
1,5,507945,225569,44.4082,55.0706
1,total,3047670,1353414,44.4082,330.4233
2,0,508679,225299,44.2910,55.0046
2,1,508679,225299,44.2910,55.0046
2,2,508679,225299,44.2910,55.0046
2,3,508679,225299,44.2910,55.0046
2,4,508679,225299,44.2910,55.0046
2,5,508679,225299,44.2910,55.0046
2,total,3052074,1351794,44.2910,330.0278
3,0,509465,227303,44.6160,55.4939
3,1,509465,227303,44.6160,55.4939
3,2,509465,227303,44.6160,55.4939
3,3,509465,227303,44.6160,55.4939
3,4,509465,227303,44.6160,55.4939
3,5,509465,227303,44.6160,55.4939
3,total,3056790,1363818,44.6160,332.9634
4,0,511793,232225,45.3748,56.6956
4,1,511793,232225,45.3748,56.6956
4,2,511793,232225,45.3748,56.6956
4,3,511793,232225,45.3748,56.6956
4,4,511793,232225,45.3748,56.6956
4,5,511793,232225,45.3748,56.6956
4,total,3070758,1393350,45.3748,340.1733
5,0,511102,227092,44.4318,55.4424
5,1,511102,227092,44.4318,55.4424
5,2,511102,227092,44.4318,55.4424
5,3,511102,227092,44.4318,55.4424
5,4,511102,227092,44.4318,55.4424
5,5,511102,227092,44.4318,55.4424
5,total,3066612,1362552,44.4318,332.6543
6,0,508537,225509,44.3447,55.0559
6,1,508537,225509,44.3447,55.0559
6,2,508537,225509,44.3447,55.0559
6,3,508537,225509,44.3447,55.0559
6,4,508537,225509,44.3447,55.0559
6,5,508537,225509,44.3447,55.0559
6,total,3051222,1353054,44.3447,330.3354
7,0,510641,227285,44.5097,55.4895
7,1,510641,227285,44.5097,55.4895
7,2,510641,227285,44.5097,55.4895
7,3,510641,227285,44.5097,55.4895
7,4,510641,227285,44.5097,55.4895
7,5,510641,227285,44.5097,55.4895
7,total,3063846,1363710,44.5097,332.9370
8,0,514867,229019,44.4812,55.9128
8,1,514867,229019,44.4812,55.9128
8,2,514867,229019,44.4812,55.9128
8,3,514867,229019,44.4812,55.9128
8,4,514867,229019,44.4812,55.9128
8,5,514867,229019,44.4812,55.9128
8,total,3089202,1374114,44.4812,335.4771
9,0,509999,226879,44.4862,55.3904
9,1,509999,226879,44.4862,55.3904
9,2,509999,226879,44.4862,55.3904
9,3,509999,226879,44.4862,55.3904
9,4,509999,226879,44.4862,55.3904
9,5,509999,226879,44.4862,55.3904
9,total,3059994,1361274,44.4862,332.3423
10,0,513911,231140,44.9767,56.4307
10,1,513911,231140,44.9767,56.4307
10,2,513911,231140,44.9767,56.4307
10,3,513911,231140,44.9767,56.4307
10,4,513911,231140,44.9767,56.4307
10,5,513911,231140,44.9767,56.4307
10,total,3083466,1386840,44.9767,338.5840
11,0,509022,224314,44.0676,54.7642
11,1,509022,224314,44.0676,54.7642
11,2,509022,224314,44.0676,54.7642
11,3,509022,224314,44.0676,54.7642
11,4,509022,224314,44.0676,54.7642
11,5,509022,224314,44.0676,54.7642
11,total,3054132,1345884,44.0676,328.5850
12,0,509800,224765,44.0889,54.8743
12,1,509800,224765,44.0889,54.8743
12,2,509800,224765,44.0889,54.8743
12,3,509800,224765,44.0889,54.8743
12,4,509800,224765,44.0889,54.8743
12,5,509800,224765,44.0889,54.8743
12,total,3058800,1348590,44.0889,329.2456
13,0,510685,227040,44.4579,55.4297
13,1,510685,227040,44.4579,55.4297
13,2,510685,227040,44.4579,55.4297
13,3,510685,227040,44.4579,55.4297
13,4,510685,227040,44.4579,55.4297
13,5,510685,227040,44.4579,55.4297
13,total,3064110,1362240,44.4579,332.5781
14,0,509617,224588,44.0700,54.8311
14,1,509617,224588,44.0700,54.8311
14,2,509617,224588,44.0700,54.8311
14,3,509617,224588,44.0700,54.8311
14,4,509617,224588,44.0700,54.8311
14,5,509617,224588,44.0700,54.8311
14,total,3057702,1347528,44.0700,328.9863
15,0,510905,228068,44.6400,55.6807
15,1,510905,228068,44.6400,55.6807
15,2,510905,228068,44.6400,55.6807
15,3,510905,228068,44.6400,55.6807
15,4,510905,228068,44.6400,55.6807
15,5,510905,228068,44.6400,55.6807
15,total,3065430,1368408,44.6400,334.0840
16,0,508953,226048,44.4143,55.1875
16,1,508953,226048,44.4143,55.1875
16,2,508953,226048,44.4143,55.1875
16,3,508953,226048,44.4143,55.1875
16,4,508953,226048,44.4143,55.1875
16,5,508953,226048,44.4143,55.1875
16,total,3053718,1356288,44.4143,331.1250
17,0,509213,228635,44.8997,55.8191
17,1,509213,228635,44.8997,55.8191
17,2,509213,228635,44.8997,55.8191
17,3,509213,228635,44.8997,55.8191
17,4,509213,228635,44.8997,55.8191
17,5,509213,228635,44.8997,55.8191
17,total,3055278,1371810,44.8997,334.9146
18,0,508462,221072,43.4786,53.9727
18,1,508462,221072,43.4786,53.9727
18,2,508462,221072,43.4786,53.9727
18,3,508462,221072,43.4786,53.9727
18,4,508462,221072,43.4786,53.9727
18,5,508462,221072,43.4786,53.9727
18,total,3050772,1326432,43.4786,323.8359
19,0,509279,227398,44.6510,55.5171
19,1,509279,227398,44.6510,55.5171
19,2,509279,227398,44.6510,55.5171
19,3,509279,227398,44.6510,55.5171
19,4,509279,227398,44.6510,55.5171
19,5,509279,227398,44.6510,55.5171
19,total,3055674,1364388,44.6510,333.1025
20,0,509740,226508,44.4360,55.2998
20,1,509740,226508,44.4360,55.2998
20,2,509740,226508,44.4360,55.2998
20,3,509740,226508,44.4360,55.2998
20,4,509740,226508,44.4360,55.2998
20,5,509740,226508,44.4360,55.2998
20,total,3058440,1359048,44.4360,331.7988
21,0,509773,226074,44.3480,55.1938
21,1,509773,226074,44.3480,55.1938
21,2,509773,226074,44.3480,55.1938
21,3,509773,226074,44.3480,55.1938
21,4,509773,226074,44.3480,55.1938
21,5,509773,226074,44.3480,55.1938
21,total,3058638,1356444,44.3480,331.1631
22,0,512841,230144,44.8763,56.1875
22,1,512841,230144,44.8763,56.1875
22,2,512841,230144,44.8763,56.1875
22,3,512841,230144,44.8763,56.1875
22,4,512841,230144,44.8763,56.1875
22,5,512841,230144,44.8763,56.1875
22,total,3077046,1380864,44.8763,337.1250
23,0,509866,227450,44.6098,55.5298
23,1,509866,227450,44.6098,55.5298
23,2,509866,227450,44.6098,55.5298
23,3,509866,227450,44.6098,55.5298
23,4,509866,227450,44.6098,55.5298
23,5,509866,227450,44.6098,55.5298
23,total,3059196,1364700,44.6098,333.1787
24,0,507463,222978,43.9398,54.4380
24,1,507463,222978,43.9398,54.4380
24,2,507463,222978,43.9398,54.4380
24,3,507463,222978,43.9398,54.4380
24,4,507463,222978,43.9398,54.4380
24,5,507463,222978,43.9398,54.4380
24,total,3044778,1337868,43.9398,326.6279
25,0,512119,225266,43.9870,54.9966
25,1,512119,225266,43.9870,54.9966
25,2,512119,225266,43.9870,54.9966
25,3,512119,225266,43.9870,54.9966
25,4,512119,225266,43.9870,54.9966
25,5,512119,225266,43.9870,54.9966
25,total,3072714,1351596,43.9870,329.9795
26,0,507966,224930,44.2805,54.9146
26,1,507966,224930,44.2805,54.9146
26,2,507966,224930,44.2805,54.9146
26,3,507966,224930,44.2805,54.9146
26,4,507966,224930,44.2805,54.9146
26,5,507966,224930,44.2805,54.9146
26,total,3047796,1349580,44.2805,329.4873
27,0,511517,226369,44.2544,55.2659
27,1,511517,226369,44.2544,55.2659
27,2,511517,226369,44.2544,55.2659
27,3,511517,226369,44.2544,55.2659
27,4,511517,226369,44.2544,55.2659
27,5,511517,226369,44.2544,55.2659
27,total,3069102,1358214,44.2544,331.5952
28,0,510360,226553,44.3908,55.3108
28,1,510360,226553,44.3908,55.3108
28,2,510360,226553,44.3908,55.3108
28,3,510360,226553,44.3908,55.3108
28,4,510360,226553,44.3908,55.3108
28,5,510360,226553,44.3908,55.3108
28,total,3062160,1359318,44.3908,331.8647
29,0,510278,224970,44.0877,54.9243
29,1,510278,224970,44.0877,54.9243
29,2,510278,224970,44.0877,54.9243
29,3,510278,224970,44.0877,54.9243
29,4,510278,224970,44.0877,54.9243
29,5,510278,224970,44.0877,54.9243
29,total,3061668,1349820,44.0877,329.5459
30,0,513893,226651,44.1047,55.3347
30,1,513893,226651,44.1047,55.3347
30,2,513893,226651,44.1047,55.3347
30,3,513893,226651,44.1047,55.3347
30,4,513893,226651,44.1047,55.3347
30,5,513893,226651,44.1047,55.3347
30,total,3083358,1359906,44.1047,332.0083
31,0,508025,223081,43.9114,54.4631
31,1,508025,223081,43.9114,54.4631
31,2,508025,223081,43.9114,54.4631
31,3,508025,223081,43.9114,54.4631
31,4,508025,223081,43.9114,54.4631
31,5,508025,223081,43.9114,54.4631
31,total,3048150,1338486,43.9114,326.7788
32,0,511634,225323,44.0399,55.0105
32,1,511634,225323,44.0399,55.0105
32,2,511634,225323,44.0399,55.0105
32,3,511634,225323,44.0399,55.0105
32,4,511634,225323,44.0399,55.0105
32,5,511634,225323,44.0399,55.0105
32,total,3069804,1351938,44.0399,330.0630
33,0,511453,226532,44.2919,55.3057
33,1,511453,226532,44.2919,55.3057
33,2,511453,226532,44.2919,55.3057
33,3,511453,226532,44.2919,55.3057
33,4,511453,226532,44.2919,55.3057
33,5,511453,226532,44.2919,55.3057
33,total,3068718,1359192,44.2919,331.8340
34,0,512733,227064,44.2850,55.4355
34,1,512733,227064,44.2850,55.4355
34,2,512733,227064,44.2850,55.4355
34,3,512733,227064,44.2850,55.4355
34,4,512733,227064,44.2850,55.4355
34,5,512733,227064,44.2850,55.4355
34,total,3076398,1362384,44.2850,332.6133
35,0,506419,221837,43.8050,54.1594
35,1,506419,221837,43.8050,54.1594
35,2,506419,221837,43.8050,54.1594
35,3,506419,221837,43.8050,54.1594
35,4,506419,221837,43.8050,54.1594
35,5,506419,221837,43.8050,54.1594
35,total,3038514,1331022,43.8050,324.9565
36,0,510319,226897,44.4618,55.3948
36,1,510319,226897,44.4618,55.3948
36,2,510319,226897,44.4618,55.3948
36,3,510319,226897,44.4618,55.3948
36,4,510319,226897,44.4618,55.3948
36,5,510319,226897,44.4618,55.3948
36,total,3061914,1361382,44.4618,332.3687
37,0,510628,224138,43.8946,54.7212
37,1,510628,224138,43.8946,54.7212
37,2,510628,224138,43.8946,54.7212
37,3,510628,224138,43.8946,54.7212
37,4,510628,224138,43.8946,54.7212
37,5,510628,224138,43.8946,54.7212
37,total,3063768,1344828,43.8946,328.3271
38,0,511118,225879,44.1931,55.1462
38,1,511118,225879,44.1931,55.1462
38,2,511118,225879,44.1931,55.1462
38,3,511118,225879,44.1931,55.1462
38,4,511118,225879,44.1931,55.1462
38,5,511118,225879,44.1931,55.1462
38,total,3066708,1355274,44.1931,330.8774
39,0,511476,225267,44.0425,54.9968
39,1,511476,225267,44.0425,54.9968
39,2,511476,225267,44.0425,54.9968
39,3,511476,225267,44.0425,54.9968
39,4,511476,225267,44.0425,54.9968
39,5,511476,225267,44.0425,54.9968
39,total,3068856,1351602,44.0425,329.9810
40,0,509215,225442,44.2725,55.0396
40,1,509215,225442,44.2725,55.0396
40,2,509215,225442,44.2725,55.0396
40,3,509215,225442,44.2725,55.0396
40,4,509215,225442,44.2725,55.0396
40,5,509215,225442,44.2725,55.0396
40,total,3055290,1352652,44.2725,330.2373
41,0,508399,222312,43.7279,54.2754
41,1,508399,222312,43.7279,54.2754
41,2,508399,222312,43.7279,54.2754
41,3,508399,222312,43.7279,54.2754
41,4,508399,222312,43.7279,54.2754
41,5,508399,222312,43.7279,54.2754
41,total,3050394,1333872,43.7279,325.6523
42,0,511235,228288,44.6542,55.7344
42,1,511235,228288,44.6542,55.7344
42,2,511235,228288,44.6542,55.7344
42,3,511235,228288,44.6542,55.7344
42,4,511235,228288,44.6542,55.7344
42,5,511235,228288,44.6542,55.7344
42,total,3067410,1369728,44.6542,334.4062
43,0,511521,230705,45.1018,56.3245
43,1,511521,230705,45.1018,56.3245
43,2,511521,230705,45.1018,56.3245
43,3,511521,230705,45.1018,56.3245
43,4,511521,230705,45.1018,56.3245
43,5,511521,230705,45.1018,56.3245
43,total,3069126,1384230,45.1018,337.9468
44,0,507880,224546,44.2124,54.8208
44,1,507880,224546,44.2124,54.8208
44,2,507880,224546,44.2124,54.8208
44,3,507880,224546,44.2124,54.8208
44,4,507880,224546,44.2124,54.8208
44,5,507880,224546,44.2124,54.8208
44,total,3047280,1347276,44.2124,328.9248
45,0,508491,223921,44.0364,54.6682
45,1,508491,223921,44.0364,54.6682
45,2,508491,223921,44.0364,54.6682
45,3,508491,223921,44.0364,54.6682
45,4,508491,223921,44.0364,54.6682
45,5,508491,223921,44.0364,54.6682
45,total,3050946,1343526,44.0364,328.0093
46,0,510672,223495,43.7649,54.5642
46,1,510672,223495,43.7649,54.5642
46,2,510672,223495,43.7649,54.5642
46,3,510672,223495,43.7649,54.5642
46,4,510672,223495,43.7649,54.5642
46,5,510672,223495,43.7649,54.5642
46,total,3064032,1340970,43.7649,327.3853
47,0,510379,225996,44.2800,55.1748
47,1,510379,225996,44.2800,55.1748
47,2,510379,225996,44.2800,55.1748
47,3,510379,225996,44.2800,55.1748
47,4,510379,225996,44.2800,55.1748
47,5,510379,225996,44.2800,55.1748
47,total,3062274,1355976,44.2800,331.0488
48,0,509065,223495,43.9030,54.5642
48,1,509065,223495,43.9030,54.5642
48,2,509065,223495,43.9030,54.5642
48,3,509065,223495,43.9030,54.5642
48,4,509065,223495,43.9030,54.5642
48,5,509065,223495,43.9030,54.5642
48,total,3054390,1340970,43.9030,327.3853
49,0,509542,226499,44.4515,55.2976
49,1,509542,226499,44.4515,55.2976
49,2,509542,226499,44.4515,55.2976
49,3,509542,226499,44.4515,55.2976
49,4,509542,226499,44.4515,55.2976
49,5,509542,226499,44.4515,55.2976
49,total,3057252,1358994,44.4515,331.7856
50,0,512117,224508,43.8392,54.8115
50,1,512117,224508,43.8392,54.8115
50,2,512117,224508,43.8392,54.8115
50,3,512117,224508,43.8392,54.8115
50,4,512117,224508,43.8392,54.8115
50,5,512117,224508,43.8392,54.8115
50,total,3072702,1347048,43.8392,328.8691
51,0,509646,221730,43.5067,54.1333
51,1,509646,221730,43.5067,54.1333
51,2,509646,221730,43.5067,54.1333
51,3,509646,221730,43.5067,54.1333
51,4,509646,221730,43.5067,54.1333
51,5,509646,221730,43.5067,54.1333
51,total,3057876,1330380,43.5067,324.7998
52,0,512245,226630,44.2425,55.3296
52,1,512245,226630,44.2425,55.3296
52,2,512245,226630,44.2425,55.3296
52,3,512245,226630,44.2425,55.3296
52,4,512245,226630,44.2425,55.3296
52,5,512245,226630,44.2425,55.3296
52,total,3073470,1359780,44.2425,331.9775
53,0,510084,227100,44.5221,55.4443
53,1,510084,227100,44.5221,55.4443
53,2,510084,227100,44.5221,55.4443
53,3,510084,227100,44.5221,55.4443
53,4,510084,227100,44.5221,55.4443
53,5,510084,227100,44.5221,55.4443
53,total,3060504,1362600,44.5221,332.6660
54,0,509263,223968,43.9788,54.6797
54,1,509263,223968,43.9788,54.6797
54,2,509263,223968,43.9788,54.6797
54,3,509263,223968,43.9788,54.6797
54,4,509263,223968,43.9788,54.6797
54,5,509263,223968,43.9788,54.6797
54,total,3055578,1343808,43.9788,328.0781
55,0,510573,227156,44.4904,55.4580
55,1,510573,227156,44.4904,55.4580
55,2,510573,227156,44.4904,55.4580
55,3,510573,227156,44.4904,55.4580
55,4,510573,227156,44.4904,55.4580
55,5,510573,227156,44.4904,55.4580
55,total,3063438,1362936,44.4904,332.7480
56,0,513674,231385,45.0451,56.4905
56,1,513674,231385,45.0451,56.4905
56,2,513674,231385,45.0451,56.4905
56,3,513674,231385,45.0451,56.4905
56,4,513674,231385,45.0451,56.4905
56,5,513674,231385,45.0451,56.4905
56,total,3082044,1388310,45.0451,338.9429
57,0,511798,232011,45.3325,56.6433
