epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,30174,29626,98.1839,7.2329
1,1,30174,29626,98.1839,7.2329
1,2,30174,29626,98.1839,7.2329
1,3,30174,29626,98.1839,7.2329
1,4,30174,29626,98.1839,7.2329
1,5,30174,29626,98.1839,7.2329
1,total,181044,177756,98.1839,43.3975
2,0,30049,29496,98.1597,7.2012
2,1,30049,29496,98.1597,7.2012
2,2,30049,29496,98.1597,7.2012
2,3,30049,29496,98.1597,7.2012
2,4,30049,29496,98.1597,7.2012
2,5,30049,29496,98.1597,7.2012
2,total,180294,176976,98.1597,43.2070
3,0,30144,29585,98.1456,7.2229
3,1,30144,29585,98.1456,7.2229
3,2,30144,29585,98.1456,7.2229
3,3,30144,29585,98.1456,7.2229
3,4,30144,29585,98.1456,7.2229
3,5,30144,29585,98.1456,7.2229
3,total,180864,177510,98.1456,43.3374
4,0,30202,29666,98.2253,7.2427
4,1,30202,29666,98.2253,7.2427
4,2,30202,29666,98.2253,7.2427
4,3,30202,29666,98.2253,7.2427
4,4,30202,29666,98.2253,7.2427
4,5,30202,29666,98.2253,7.2427
4,total,181212,177996,98.2253,43.4561
5,0,30048,29421,97.9133,7.1829
5,1,30048,29421,97.9133,7.1829
5,2,30048,29421,97.9133,7.1829
5,3,30048,29421,97.9133,7.1829
5,4,30048,29421,97.9133,7.1829
5,5,30048,29421,97.9133,7.1829
5,total,180288,176526,97.9133,43.0972
6,0,30112,29503,97.9776,7.2029
6,1,30112,29503,97.9776,7.2029
6,2,30112,29503,97.9776,7.2029
6,3,30112,29503,97.9776,7.2029
6,4,30112,29503,97.9776,7.2029
6,5,30112,29503,97.9776,7.2029
6,total,180672,177018,97.9776,43.2173
7,0,30185,29641,98.1978,7.2366
7,1,30185,29641,98.1978,7.2366
7,2,30185,29641,98.1978,7.2366
7,3,30185,29641,98.1978,7.2366
7,4,30185,29641,98.1978,7.2366
7,5,30185,29641,98.1978,7.2366
7,total,181110,177846,98.1978,43.4194
8,0,30008,29309,97.6706,7.1555
8,1,30008,29309,97.6706,7.1555
8,2,30008,29309,97.6706,7.1555
8,3,30008,29309,97.6706,7.1555
8,4,30008,29309,97.6706,7.1555
8,5,30008,29309,97.6706,7.1555
8,total,180048,175854,97.6706,42.9331
9,0,30151,29663,98.3815,7.2419
9,1,30151,29663,98.3815,7.2419
9,2,30151,29663,98.3815,7.2419
9,3,30151,29663,98.3815,7.2419
9,4,30151,29663,98.3815,7.2419
9,5,30151,29663,98.3815,7.2419
9,total,180906,177978,98.3815,43.4517
10,0,30217,29749,98.4512,7.2629
10,1,30217,29749,98.4512,7.2629
10,2,30217,29749,98.4512,7.2629
10,3,30217,29749,98.4512,7.2629
10,4,30217,29749,98.4512,7.2629
10,5,30217,29749,98.4512,7.2629
10,total,181302,178494,98.4512,43.5776
11,0,30190,29713,98.4200,7.2542
11,1,30190,29713,98.4200,7.2542
11,2,30190,29713,98.4200,7.2542
11,3,30190,29713,98.4200,7.2542
11,4,30190,29713,98.4200,7.2542
11,5,30190,29713,98.4200,7.2542
11,total,181140,178278,98.4200,43.5249
12,0,30110,29545,98.1235,7.2131
12,1,30110,29545,98.1235,7.2131
12,2,30110,29545,98.1235,7.2131
12,3,30110,29545,98.1235,7.2131
12,4,30110,29545,98.1235,7.2131
12,5,30110,29545,98.1235,7.2131
12,total,180660,177270,98.1235,43.2788
13,0,30079,29497,98.0651,7.2014
13,1,30079,29497,98.0651,7.2014
13,2,30079,29497,98.0651,7.2014
13,3,30079,29497,98.0651,7.2014
13,4,30079,29497,98.0651,7.2014
13,5,30079,29497,98.0651,7.2014
13,total,180474,176982,98.0651,43.2085
14,0,30275,29802,98.4377,7.2759
14,1,30275,29802,98.4377,7.2759
14,2,30275,29802,98.4377,7.2759
14,3,30275,29802,98.4377,7.2759
14,4,30275,29802,98.4377,7.2759
14,5,30275,29802,98.4377,7.2759
14,total,181650,178812,98.4377,43.6553
