# model_name=layerwise_exchange_client_4
# seed=1
# started_at=20260421-232900
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.8335962576024672,0.8405039141098951,0.15798754041845148,0.4858905930410732,0.0,0.5109890103340149,0.0,0.0,0.29559749364852905,0.4732394516468048,0.0,0.0,0.0,0.45803698897361755,0.0,0.640657365322113,0.5811668038368225,0.6645267009735107,0.603955864906311,0.2203141301870346,0.3411804139614105,0.595425009727478,0.40957093238830566,0.26861119270324707,0.48305192589759827,0.5363361835479736
2,0.8327344445621266,0.8397742162331444,0.1573065221309662,0.6215034967119043,0.0,0.0,0.0,0.0,0.29559749364852905,0.0,0.6483790278434753,0.0,0.3283582329750061,0.45803698897361755,0.0,0.8655460476875305,0.8565605282783508,0.880327045917511,0.8972107768058777,0.2770589292049408,0.3717654347419739,0.6146833896636963,0.4645761251449585,0.3068940043449402,0.6580826640129089,0.6438335180282593
3,0.8187633121714872,0.8262555970916888,0.3015429330143062,0.6798650161786512,0.06315789371728897,0.38260868191719055,0.033519551157951355,0.16753926873207092,0.3283582031726837,0.1420765072107315,0.646616518497467,0.4776119589805603,0.4226646423339844,0.652819037437439,0.0,0.9342144131660461,0.929984986782074,0.9381397366523743,0.9455000162124634,0.36308255791664124,0.5306009650230408,0.627867579460144,0.48662373423576355,0.33880528807640076,0.7215703129768372,0.6621255874633789
4,0.7979600639904246,0.8027211003197955,0.4201071099801497,0.556848715652119,0.2641509473323822,0.807692289352417,0.17616580426692963,0.6842105388641357,0.208695650100708,0.22680413722991943,0.6649214625358582,0.5386996865272522,0.43877550959587097,0.413145512342453,0.1979166716337204,0.6167893409729004,0.9105274677276611,0.5050399899482727,0.908491313457489,0.28593355417251587,0.497018426656723,0.5119085907936096,0.3918614685535431,0.3440737724304199,0.5973598957061768,0.5563320517539978
5,0.5689654472996207,0.5660180020596268,0.6673930016430941,0.7477404583584178,0.7651005983352661,0.9695290327072144,0.6816478967666626,1.0,0.4228571653366089,0.4664310812950134,0.6852940917015076,0.5841924548149109,0.5021645426750183,0.6574394702911377,0.6066666841506958,0.9999415874481201,0.9991999864578247,0.9989349842071533,1.0,0.4139026403427124,0.6219214200973511,0.713191032409668,0.5863062143325806,0.46067267656326294,0.7419767379760742,0.6890977621078491
6,0.4368794770801769,0.4286347327417113,0.7408228597857736,0.7649861032312567,0.9777777791023254,0.9695290327072144,1.0,1.0,0.4892703592777252,0.5747801065444946,0.6897746920585632,0.6157025098800659,0.5023255944252014,0.6824925541877747,0.647398829460144,1.0,1.0,1.0,1.0,0.4445573091506958,0.6146906018257141,0.7592707872390747,0.6568309664726257,0.5471079349517822,0.7090021371841431,0.6833873987197876
7,0.40013930552146015,0.3951105963699932,0.7425658188082955,0.7710224742239172,0.9834254384040833,0.9945945739746094,1.0,1.0,0.4466019570827484,0.5937500596046448,0.6810036301612854,0.5972850322723389,0.5397727489471436,0.6802325248718262,0.6515580415725708,1.0,1.0,1.0,1.0,0.4346882402896881,0.6195055246353149,0.7681805491447449,0.6771712303161621,0.5769927501678467,0.7270352244377136,0.6776736974716187
8,0.40399909545393553,0.3944805907807227,0.7442234321074053,0.7791118432175029,0.9777777791023254,0.9752065539360046,1.0,1.0,0.4942084550857544,0.6065573692321777,0.6875,0.6099585294723511,0.5070422291755676,0.6824925541877747,0.645714282989502,1.0,1.0,1.0,1.0,0.4331285059452057,0.6261081099510193,0.7780722379684448,0.694063663482666,0.6210262775421143,0.7328111529350281,0.6850203275680542
9,0.3995390306500828,0.3914447557662246,0.7444958768107675,0.7832569777965546,0.9777777791023254,0.9780219197273254,1.0,1.0,0.4693877398967743,0.6000000238418579,0.6702508926391602,0.6114649772644043,0.5506493449211121,0.6804733872413635,0.6514285802841187,1.0,1.0,1.0,1.0,0.4326609671115875,0.6248336434364319,0.786249041557312,0.7077986001968384,0.6281752586364746,0.7440836429595947,0.6920256018638611
10,0.40148531689363365,0.3925440999854535,0.7460331212390553,0.7863240540027618,0.9777777791023254,0.9695290327072144,1.0,1.0,0.49808424711227417,0.605555534362793,0.6965517401695251,0.6178861260414124,0.5129411220550537,0.6784660816192627,0.6495726704597473,1.0,1.0,1.0,1.0,0.4394667446613312,0.6242468953132629,0.7866252064704895,0.7139468193054199,0.6464917659759521,0.7432251572608948,0.6955620050430298
11,0.39390624971950755,0.38415018603810525,0.7535961487076499,0.7913370511748574,0.9777777791023254,0.9752065539360046,1.0,1.0,0.5054945349693298,0.6005510091781616,0.7116357088088989,0.6348547339439392,0.5463917255401611,0.6862170100212097,0.6514285802841187,0.9995890855789185,1.0,1.0,1.0,0.44792771339416504,0.6271175742149353,0.7967097759246826,0.7280631065368652,0.661155104637146,0.7467533946037292,0.6973918080329895
12,0.38779101476949807,0.3814971701025523,0.7612435275858099,0.794486018744382,0.9777777791023254,0.9918699264526367,1.0,0.9971509575843811,0.4775086045265198,0.6089239120483398,0.7103448510169983,0.6865671873092651,0.5876010656356812,0.6862170100212097,0.6497175097465515,0.9999706149101257,1.0,1.0,1.0,0.42889344692230225,0.631614625453949,0.8000977039337158,0.7442631125450134,0.6810530424118042,0.7516482472419739,0.7018054127693176
