epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,138923,122249,87.9977,29.8459
1,1,138923,122249,87.9977,29.8459
1,2,138923,122249,87.9977,29.8459
1,3,138923,122249,87.9977,29.8459
1,4,138923,122249,87.9977,29.8459
1,5,138923,122249,87.9977,29.8459
1,total,833538,733494,87.9977,179.0757
2,0,138699,122131,88.0547,29.8171
2,1,138699,122131,88.0547,29.8171
2,2,138699,122131,88.0547,29.8171
2,3,138699,122131,88.0547,29.8171
2,4,138699,122131,88.0547,29.8171
2,5,138699,122131,88.0547,29.8171
2,total,832194,732786,88.0547,178.9028
3,0,139408,123344,88.4770,30.1133
3,1,139408,123344,88.4770,30.1133
3,2,139408,123344,88.4770,30.1133
3,3,139408,123344,88.4770,30.1133
3,4,139408,123344,88.4770,30.1133
3,5,139408,123344,88.4770,30.1133
3,total,836448,740064,88.4770,180.6797
4,0,138582,121562,87.7185,29.6782
4,1,138582,121562,87.7185,29.6782
4,2,138582,121562,87.7185,29.6782
4,3,138582,121562,87.7185,29.6782
4,4,138582,121562,87.7185,29.6782
4,5,138582,121562,87.7185,29.6782
4,total,831492,729372,87.7185,178.0693
5,0,138394,121383,87.7083,29.6345
5,1,138394,121383,87.7083,29.6345
5,2,138394,121383,87.7083,29.6345
5,3,138394,121383,87.7083,29.6345
5,4,138394,121383,87.7083,29.6345
5,5,138394,121383,87.7083,29.6345
5,total,830364,728298,87.7083,177.8071
6,0,138931,121994,87.8091,29.7837
6,1,138931,121994,87.8091,29.7837
6,2,138931,121994,87.8091,29.7837
6,3,138931,121994,87.8091,29.7837
6,4,138931,121994,87.8091,29.7837
6,5,138931,121994,87.8091,29.7837
6,total,833586,731964,87.8091,178.7021
7,0,138355,121305,87.6766,29.6155
7,1,138355,121305,87.6766,29.6155
7,2,138355,121305,87.6766,29.6155
7,3,138355,121305,87.6766,29.6155
7,4,138355,121305,87.6766,29.6155
7,5,138355,121305,87.6766,29.6155
7,total,830130,727830,87.6766,177.6929
8,0,138515,121454,87.6829,29.6519
8,1,138515,121454,87.6829,29.6519
8,2,138515,121454,87.6829,29.6519
8,3,138515,121454,87.6829,29.6519
8,4,138515,121454,87.6829,29.6519
8,5,138515,121454,87.6829,29.6519
8,total,831090,728724,87.6829,177.9111
9,0,138721,121892,87.8685,29.7588
9,1,138721,121892,87.8685,29.7588
9,2,138721,121892,87.8685,29.7588
9,3,138721,121892,87.8685,29.7588
9,4,138721,121892,87.8685,29.7588
9,5,138721,121892,87.8685,29.7588
9,total,832326,731352,87.8685,178.5527
10,0,138109,120663,87.3679,29.4587
10,1,138109,120663,87.3679,29.4587
10,2,138109,120663,87.3679,29.4587
10,3,138109,120663,87.3679,29.4587
10,4,138109,120663,87.3679,29.4587
10,5,138109,120663,87.3679,29.4587
10,total,828654,723978,87.3679,176.7524
11,0,138073,120772,87.4697,29.4854
11,1,138073,120772,87.4697,29.4854
11,2,138073,120772,87.4697,29.4854
11,3,138073,120772,87.4697,29.4854
11,4,138073,120772,87.4697,29.4854
11,5,138073,120772,87.4697,29.4854
11,total,828438,724632,87.4697,176.9121
12,0,138894,122158,87.9505,29.8237
12,1,138894,122158,87.9505,29.8237
12,2,138894,122158,87.9505,29.8237
12,3,138894,122158,87.9505,29.8237
12,4,138894,122158,87.9505,29.8237
12,5,138894,122158,87.9505,29.8237
12,total,833364,732948,87.9505,178.9424
13,0,138531,121263,87.5349,29.6052
13,1,138531,121263,87.5349,29.6052
13,2,138531,121263,87.5349,29.6052
13,3,138531,121263,87.5349,29.6052
13,4,138531,121263,87.5349,29.6052
13,5,138531,121263,87.5349,29.6052
13,total,831186,727578,87.5349,177.6313
14,0,138269,121231,87.6776,29.5974
14,1,138269,121231,87.6776,29.5974
14,2,138269,121231,87.6776,29.5974
14,3,138269,121231,87.6776,29.5974
14,4,138269,121231,87.6776,29.5974
14,5,138269,121231,87.6776,29.5974
14,total,829614,727386,87.6776,177.5845
15,0,138061,120923,87.5866,29.5222
15,1,138061,120923,87.5866,29.5222
15,2,138061,120923,87.5866,29.5222
15,3,138061,120923,87.5866,29.5222
15,4,138061,120923,87.5866,29.5222
15,5,138061,120923,87.5866,29.5222
15,total,828366,725538,87.5866,177.1333
16,0,137836,120456,87.3908,29.4082
16,1,137836,120456,87.3908,29.4082
16,2,137836,120456,87.3908,29.4082
16,3,137836,120456,87.3908,29.4082
16,4,137836,120456,87.3908,29.4082
16,5,137836,120456,87.3908,29.4082
16,total,827016,722736,87.3908,176.4492
17,0,138491,121546,87.7645,29.6743
17,1,138491,121546,87.7645,29.6743
17,2,138491,121546,87.7645,29.6743
17,3,138491,121546,87.7645,29.6743
17,4,138491,121546,87.7645,29.6743
17,5,138491,121546,87.7645,29.6743
17,total,830946,729276,87.7645,178.0459
18,0,138469,121572,87.7973,29.6807
18,1,138469,121572,87.7973,29.6807
18,2,138469,121572,87.7973,29.6807
18,3,138469,121572,87.7973,29.6807
18,4,138469,121572,87.7973,29.6807
18,5,138469,121572,87.7973,29.6807
18,total,830814,729432,87.7973,178.0840
19,0,138004,120714,87.4714,29.4712
19,1,138004,120714,87.4714,29.4712
19,2,138004,120714,87.4714,29.4712
19,3,138004,120714,87.4714,29.4712
19,4,138004,120714,87.4714,29.4712
19,5,138004,120714,87.4714,29.4712
19,total,828024,724284,87.4714,176.8271
20,0,138460,121360,87.6499,29.6289
20,1,138460,121360,87.6499,29.6289
20,2,138460,121360,87.6499,29.6289
20,3,138460,121360,87.6499,29.6289
20,4,138460,121360,87.6499,29.6289
20,5,138460,121360,87.6499,29.6289
20,total,830760,728160,87.6499,177.7734
21,0,137957,120235,87.1540,29.3542
21,1,137957,120235,87.1540,29.3542
21,2,137957,120235,87.1540,29.3542
21,3,137957,120235,87.1540,29.3542
21,4,137957,120235,87.1540,29.3542
21,5,137957,120235,87.1540,29.3542
21,total,827742,721410,87.1540,176.1255
22,0,138162,120393,87.1390,29.3928
22,1,138162,120393,87.1390,29.3928
22,2,138162,120393,87.1390,29.3928
22,3,138162,120393,87.1390,29.3928
22,4,138162,120393,87.1390,29.3928
22,5,138162,120393,87.1390,29.3928
22,total,828972,722358,87.1390,176.3569
23,0,137961,120124,87.0710,29.3271
23,1,137961,120124,87.0710,29.3271
23,2,137961,120124,87.0710,29.3271
23,3,137961,120124,87.0710,29.3271
23,4,137961,120124,87.0710,29.3271
23,5,137961,120124,87.0710,29.3271
23,total,827766,720744,87.0710,175.9629
24,0,137514,119769,87.0959,29.2405
24,1,137514,119769,87.0959,29.2405
24,2,137514,119769,87.0959,29.2405
24,3,137514,119769,87.0959,29.2405
24,4,137514,119769,87.0959,29.2405
24,5,137514,119769,87.0959,29.2405
24,total,825084,718614,87.0959,175.4429
25,0,138646,121579,87.6902,29.6824
25,1,138646,121579,87.6902,29.6824
25,2,138646,121579,87.6902,29.6824
25,3,138646,121579,87.6902,29.6824
25,4,138646,121579,87.6902,29.6824
25,5,138646,121579,87.6902,29.6824
25,total,831876,729474,87.6902,178.0942
26,0,138967,122207,87.9396,29.8357
26,1,138967,122207,87.9396,29.8357
26,2,138967,122207,87.9396,29.8357
26,3,138967,122207,87.9396,29.8357
26,4,138967,122207,87.9396,29.8357
26,5,138967,122207,87.9396,29.8357
26,total,833802,733242,87.9396,179.0142
27,0,140046,123938,88.4981,30.2583
27,1,140046,123938,88.4981,30.2583
27,2,140046,123938,88.4981,30.2583
27,3,140046,123938,88.4981,30.2583
27,4,140046,123938,88.4981,30.2583
27,5,140046,123938,88.4981,30.2583
27,total,840276,743628,88.4981,181.5498
28,0,138499,121224,87.5270,29.5957
28,1,138499,121224,87.5270,29.5957
28,2,138499,121224,87.5270,29.5957
28,3,138499,121224,87.5270,29.5957
28,4,138499,121224,87.5270,29.5957
28,5,138499,121224,87.5270,29.5957
28,total,830994,727344,87.5270,177.5742
29,0,137974,120564,87.3817,29.4346
29,1,137974,120564,87.3817,29.4346
29,2,137974,120564,87.3817,29.4346
29,3,137974,120564,87.3817,29.4346
29,4,137974,120564,87.3817,29.4346
29,5,137974,120564,87.3817,29.4346
29,total,827844,723384,87.3817,176.6074
30,0,139421,122955,88.1897,30.0183
30,1,139421,122955,88.1897,30.0183
30,2,139421,122955,88.1897,30.0183
30,3,139421,122955,88.1897,30.0183
30,4,139421,122955,88.1897,30.0183
30,5,139421,122955,88.1897,30.0183
30,total,836526,737730,88.1897,180.1099
31,0,139810,123588,88.3971,30.1729
31,1,139810,123588,88.3971,30.1729
31,2,139810,123588,88.3971,30.1729
31,3,139810,123588,88.3971,30.1729
31,4,139810,123588,88.3971,30.1729
31,5,139810,123588,88.3971,30.1729
31,total,838860,741528,88.3971,181.0371
32,0,138426,121646,87.8780,29.6987
32,1,138426,121646,87.8780,29.6987
32,2,138426,121646,87.8780,29.6987
32,3,138426,121646,87.8780,29.6987
32,4,138426,121646,87.8780,29.6987
32,5,138426,121646,87.8780,29.6987
32,total,830556,729876,87.8780,178.1924
33,0,138146,120662,87.3438,29.4585
33,1,138146,120662,87.3438,29.4585
33,2,138146,120662,87.3438,29.4585
33,3,138146,120662,87.3438,29.4585
33,4,138146,120662,87.3438,29.4585
33,5,138146,120662,87.3438,29.4585
33,total,828876,723972,87.3438,176.7510
34,0,139992,123698,88.3608,30.1997
34,1,139992,123698,88.3608,30.1997
34,2,139992,123698,88.3608,30.1997
34,3,139992,123698,88.3608,30.1997
