# model_name=layerwise_exchange_client_12
# seed=0
# started_at=20260424-224521
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.7803940720610566,0.8227260708808899,0.08925676074894992,0.3889607976783406,0.0,0.0,0.4804469645023346,0.0,0.0,0.0,0.0,0.5013774037361145,0.0,0.0,0.0,0.4975844621658325,0.41602975130081177,0.588794469833374,0.49904921650886536,0.12006744742393494,0.24243876338005066,0.593139111995697,0.28910043835639954,0.1402292549610138,0.3814331293106079,0.5107027292251587
2,0.778703979520134,0.8213647043003756,0.16637877171689813,0.42069254273718054,0.0,0.0,0.3121951222419739,0.0,0.0,0.0,0.6600984930992126,0.5013774037361145,0.3564954698085785,0.0,0.0,0.7846399545669556,0.43340417742729187,0.7938389778137207,0.4540606439113617,0.1263348013162613,0.22869998216629028,0.4099760353565216,0.23341935873031616,0.1355322301387787,0.5234453678131104,0.5042664408683777
3,0.8008575777867775,0.8401697102714988,0.15098683663051238,0.3981871808117086,0.0634920597076416,0.0,0.06741572916507721,0.0,0.0,0.0,0.6600984930992126,0.5013774037361145,0.3564954698085785,0.011976047419011593,0.0,0.6817973256111145,0.43251386284828186,0.6476245522499084,0.41580140590667725,0.1693059206008911,0.2718257009983063,0.4423154592514038,0.28572937846183777,0.17759747803211212,0.4513343274593353,0.4042135775089264
4,0.6518948997333373,0.6671110531863045,0.562724690545689,0.684393048286438,0.7676767706871033,0.6710963249206543,0.7553957104682922,0.6273062825202942,0.28776979446411133,0.35242292284965515,0.7006710767745972,0.5502318143844604,0.41354721784591675,0.5563910007476807,0.5074626803398132,0.9775195717811584,0.9521145224571228,0.9583617448806763,0.9514029622077942,0.340900719165802,0.5966523885726929,0.6610395312309265,0.4687911868095398,0.29821789264678955,0.6447850465774536,0.6785379648208618
5,0.42024125513576327,0.43712923456640806,0.7350220030004327,0.7325573753226887,0.9776536226272583,0.9717223644256592,0.9942196607589722,0.9973190426826477,0.3947368860244751,0.6329786777496338,0.7448979020118713,0.6097560524940491,0.4792175889015198,0.6198830604553223,0.662857174873352,0.9999104142189026,0.997426450252533,1.0,0.9999712705612183,0.4023783802986145,0.6589451432228088,0.7387235164642334,0.5721089243888855,0.3569912612438202,0.638964056968689,0.6927117109298706
6,0.39502307084890514,0.41503382430357094,0.7354390621185303,0.7400428625670347,0.9863760471343994,0.9795917868614197,0.9772727489471436,0.9893616437911987,0.45229682326316833,0.6169154644012451,0.7305606603622437,0.6052632331848145,0.4696570336818695,0.625,0.6575342416763306,0.9993349313735962,0.9957031011581421,0.999864399433136,0.9999146461486816,0.45888713002204895,0.6491974592208862,0.7537398934364319,0.5798910856246948,0.37453097105026245,0.6385243535041809,0.6908835172653198
7,0.3940263849038344,0.40684346065801735,0.7307502735744823,0.7580769847739827,0.9890110492706299,0.9802955389022827,0.9828571677207947,0.9637305736541748,0.44999998807907104,0.6279070377349854,0.6934865713119507,0.5854800939559937,0.45682448148727417,0.6455026268959045,0.6631578803062439,0.999028742313385,0.9991204738616943,0.9998653531074524,1.0,0.44960248470306396,0.649296760559082,0.7841477990150452,0.6463690996170044,0.4726397693157196,0.6494638919830322,0.6893124580383301
8,0.3841828304332691,0.4006536848404828,0.7384445856917988,0.758288090879267,0.9889503121376038,0.9797980189323425,0.9856733083724976,0.9867374300956726,0.4697986841201782,0.6093366742134094,0.7357142567634583,0.6039387583732605,0.47593584656715393,0.6386555433273315,0.6483516097068787,0.9998224377632141,0.9986023306846619,0.999864399433136,1.0,0.4605075418949127,0.6413881182670593,0.7750120162963867,0.6569032073020935,0.46910789608955383,0.6420961022377014,0.6978649497032166
9,0.3772771826812199,0.3888942406458013,0.7363403385335748,0.7651262987743724,0.9861496090888977,0.9796954989433289,0.9913544654846191,0.9893616437911987,0.46689894795417786,0.6063569784164429,0.7402135133743286,0.6000000238418579,0.4523160755634308,0.6282420754432678,0.6591548919677734,0.9989443421363831,0.9985607862472534,0.9998986124992371,1.0,0.4790080785751343,0.6452829241752625,0.7923945784568787,0.6506580114364624,0.502722978591919,0.64902263879776,0.6998963356018066
10,0.37531682423182894,0.3878598213195801,0.7381414256312631,0.7615582184358076,0.9863013029098511,0.9821882843971252,0.9913544654846191,0.9893616437911987,0.4539007246494293,0.6210269331932068,0.7450980544090271,0.6120690107345581,0.46321529150009155,0.623229444026947,0.6518105268478394,0.9994983077049255,0.9999250173568726,1.0,1.0,0.4572788178920746,0.660849392414093,0.7893201112747192,0.6462996006011963,0.49056217074394226,0.6430770754814148,0.690329909324646
11,0.37552020717889834,0.39028695576331196,0.7373064837672494,0.7717195911840959,0.9917355179786682,0.9769821166992188,0.9885057806968689,0.9893616437911987,0.47887325286865234,0.6282973289489746,0.7182320356369019,0.5893271565437317,0.46796658635139465,0.625352144241333,0.6557377576828003,0.9999104142189026,0.9991500973701477,1.0,1.0,0.4697946310043335,0.6468889713287354,0.8014408946037292,0.6750829815864563,0.5701078772544861,0.6466098427772522,0.679929792881012
12,0.3679350712797144,0.3785291857579175,0.7464201829650186,0.773313660513271,0.9889503121376038,0.9949748516082764,0.9942196607589722,0.9893616437911987,0.47887325286865234,0.6168674826622009,0.7357142567634583,0.6298850774765015,0.5014749765396118,0.621082603931427,0.659217894077301,0.9999404549598694,0.9999751448631287,1.0,1.0,0.49065718054771423,0.6448373794555664,0.7987063527107239,0.6824216246604919,0.5426311492919922,0.650412917137146,0.6968680620193481
