epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,126145,28261,22.4036,6.8997
1,1,126145,28261,22.4036,6.8997
1,2,126145,28261,22.4036,6.8997
1,3,126145,28261,22.4036,6.8997
1,4,126145,28261,22.4036,6.8997
1,5,126145,28261,22.4036,6.8997
1,total,756870,169566,22.4036,41.3979
2,0,126756,28467,22.4581,6.9500
2,1,126756,28467,22.4581,6.9500
2,2,126756,28467,22.4581,6.9500
2,3,126756,28467,22.4581,6.9500
2,4,126756,28467,22.4581,6.9500
2,5,126756,28467,22.4581,6.9500
2,total,760536,170802,22.4581,41.6997
3,0,127353,28913,22.7030,7.0588
3,1,127353,28913,22.7030,7.0588
3,2,127353,28913,22.7030,7.0588
3,3,127353,28913,22.7030,7.0588
3,4,127353,28913,22.7030,7.0588
3,5,127353,28913,22.7030,7.0588
3,total,764118,173478,22.7030,42.3530
4,0,127296,28978,22.7643,7.0747
4,1,127296,28978,22.7643,7.0747
4,2,127296,28978,22.7643,7.0747
4,3,127296,28978,22.7643,7.0747
4,4,127296,28978,22.7643,7.0747
4,5,127296,28978,22.7643,7.0747
4,total,763776,173868,22.7643,42.4482
5,0,127637,28750,22.5248,7.0190
5,1,127637,28750,22.5248,7.0190
5,2,127637,28750,22.5248,7.0190
5,3,127637,28750,22.5248,7.0190
5,4,127637,28750,22.5248,7.0190
5,5,127637,28750,22.5248,7.0190
5,total,765822,172500,22.5248,42.1143
6,0,127672,28852,22.5985,7.0439
6,1,127672,28852,22.5985,7.0439
6,2,127672,28852,22.5985,7.0439
6,3,127672,28852,22.5985,7.0439
6,4,127672,28852,22.5985,7.0439
6,5,127672,28852,22.5985,7.0439
6,total,766032,173112,22.5985,42.2637
7,0,126724,28422,22.4283,6.9390
7,1,126724,28422,22.4283,6.9390
7,2,126724,28422,22.4283,6.9390
7,3,126724,28422,22.4283,6.9390
7,4,126724,28422,22.4283,6.9390
7,5,126724,28422,22.4283,6.9390
7,total,760344,170532,22.4283,41.6338
8,0,127524,28980,22.7251,7.0752
8,1,127524,28980,22.7251,7.0752
8,2,127524,28980,22.7251,7.0752
8,3,127524,28980,22.7251,7.0752
8,4,127524,28980,22.7251,7.0752
8,5,127524,28980,22.7251,7.0752
8,total,765144,173880,22.7251,42.4512
9,0,127803,29283,22.9126,7.1492
9,1,127803,29283,22.9126,7.1492
9,2,127803,29283,22.9126,7.1492
9,3,127803,29283,22.9126,7.1492
9,4,127803,29283,22.9126,7.1492
9,5,127803,29283,22.9126,7.1492
9,total,766818,175698,22.9126,42.8950
10,0,127280,28953,22.7475,7.0686
10,1,127280,28953,22.7475,7.0686
10,2,127280,28953,22.7475,7.0686
10,3,127280,28953,22.7475,7.0686
10,4,127280,28953,22.7475,7.0686
10,5,127280,28953,22.7475,7.0686
10,total,763680,173718,22.7475,42.4116
11,0,127061,28453,22.3932,6.9465
11,1,127061,28453,22.3932,6.9465
11,2,127061,28453,22.3932,6.9465
11,3,127061,28453,22.3932,6.9465
11,4,127061,28453,22.3932,6.9465
11,5,127061,28453,22.3932,6.9465
11,total,762366,170718,22.3932,41.6792
12,0,126877,28626,22.5620,6.9888
12,1,126877,28626,22.5620,6.9888
12,2,126877,28626,22.5620,6.9888
12,3,126877,28626,22.5620,6.9888
12,4,126877,28626,22.5620,6.9888
12,5,126877,28626,22.5620,6.9888
12,total,761262,171756,22.5620,41.9326
13,0,127037,29270,23.0405,7.1460
13,1,127037,29270,23.0405,7.1460
13,2,127037,29270,23.0405,7.1460
13,3,127037,29270,23.0405,7.1460
13,4,127037,29270,23.0405,7.1460
13,5,127037,29270,23.0405,7.1460
13,total,762222,175620,23.0405,42.8760
14,0,127200,28336,22.2767,6.9180
14,1,127200,28336,22.2767,6.9180
14,2,127200,28336,22.2767,6.9180
14,3,127200,28336,22.2767,6.9180
14,4,127200,28336,22.2767,6.9180
14,5,127200,28336,22.2767,6.9180
14,total,763200,170016,22.2767,41.5078
15,0,127282,28621,22.4863,6.9875
15,1,127282,28621,22.4863,6.9875
15,2,127282,28621,22.4863,6.9875
15,3,127282,28621,22.4863,6.9875
15,4,127282,28621,22.4863,6.9875
15,5,127282,28621,22.4863,6.9875
15,total,763692,171726,22.4863,41.9253
16,0,127630,29015,22.7337,7.0837
16,1,127630,29015,22.7337,7.0837
16,2,127630,29015,22.7337,7.0837
16,3,127630,29015,22.7337,7.0837
16,4,127630,29015,22.7337,7.0837
16,5,127630,29015,22.7337,7.0837
16,total,765780,174090,22.7337,42.5024
17,0,127315,28582,22.4498,6.9780
17,1,127315,28582,22.4498,6.9780
17,2,127315,28582,22.4498,6.9780
17,3,127315,28582,22.4498,6.9780
17,4,127315,28582,22.4498,6.9780
17,5,127315,28582,22.4498,6.9780
17,total,763890,171492,22.4498,41.8682
18,0,127199,28501,22.4066,6.9583
18,1,127199,28501,22.4066,6.9583
18,2,127199,28501,22.4066,6.9583
18,3,127199,28501,22.4066,6.9583
18,4,127199,28501,22.4066,6.9583
18,5,127199,28501,22.4066,6.9583
18,total,763194,171006,22.4066,41.7495
19,0,126548,28635,22.6278,6.9910
19,1,126548,28635,22.6278,6.9910
19,2,126548,28635,22.6278,6.9910
19,3,126548,28635,22.6278,6.9910
19,4,126548,28635,22.6278,6.9910
19,5,126548,28635,22.6278,6.9910
19,total,759288,171810,22.6278,41.9458
20,0,127095,28390,22.3376,6.9312
20,1,127095,28390,22.3376,6.9312
20,2,127095,28390,22.3376,6.9312
20,3,127095,28390,22.3376,6.9312
20,4,127095,28390,22.3376,6.9312
20,5,127095,28390,22.3376,6.9312
20,total,762570,170340,22.3376,41.5869
21,0,126881,28097,22.1444,6.8596
21,1,126881,28097,22.1444,6.8596
21,2,126881,28097,22.1444,6.8596
21,3,126881,28097,22.1444,6.8596
21,4,126881,28097,22.1444,6.8596
21,5,126881,28097,22.1444,6.8596
21,total,761286,168582,22.1444,41.1577
22,0,126855,28776,22.6842,7.0254
22,1,126855,28776,22.6842,7.0254
22,2,126855,28776,22.6842,7.0254
22,3,126855,28776,22.6842,7.0254
22,4,126855,28776,22.6842,7.0254
22,5,126855,28776,22.6842,7.0254
22,total,761130,172656,22.6842,42.1523
23,0,127246,28904,22.7151,7.0566
23,1,127246,28904,22.7151,7.0566
23,2,127246,28904,22.7151,7.0566
23,3,127246,28904,22.7151,7.0566
23,4,127246,28904,22.7151,7.0566
23,5,127246,28904,22.7151,7.0566
23,total,763476,173424,22.7151,42.3398
24,0,127113,28561,22.4690,6.9729
24,1,127113,28561,22.4690,6.9729
24,2,127113,28561,22.4690,6.9729
24,3,127113,28561,22.4690,6.9729
24,4,127113,28561,22.4690,6.9729
24,5,127113,28561,22.4690,6.9729
24,total,762678,171366,22.4690,41.8374
25,0,125871,28063,22.2950,6.8513
25,1,125871,28063,22.2950,6.8513
25,2,125871,28063,22.2950,6.8513
25,3,125871,28063,22.2950,6.8513
25,4,125871,28063,22.2950,6.8513
25,5,125871,28063,22.2950,6.8513
25,total,755226,168378,22.2950,41.1079
26,0,127519,28699,22.5057,7.0066
26,1,127519,28699,22.5057,7.0066
26,2,127519,28699,22.5057,7.0066
26,3,127519,28699,22.5057,7.0066
26,4,127519,28699,22.5057,7.0066
26,5,127519,28699,22.5057,7.0066
26,total,765114,172194,22.5057,42.0396
27,0,127088,28521,22.4419,6.9631
27,1,127088,28521,22.4419,6.9631
27,2,127088,28521,22.4419,6.9631
27,3,127088,28521,22.4419,6.9631
27,4,127088,28521,22.4419,6.9631
27,5,127088,28521,22.4419,6.9631
27,total,762528,171126,22.4419,41.7788
28,0,127313,28405,22.3112,6.9348
28,1,127313,28405,22.3112,6.9348
28,2,127313,28405,22.3112,6.9348
28,3,127313,28405,22.3112,6.9348
28,4,127313,28405,22.3112,6.9348
28,5,127313,28405,22.3112,6.9348
28,total,763878,170430,22.3112,41.6089
29,0,127508,28422,22.2904,6.9390
29,1,127508,28422,22.2904,6.9390
29,2,127508,28422,22.2904,6.9390
29,3,127508,28422,22.2904,6.9390
29,4,127508,28422,22.2904,6.9390
29,5,127508,28422,22.2904,6.9390
29,total,765048,170532,22.2904,41.6338
30,0,126695,28352,22.3782,6.9219
30,1,126695,28352,22.3782,6.9219
30,2,126695,28352,22.3782,6.9219
30,3,126695,28352,22.3782,6.9219
30,4,126695,28352,22.3782,6.9219
30,5,126695,28352,22.3782,6.9219
30,total,760170,170112,22.3782,41.5312
31,0,127561,28833,22.6033,7.0393
31,1,127561,28833,22.6033,7.0393
31,2,127561,28833,22.6033,7.0393
31,3,127561,28833,22.6033,7.0393
31,4,127561,28833,22.6033,7.0393
31,5,127561,28833,22.6033,7.0393
31,total,765366,172998,22.6033,42.2358
32,0,127254,28561,22.4441,6.9729
32,1,127254,28561,22.4441,6.9729
32,2,127254,28561,22.4441,6.9729
32,3,127254,28561,22.4441,6.9729
32,4,127254,28561,22.4441,6.9729
32,5,127254,28561,22.4441,6.9729
32,total,763524,171366,22.4441,41.8374
33,0,125965,28309,22.4737,6.9114
33,1,125965,28309,22.4737,6.9114
33,2,125965,28309,22.4737,6.9114
33,3,125965,28309,22.4737,6.9114
33,4,125965,28309,22.4737,6.9114
33,5,125965,28309,22.4737,6.9114
33,total,755790,169854,22.4737,41.4683
34,0,127798,29114,22.7813,7.1079
34,1,127798,29114,22.7813,7.1079
34,2,127798,29114,22.7813,7.1079
34,3,127798,29114,22.7813,7.1079
34,4,127798,29114,22.7813,7.1079
34,5,127798,29114,22.7813,7.1079
34,total,766788,174684,22.7813,42.6475
35,0,128047,29720,23.2102,7.2559
35,1,128047,29720,23.2102,7.2559
35,2,128047,29720,23.2102,7.2559
35,3,128047,29720,23.2102,7.2559
35,4,128047,29720,23.2102,7.2559
35,5,128047,29720,23.2102,7.2559
35,total,768282,178320,23.2102,43.5352
36,0,127381,28578,22.4351,6.9771
36,1,127381,28578,22.4351,6.9771
36,2,127381,28578,22.4351,6.9771
36,3,127381,28578,22.4351,6.9771
36,4,127381,28578,22.4351,6.9771
36,5,127381,28578,22.4351,6.9771
36,total,764286,171468,22.4351,41.8623
37,0,127934,29087,22.7359,7.1013
37,1,127934,29087,22.7359,7.1013
37,2,127934,29087,22.7359,7.1013
37,3,127934,29087,22.7359,7.1013
37,4,127934,29087,22.7359,7.1013
37,5,127934,29087,22.7359,7.1013
37,total,767604,174522,22.7359,42.6079
38,0,127030,28389,22.3483,6.9309
38,1,127030,28389,22.3483,6.9309
38,2,127030,28389,22.3483,6.9309
38,3,127030,28389,22.3483,6.9309
38,4,127030,28389,22.3483,6.9309
38,5,127030,28389,22.3483,6.9309
38,total,762180,170334,22.3483,41.5854
39,0,125939,27871,22.1306,6.8044
39,1,125939,27871,22.1306,6.8044
39,2,125939,27871,22.1306,6.8044
39,3,125939,27871,22.1306,6.8044
39,4,125939,27871,22.1306,6.8044
39,5,125939,27871,22.1306,6.8044
39,total,755634,167226,22.1306,40.8267
40,0,126814,28169,22.2128,6.8772
40,1,126814,28169,22.2128,6.8772
40,2,126814,28169,22.2128,6.8772
40,3,126814,28169,22.2128,6.8772
40,4,126814,28169,22.2128,6.8772
40,5,126814,28169,22.2128,6.8772
40,total,760884,169014,22.2128,41.2632
41,0,127220,28423,22.3416,6.9392
41,1,127220,28423,22.3416,6.9392
41,2,127220,28423,22.3416,6.9392
41,3,127220,28423,22.3416,6.9392
41,4,127220,28423,22.3416,6.9392
41,5,127220,28423,22.3416,6.9392
41,total,763320,170538,22.3416,41.6353
42,0,127008,28225,22.2230,6.8909
42,1,127008,28225,22.2230,6.8909
42,2,127008,28225,22.2230,6.8909
42,3,127008,28225,22.2230,6.8909
42,4,127008,28225,22.2230,6.8909
42,5,127008,28225,22.2230,6.8909
42,total,762048,169350,22.2230,41.3452
43,0,127567,29179,22.8735,7.1238
43,1,127567,29179,22.8735,7.1238
43,2,127567,29179,22.8735,7.1238
43,3,127567,29179,22.8735,7.1238
43,4,127567,29179,22.8735,7.1238
43,5,127567,29179,22.8735,7.1238
43,total,765402,175074,22.8735,42.7427
44,0,127085,28712,22.5928,7.0098
44,1,127085,28712,22.5928,7.0098
44,2,127085,28712,22.5928,7.0098
44,3,127085,28712,22.5928,7.0098
44,4,127085,28712,22.5928,7.0098
44,5,127085,28712,22.5928,7.0098
44,total,762510,172272,22.5928,42.0586
45,0,126822,28550,22.5119,6.9702
