# model_name=layerwise_exchange_bwd_client_2
# seed=0
# started_at=20260602-105057
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.8013789481616347,0.7983625277365273,0.14641526612368497,0.7199191451072693,0.0,0.0,0.0,0.0,0.0,0.0,0.6614519953727722,0.5326902270317078,0.4164257049560547,0.0,0.0,0.9835230112075806,0.9018388390541077,0.9184988737106323,0.9474707245826721,0.39424294233322144,0.5993167161941528,0.7305874824523926,0.6233841180801392,0.4615570902824402,0.6972235441207886,0.6614672541618347
2,0.509161983678462,0.5076183027555857,0.6928248080340299,0.8141845627264543,0.8787514567375183,0.9588732123374939,0.9175582528114319,0.9994106888771057,0.5,0.3917197585105896,0.7194775938987732,0.611892580986023,0.5091315507888794,0.5432287454605103,0.5910290479660034,0.9991127252578735,0.9893744587898254,1.0,0.9999986290931702,0.6152397394180298,0.6600978374481201,0.8142637610435486,0.7717114686965942,0.7427664995193481,0.6977158784866333,0.665749192237854
3,0.26597273606126026,0.2801991312324435,0.8302822654897516,0.8728195320476185,0.9769989252090454,0.9989165663719177,0.9976798295974731,0.9900874495506287,0.944444477558136,0.8086875677108765,0.7290297150611877,0.7125545740127563,0.6998654007911682,0.6447174549102783,0.6301229596138,0.999967098236084,0.9999976754188538,0.9999412894248962,0.999366044998169,0.9563413262367249,0.832139790058136,0.8510844707489014,0.811572253704071,0.7955582141876221,0.6955902576446533,0.6594564318656921
4,0.25476278161887644,0.2620006339057159,0.8322797580198809,0.8803915164687417,0.9645232558250427,0.9923664331436157,0.9976798295974731,0.9906651377677917,0.9592232704162598,0.9177182912826538,0.7300698757171631,0.6909693479537964,0.6348373293876648,0.6482542753219604,0.6287702918052673,0.9996472597122192,0.999887228012085,1.0,0.9999549984931946,0.9585472345352173,0.9346458315849304,0.8553731441497803,0.8038901090621948,0.777615487575531,0.695555567741394,0.6591898202896118
5,0.23517089674417116,0.24270942186769384,0.8441461487249895,0.8930678584358909,0.9978541135787964,0.9929155707359314,0.9936453104019165,0.9964789152145386,0.9366130828857422,0.9342039823532104,0.7388352751731873,0.7137387990951538,0.6815323233604431,0.6498687863349915,0.6499214768409729,1.0,0.9999930262565613,0.9999687671661377,0.9999958276748657,0.9655109643936157,0.9619355201721191,0.8710632920265198,0.8255503177642822,0.8152356743812561,0.7080836892127991,0.6764093637466431
6,0.22716737484154015,0.23897454774971857,0.847655410116369,0.897455480965701,0.9967811107635498,0.9612141847610474,0.9947946667671204,0.9988235235214233,0.9639727473258972,0.9303956031799316,0.7447605133056641,0.7229283452033997,0.7014455795288086,0.6547291874885559,0.6543640494346619,0.999970555305481,1.0,1.0,1.0,0.9732130765914917,0.9620466232299805,0.8788513541221619,0.8363566994667053,0.8232372403144836,0.7188456058502197,0.6794891357421875
7,0.22244325923309707,0.2316403073755993,0.8536914153532549,0.9009768204255537,0.9973190426826477,0.9918166995048523,0.9947946667671204,0.998236358165741,0.9649122953414917,0.9399899244308472,0.7767328023910522,0.7284403443336487,0.6773454546928406,0.6680828928947449,0.6529350876808167,0.9999919533729553,0.9999953508377075,1.0,1.0,0.9791590571403503,0.9664910435676575,0.8911672234535217,0.8418940305709839,0.8273782730102539,0.7206894159317017,0.6839786767959595
8,0.2163905934864033,0.2242738954162319,0.8570621609687805,0.9047984372485768,0.9967775940895081,0.9801324605941772,0.9947946667671204,0.9988235235214233,0.9657869338989258,0.943683385848999,0.7900884747505188,0.7340425252914429,0.7077844142913818,0.672508180141449,0.6432616114616394,1.0,0.9999964833259583,1.0,1.0,0.9720405340194702,0.9675368070602417,0.9073237180709839,0.8482984900474548,0.8363070487976074,0.7220670580863953,0.6992126703262329
9,0.20785345296794325,0.21539521912878842,0.8639449748125944,0.9067960273135792,0.9989281892776489,0.9983740448951721,0.9953703284263611,0.9958943724632263,0.9744094610214233,0.9401107430458069,0.8307332396507263,0.7491475939750671,0.7081280946731567,0.6603301763534546,0.6519684791564941,1.0,1.0,1.0,0.9999971985816956,0.9830965995788574,0.9610486030578613,0.9278291463851929,0.8533903956413269,0.8368344902992249,0.7265446782112122,0.6860151886940002
10,0.20157540216351333,0.2150619082898446,0.8661919236183167,0.9080506617372687,0.9978541135787964,0.9961977005004883,0.9947946667671204,0.9976498484611511,0.9620991349220276,0.9433770775794983,0.8403295874595642,0.743095338344574,0.7291523218154907,0.6666666269302368,0.6568947434425354,0.9999977350234985,1.0,0.9999973177909851,1.0,0.9595159888267517,0.9715949892997742,0.9300472140312195,0.8583896160125732,0.8429663777351379,0.7249687314033508,0.7010793089866638
