epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,51281,35253,68.7448,8.6067
1,1,51281,35253,68.7448,8.6067
1,2,51281,35253,68.7448,8.6067
1,3,51281,35253,68.7448,8.6067
1,4,51281,35253,68.7448,8.6067
1,5,51281,35253,68.7448,8.6067
1,total,307686,211518,68.7448,51.6401
2,0,51314,35668,69.5093,8.7080
2,1,51314,35668,69.5093,8.7080
2,2,51314,35668,69.5093,8.7080
2,3,51314,35668,69.5093,8.7080
2,4,51314,35668,69.5093,8.7080
2,5,51314,35668,69.5093,8.7080
2,total,307884,214008,69.5093,52.2480
3,0,51093,34387,67.3028,8.3953
3,1,51093,34387,67.3028,8.3953
3,2,51093,34387,67.3028,8.3953
3,3,51093,34387,67.3028,8.3953
3,4,51093,34387,67.3028,8.3953
3,5,51093,34387,67.3028,8.3953
3,total,306558,206322,67.3028,50.3716
4,0,51328,35320,68.8123,8.6230
4,1,51328,35320,68.8123,8.6230
4,2,51328,35320,68.8123,8.6230
4,3,51328,35320,68.8123,8.6230
4,4,51328,35320,68.8123,8.6230
4,5,51328,35320,68.8123,8.6230
4,total,307968,211920,68.8123,51.7383
5,0,51098,34689,67.8872,8.4690
5,1,51098,34689,67.8872,8.4690
5,2,51098,34689,67.8872,8.4690
5,3,51098,34689,67.8872,8.4690
5,4,51098,34689,67.8872,8.4690
5,5,51098,34689,67.8872,8.4690
5,total,306588,208134,67.8872,50.8140
6,0,51213,35349,69.0235,8.6301
6,1,51213,35349,69.0235,8.6301
6,2,51213,35349,69.0235,8.6301
6,3,51213,35349,69.0235,8.6301
6,4,51213,35349,69.0235,8.6301
6,5,51213,35349,69.0235,8.6301
6,total,307278,212094,69.0235,51.7808
7,0,50890,35358,69.4793,8.6323
7,1,50890,35358,69.4793,8.6323
7,2,50890,35358,69.4793,8.6323
7,3,50890,35358,69.4793,8.6323
7,4,50890,35358,69.4793,8.6323
7,5,50890,35358,69.4793,8.6323
7,total,305340,212148,69.4793,51.7939
8,0,50580,34217,67.6493,8.3538
8,1,50580,34217,67.6493,8.3538
8,2,50580,34217,67.6493,8.3538
