epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,246206,126942,51.5593,30.9917
1,1,246206,126942,51.5593,30.9917
1,2,246206,126942,51.5593,30.9917
1,3,246206,126942,51.5593,30.9917
1,4,246206,126942,51.5593,30.9917
1,5,246206,126942,51.5593,30.9917
1,total,1477236,761652,51.5593,185.9502
2,0,244626,122504,50.0781,29.9082
2,1,244626,122504,50.0781,29.9082
2,2,244626,122504,50.0781,29.9082
2,3,244626,122504,50.0781,29.9082
2,4,244626,122504,50.0781,29.9082
2,5,244626,122504,50.0781,29.9082
2,total,1467756,735024,50.0781,179.4492
3,0,243674,119899,49.2047,29.2722
3,1,243674,119899,49.2047,29.2722
3,2,243674,119899,49.2047,29.2722
3,3,243674,119899,49.2047,29.2722
3,4,243674,119899,49.2047,29.2722
3,5,243674,119899,49.2047,29.2722
3,total,1462044,719394,49.2047,175.6333
4,0,243371,120575,49.5437,29.4373
4,1,243371,120575,49.5437,29.4373
4,2,243371,120575,49.5437,29.4373
4,3,243371,120575,49.5437,29.4373
4,4,243371,120575,49.5437,29.4373
4,5,243371,120575,49.5437,29.4373
4,total,1460226,723450,49.5437,176.6235
5,0,242804,117664,48.4605,28.7266
5,1,242804,117664,48.4605,28.7266
5,2,242804,117664,48.4605,28.7266
5,3,242804,117664,48.4605,28.7266
5,4,242804,117664,48.4605,28.7266
5,5,242804,117664,48.4605,28.7266
5,total,1456824,705984,48.4605,172.3594
6,0,243091,120589,49.6065,29.4407
6,1,243091,120589,49.6065,29.4407
6,2,243091,120589,49.6065,29.4407
6,3,243091,120589,49.6065,29.4407
6,4,243091,120589,49.6065,29.4407
6,5,243091,120589,49.6065,29.4407
6,total,1458546,723534,49.6065,176.6440
7,0,243783,117433,48.1711,28.6702
7,1,243783,117433,48.1711,28.6702
7,2,243783,117433,48.1711,28.6702
7,3,243783,117433,48.1711,28.6702
7,4,243783,117433,48.1711,28.6702
7,5,243783,117433,48.1711,28.6702
7,total,1462698,704598,48.1711,172.0210
8,0,242832,119103,49.0475,29.0779
8,1,242832,119103,49.0475,29.0779
8,2,242832,119103,49.0475,29.0779
8,3,242832,119103,49.0475,29.0779
8,4,242832,119103,49.0475,29.0779
8,5,242832,119103,49.0475,29.0779
8,total,1456992,714618,49.0475,174.4673
9,0,244438,121235,49.5974,29.5984
9,1,244438,121235,49.5974,29.5984
9,2,244438,121235,49.5974,29.5984
9,3,244438,121235,49.5974,29.5984
9,4,244438,121235,49.5974,29.5984
9,5,244438,121235,49.5974,29.5984
9,total,1466628,727410,49.5974,177.5903
10,0,243546,120160,49.3377,29.3359
10,1,243546,120160,49.3377,29.3359
10,2,243546,120160,49.3377,29.3359
10,3,243546,120160,49.3377,29.3359
10,4,243546,120160,49.3377,29.3359
10,5,243546,120160,49.3377,29.3359
10,total,1461276,720960,49.3377,176.0156
11,0,241535,117876,48.8029,28.7783
11,1,241535,117876,48.8029,28.7783
11,2,241535,117876,48.8029,28.7783
11,3,241535,117876,48.8029,28.7783
11,4,241535,117876,48.8029,28.7783
11,5,241535,117876,48.8029,28.7783
11,total,1449210,707256,48.8029,172.6699
12,0,243973,118623,48.6214,28.9607
12,1,243973,118623,48.6214,28.9607
12,2,243973,118623,48.6214,28.9607
12,3,243973,118623,48.6214,28.9607
12,4,243973,118623,48.6214,28.9607
12,5,243973,118623,48.6214,28.9607
12,total,1463838,711738,48.6214,173.7642
13,0,241313,118414,49.0707,28.9097
13,1,241313,118414,49.0707,28.9097
13,2,241313,118414,49.0707,28.9097
13,3,241313,118414,49.0707,28.9097
13,4,241313,118414,49.0707,28.9097
13,5,241313,118414,49.0707,28.9097
13,total,1447878,710484,49.0707,173.4580
14,0,243208,118215,48.6065,28.8611
14,1,243208,118215,48.6065,28.8611
14,2,243208,118215,48.6065,28.8611
14,3,243208,118215,48.6065,28.8611
14,4,243208,118215,48.6065,28.8611
14,5,243208,118215,48.6065,28.8611
14,total,1459248,709290,48.6065,173.1665
15,0,243738,120001,49.2336,29.2971
15,1,243738,120001,49.2336,29.2971
15,2,243738,120001,49.2336,29.2971
15,3,243738,120001,49.2336,29.2971
15,4,243738,120001,49.2336,29.2971
15,5,243738,120001,49.2336,29.2971
15,total,1462428,720006,49.2336,175.7827
16,0,243069,118519,48.7594,28.9353
16,1,243069,118519,48.7594,28.9353
16,2,243069,118519,48.7594,28.9353
16,3,243069,118519,48.7594,28.9353
16,4,243069,118519,48.7594,28.9353
16,5,243069,118519,48.7594,28.9353
16,total,1458414,711114,48.7594,173.6118
17,0,243264,121623,49.9963,29.6931
17,1,243264,121623,49.9963,29.6931
17,2,243264,121623,49.9963,29.6931
17,3,243264,121623,49.9963,29.6931
17,4,243264,121623,49.9963,29.6931
17,5,243264,121623,49.9963,29.6931
17,total,1459584,729738,49.9963,178.1587
18,0,242724,120113,49.4854,29.3245
18,1,242724,120113,49.4854,29.3245
18,2,242724,120113,49.4854,29.3245
18,3,242724,120113,49.4854,29.3245
18,4,242724,120113,49.4854,29.3245
18,5,242724,120113,49.4854,29.3245
18,total,1456344,720678,49.4854,175.9468
19,0,244289,119815,49.0464,29.2517
19,1,244289,119815,49.0464,29.2517
19,2,244289,119815,49.0464,29.2517
19,3,244289,119815,49.0464,29.2517
19,4,244289,119815,49.0464,29.2517
19,5,244289,119815,49.0464,29.2517
19,total,1465734,718890,49.0464,175.5103
20,0,243959,121198,49.6797,29.5894
20,1,243959,121198,49.6797,29.5894
20,2,243959,121198,49.6797,29.5894
20,3,243959,121198,49.6797,29.5894
20,4,243959,121198,49.6797,29.5894
20,5,243959,121198,49.6797,29.5894
20,total,1463754,727188,49.6797,177.5361
21,0,245152,121311,49.4840,29.6169
21,1,245152,121311,49.4840,29.6169
21,2,245152,121311,49.4840,29.6169
21,3,245152,121311,49.4840,29.6169
21,4,245152,121311,49.4840,29.6169
21,5,245152,121311,49.4840,29.6169
21,total,1470912,727866,49.4840,177.7017
22,0,244396,121357,49.6559,29.6282
22,1,244396,121357,49.6559,29.6282
22,2,244396,121357,49.6559,29.6282
22,3,244396,121357,49.6559,29.6282
22,4,244396,121357,49.6559,29.6282
22,5,244396,121357,49.6559,29.6282
22,total,1466376,728142,49.6559,177.7690
23,0,243558,120399,49.4334,29.3943
23,1,243558,120399,49.4334,29.3943
23,2,243558,120399,49.4334,29.3943
23,3,243558,120399,49.4334,29.3943
23,4,243558,120399,49.4334,29.3943
23,5,243558,120399,49.4334,29.3943
23,total,1461348,722394,49.4334,176.3657
24,0,242976,119578,49.2139,29.1938
24,1,242976,119578,49.2139,29.1938
24,2,242976,119578,49.2139,29.1938
24,3,242976,119578,49.2139,29.1938
24,4,242976,119578,49.2139,29.1938
24,5,242976,119578,49.2139,29.1938
24,total,1457856,717468,49.2139,175.1631
25,0,242746,120493,49.6375,29.4172
25,1,242746,120493,49.6375,29.4172
25,2,242746,120493,49.6375,29.4172
25,3,242746,120493,49.6375,29.4172
25,4,242746,120493,49.6375,29.4172
25,5,242746,120493,49.6375,29.4172
25,total,1456476,722958,49.6375,176.5034
26,0,242548,119829,49.4042,29.2551
26,1,242548,119829,49.4042,29.2551
26,2,242548,119829,49.4042,29.2551
26,3,242548,119829,49.4042,29.2551
26,4,242548,119829,49.4042,29.2551
26,5,242548,119829,49.4042,29.2551
26,total,1455288,718974,49.4042,175.5308
27,0,245804,123671,50.3129,30.1931
27,1,245804,123671,50.3129,30.1931
27,2,245804,123671,50.3129,30.1931
27,3,245804,123671,50.3129,30.1931
27,4,245804,123671,50.3129,30.1931
27,5,245804,123671,50.3129,30.1931
27,total,1474824,742026,50.3129,181.1587
28,0,244767,119814,48.9502,29.2515
28,1,244767,119814,48.9502,29.2515
28,2,244767,119814,48.9502,29.2515
28,3,244767,119814,48.9502,29.2515
28,4,244767,119814,48.9502,29.2515
28,5,244767,119814,48.9502,29.2515
28,total,1468602,718884,48.9502,175.5088
29,0,243160,120153,49.4131,29.3342
29,1,243160,120153,49.4131,29.3342
29,2,243160,120153,49.4131,29.3342
29,3,243160,120153,49.4131,29.3342
29,4,243160,120153,49.4131,29.3342
29,5,243160,120153,49.4131,29.3342
29,total,1458960,720918,49.4131,176.0054
30,0,241956,118393,48.9316,28.9045
30,1,241956,118393,48.9316,28.9045
30,2,241956,118393,48.9316,28.9045
30,3,241956,118393,48.9316,28.9045
30,4,241956,118393,48.9316,28.9045
30,5,241956,118393,48.9316,28.9045
30,total,1451736,710358,48.9316,173.4272
31,0,244265,121028,49.5478,29.5479
31,1,244265,121028,49.5478,29.5479
31,2,244265,121028,49.5478,29.5479
31,3,244265,121028,49.5478,29.5479
31,4,244265,121028,49.5478,29.5479
31,5,244265,121028,49.5478,29.5479
31,total,1465590,726168,49.5478,177.2871
32,0,242974,119473,49.1711,29.1682
