# model_name=layerwise_exchange_local_bwd_client_13
# seed=0
# started_at=20260602-182253
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.7481571688490399,0.7245522545876905,0.6341924342242155,0.8023474622856487,0.6841186881065369,0.7192660570144653,0.6883365511894226,0.6306619644165039,0.4030131697654724,0.5949366688728333,0.6068601608276367,0.6840391159057617,0.6310679316520691,0.6522522568702698,0.681564211845398,0.9776569604873657,0.981228232383728,0.983522355556488,0.9884232878684998,0.38054266571998596,0.6987926363945007,0.7825949192047119,0.7458162903785706,0.7373821139335632,0.7450976967811584,0.8047649264335632
2,0.6048733107114243,0.5615926210011277,0.7259138118137013,0.8018186065283689,0.8558758497238159,0.8558758497238159,0.8571428656578064,0.8517647385597229,0.46070462465286255,0.6816326379776001,0.7036247253417969,0.687999963760376,0.580858051776886,0.7384615540504456,0.7111110687255859,0.9842676520347595,0.9805290102958679,0.9961100220680237,0.9879043698310852,0.4305538833141327,0.7288367748260498,0.7708672881126404,0.6939464807510376,0.6512796878814697,0.7797839045524597,0.8159255981445312
3,0.4855807231644453,0.5046430253536902,0.754384309053421,0.8155407743020491,0.8899297118186951,0.9478908181190491,0.902255654335022,0.9305912256240845,0.4864865243434906,0.687089741230011,0.7012448310852051,0.6943005323410034,0.6042296290397644,0.7227272391319275,0.7314814925193787,0.9885058999061584,0.9931644201278687,0.9990255236625671,0.9995137453079224,0.4400451183319092,0.7277376055717468,0.8078477382659912,0.7358489632606506,0.6874698996543884,0.7801252007484436,0.8116644024848938
4,0.47009120452201975,0.4705447089449267,0.7681068480014801,0.8206929103894667,0.921951174736023,0.9583333730697632,0.9470899105072021,0.9639889001846313,0.47752806544303894,0.6815144419670105,0.7166667580604553,0.6976743936538696,0.6196318864822388,0.7222222089767456,0.7425742149353027,0.9877815842628479,0.986244261264801,0.9983072876930237,0.9937317371368408,0.42367812991142273,0.7419292330741882,0.8138028383255005,0.7636157870292664,0.7182316780090332,0.7819837331771851,0.8183157444000244
5,0.42096630749055897,0.44742202190595254,0.7628407180309296,0.839088415557688,0.9276807904243469,0.9391728043556213,0.9863013625144958,0.9118388295173645,0.4630541503429413,0.6641074419021606,0.6780487895011902,0.6946107745170593,0.674242377281189,0.724511981010437,0.7276785969734192,0.9874465465545654,0.995162308216095,1.0,1.0,0.4681945741176605,0.7364285588264465,0.8299472332000732,0.7892559766769409,0.8092176914215088,0.7914738655090332,0.8228458166122437
6,0.3646264919790171,0.4263600219075925,0.787484578110955,0.8403226408091459,0.9501312375068665,0.96875,0.9944751262664795,0.9945054650306702,0.4673912823200226,0.688034176826477,0.7045454382896423,0.7257142663002014,0.7131783366203308,0.7123287320137024,0.7432762980461121,0.9891031384468079,0.9949905872344971,0.9997511506080627,1.0,0.4326021075248718,0.7383880615234375,0.8328242301940918,0.8175997734069824,0.8416651487350464,0.7858571410179138,0.8107677102088928
7,0.3410219989590726,0.4263767075315814,0.7859731587496671,0.8352854387326674,0.9549071192741394,0.9631578922271729,0.9972299337387085,0.9917808175086975,0.4829931855201721,0.6681817770004272,0.7510548830032349,0.682170569896698,0.6825938820838928,0.7247059345245361,0.7469287514686584,0.9914835691452026,0.9920815825462341,0.9999693036079407,0.9999396204948425,0.3936960995197296,0.7207664251327515,0.8495326042175293,0.7949162721633911,0.8155112862586975,0.8020066618919373,0.8282364010810852
8,0.3392465877330909,0.4315119581801869,0.7760517163710161,0.8416412093422629,0.954081654548645,0.9528795480728149,0.9809264540672302,0.9890710711479187,0.4563106894493103,0.6575875282287598,0.6859903931617737,0.6976743936538696,0.7256637215614319,0.6923076510429382,0.7440757751464844,0.988923192024231,0.9901936054229736,0.9999693036079407,1.0,0.4028359055519104,0.7505033016204834,0.8411681056022644,0.8226723074913025,0.832343578338623,0.785743236541748,0.8437007665634155
9,0.32238799081010333,0.41960685319989643,0.7901469279419292,0.8413029448552565,0.960212230682373,0.960212230682373,1.0,0.9972299337387085,0.4818653166294098,0.6724890470504761,0.7126948833465576,0.7121661305427551,0.7242798209190369,0.7216981053352356,0.7487685084342957,0.989569365978241,0.9911688566207886,1.0,1.0,0.4153343141078949,0.7311134338378906,0.8285772204399109,0.8172487616539001,0.840782880783081,0.7974419593811035,0.843095600605011
10,0.33382752941826643,0.46734573033368476,0.7662000087174502,0.8309451720931313,0.9506493210792542,0.960212230682373,0.9944751262664795,0.9972299337387085,0.33018866181373596,0.6542552709579468,0.7495291829109192,0.6864988207817078,0.643750011920929,0.7189873456954956,0.7424241900444031,0.9878396987915039,0.9933584928512573,0.9992712736129761,1.0,0.37832313776016235,0.7261390686035156,0.8238314986228943,0.7960271239280701,0.7998448014259338,0.8092504143714905,0.8265113830566406
