epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,19376,19337,99.7987,4.7209
1,1,19376,19337,99.7987,4.7209
1,2,19376,19337,99.7987,4.7209
1,3,19376,19337,99.7987,4.7209
1,4,19376,19337,99.7987,4.7209
1,5,19376,19337,99.7987,4.7209
1,total,116256,116022,99.7987,28.3257
2,0,19391,19353,99.8040,4.7249
2,1,19391,19353,99.8040,4.7249
2,2,19391,19353,99.8040,4.7249
2,3,19391,19353,99.8040,4.7249
2,4,19391,19353,99.8040,4.7249
2,5,19391,19353,99.8040,4.7249
2,total,116346,116118,99.8040,28.3491
3,0,19283,19187,99.5022,4.6843
3,1,19283,19187,99.5022,4.6843
3,2,19283,19187,99.5022,4.6843
3,3,19283,19187,99.5022,4.6843
3,4,19283,19187,99.5022,4.6843
3,5,19283,19187,99.5022,4.6843
3,total,115698,115122,99.5022,28.1060
4,0,19286,19192,99.5126,4.6855
4,1,19286,19192,99.5126,4.6855
4,2,19286,19192,99.5126,4.6855
4,3,19286,19192,99.5126,4.6855
4,4,19286,19192,99.5126,4.6855
4,5,19286,19192,99.5126,4.6855
4,total,115716,115152,99.5126,28.1133
5,0,19399,19382,99.9124,4.7319
5,1,19399,19382,99.9124,4.7319
5,2,19399,19382,99.9124,4.7319
5,3,19399,19382,99.9124,4.7319
5,4,19399,19382,99.9124,4.7319
5,5,19399,19382,99.9124,4.7319
5,total,116394,116292,99.9124,28.3916
6,0,19353,19289,99.6693,4.7092
6,1,19353,19289,99.6693,4.7092
6,2,19353,19289,99.6693,4.7092
6,3,19353,19289,99.6693,4.7092
6,4,19353,19289,99.6693,4.7092
6,5,19353,19289,99.6693,4.7092
6,total,116118,115734,99.6693,28.2554
7,0,19374,19340,99.8245,4.7217
7,1,19374,19340,99.8245,4.7217
7,2,19374,19340,99.8245,4.7217
7,3,19374,19340,99.8245,4.7217
7,4,19374,19340,99.8245,4.7217
7,5,19374,19340,99.8245,4.7217
7,total,116244,116040,99.8245,28.3301
8,0,19349,19277,99.6279,4.7063
8,1,19349,19277,99.6279,4.7063
8,2,19349,19277,99.6279,4.7063
8,3,19349,19277,99.6279,4.7063
8,4,19349,19277,99.6279,4.7063
8,5,19349,19277,99.6279,4.7063
8,total,116094,115662,99.6279,28.2378
9,0,19344,19273,99.6330,4.7053
9,1,19344,19273,99.6330,4.7053
9,2,19344,19273,99.6330,4.7053
9,3,19344,19273,99.6330,4.7053
9,4,19344,19273,99.6330,4.7053
9,5,19344,19273,99.6330,4.7053
9,total,116064,115638,99.6330,28.2319
10,0,19361,19332,99.8502,4.7197
10,1,19361,19332,99.8502,4.7197
10,2,19361,19332,99.8502,4.7197
10,3,19361,19332,99.8502,4.7197
10,4,19361,19332,99.8502,4.7197
10,5,19361,19332,99.8502,4.7197
10,total,116166,115992,99.8502,28.3184
11,0,19302,19232,99.6373,4.6953
11,1,19302,19232,99.6373,4.6953
11,2,19302,19232,99.6373,4.6953
11,3,19302,19232,99.6373,4.6953
11,4,19302,19232,99.6373,4.6953
11,5,19302,19232,99.6373,4.6953
11,total,115812,115392,99.6373,28.1719
12,0,19321,19237,99.5652,4.6965
12,1,19321,19237,99.5652,4.6965
12,2,19321,19237,99.5652,4.6965
12,3,19321,19237,99.5652,4.6965
12,4,19321,19237,99.5652,4.6965
12,5,19321,19237,99.5652,4.6965
