epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,137784,120149,87.2010,29.3333
1,1,137784,120149,87.2010,29.3333
1,2,137784,120149,87.2010,29.3333
1,3,137784,120149,87.2010,29.3333
1,4,137784,120149,87.2010,29.3333
1,5,137784,120149,87.2010,29.3333
1,total,826704,720894,87.2010,175.9995
2,0,138458,121903,88.0433,29.7615
2,1,138458,121903,88.0433,29.7615
2,2,138458,121903,88.0433,29.7615
2,3,138458,121903,88.0433,29.7615
2,4,138458,121903,88.0433,29.7615
2,5,138458,121903,88.0433,29.7615
2,total,830748,731418,88.0433,178.5688
3,0,138560,121664,87.8060,29.7031
3,1,138560,121664,87.8060,29.7031
3,2,138560,121664,87.8060,29.7031
3,3,138560,121664,87.8060,29.7031
3,4,138560,121664,87.8060,29.7031
3,5,138560,121664,87.8060,29.7031
3,total,831360,729984,87.8060,178.2188
4,0,138200,120875,87.4638,29.5105
4,1,138200,120875,87.4638,29.5105
4,2,138200,120875,87.4638,29.5105
4,3,138200,120875,87.4638,29.5105
4,4,138200,120875,87.4638,29.5105
4,5,138200,120875,87.4638,29.5105
4,total,829200,725250,87.4638,177.0630
5,0,139895,124281,88.8388,30.3420
5,1,139895,124281,88.8388,30.3420
5,2,139895,124281,88.8388,30.3420
5,3,139895,124281,88.8388,30.3420
5,4,139895,124281,88.8388,30.3420
5,5,139895,124281,88.8388,30.3420
5,total,839370,745686,88.8388,182.0522
6,0,138038,120664,87.4136,29.4590
6,1,138038,120664,87.4136,29.4590
6,2,138038,120664,87.4136,29.4590
6,3,138038,120664,87.4136,29.4590
6,4,138038,120664,87.4136,29.4590
6,5,138038,120664,87.4136,29.4590
6,total,828228,723984,87.4136,176.7539
7,0,139366,123128,88.3487,30.0605
7,1,139366,123128,88.3487,30.0605
7,2,139366,123128,88.3487,30.0605
7,3,139366,123128,88.3487,30.0605
7,4,139366,123128,88.3487,30.0605
7,5,139366,123128,88.3487,30.0605
7,total,836196,738768,88.3487,180.3633
8,0,137380,119740,87.1597,29.2334
8,1,137380,119740,87.1597,29.2334
8,2,137380,119740,87.1597,29.2334
8,3,137380,119740,87.1597,29.2334
8,4,137380,119740,87.1597,29.2334
8,5,137380,119740,87.1597,29.2334
8,total,824280,718440,87.1597,175.4004
9,0,139386,123081,88.3023,30.0491
9,1,139386,123081,88.3023,30.0491
9,2,139386,123081,88.3023,30.0491
9,3,139386,123081,88.3023,30.0491
9,4,139386,123081,88.3023,30.0491
9,5,139386,123081,88.3023,30.0491
9,total,836316,738486,88.3023,180.2944
10,0,139416,123602,88.6570,30.1763
10,1,139416,123602,88.6570,30.1763
10,2,139416,123602,88.6570,30.1763
10,3,139416,123602,88.6570,30.1763
10,4,139416,123602,88.6570,30.1763
10,5,139416,123602,88.6570,30.1763
10,total,836496,741612,88.6570,181.0576
11,0,138246,121050,87.5613,29.5532
11,1,138246,121050,87.5613,29.5532
11,2,138246,121050,87.5613,29.5532
11,3,138246,121050,87.5613,29.5532
11,4,138246,121050,87.5613,29.5532
11,5,138246,121050,87.5613,29.5532
11,total,829476,726300,87.5613,177.3193
12,0,139100,122373,87.9748,29.8762
12,1,139100,122373,87.9748,29.8762
12,2,139100,122373,87.9748,29.8762
12,3,139100,122373,87.9748,29.8762
12,4,139100,122373,87.9748,29.8762
12,5,139100,122373,87.9748,29.8762
12,total,834600,734238,87.9748,179.2573
13,0,138924,122414,88.1158,29.8862
13,1,138924,122414,88.1158,29.8862
13,2,138924,122414,88.1158,29.8862
13,3,138924,122414,88.1158,29.8862
13,4,138924,122414,88.1158,29.8862
13,5,138924,122414,88.1158,29.8862
13,total,833544,734484,88.1158,179.3174
14,0,139519,123652,88.6274,30.1885
14,1,139519,123652,88.6274,30.1885
14,2,139519,123652,88.6274,30.1885
14,3,139519,123652,88.6274,30.1885
14,4,139519,123652,88.6274,30.1885
14,5,139519,123652,88.6274,30.1885
14,total,837114,741912,88.6274,181.1309
15,0,137847,119809,86.9145,29.2502
15,1,137847,119809,86.9145,29.2502
15,2,137847,119809,86.9145,29.2502
15,3,137847,119809,86.9145,29.2502
15,4,137847,119809,86.9145,29.2502
15,5,137847,119809,86.9145,29.2502
15,total,827082,718854,86.9145,175.5015
16,0,138719,122232,88.1148,29.8418
16,1,138719,122232,88.1148,29.8418
16,2,138719,122232,88.1148,29.8418
16,3,138719,122232,88.1148,29.8418
16,4,138719,122232,88.1148,29.8418
16,5,138719,122232,88.1148,29.8418
16,total,832314,733392,88.1148,179.0508
17,0,138183,120451,87.1677,29.4070
17,1,138183,120451,87.1677,29.4070
17,2,138183,120451,87.1677,29.4070
17,3,138183,120451,87.1677,29.4070
17,4,138183,120451,87.1677,29.4070
17,5,138183,120451,87.1677,29.4070
17,total,829098,722706,87.1677,176.4419
18,0,139308,123006,88.2979,30.0308
18,1,139308,123006,88.2979,30.0308
18,2,139308,123006,88.2979,30.0308
18,3,139308,123006,88.2979,30.0308
18,4,139308,123006,88.2979,30.0308
18,5,139308,123006,88.2979,30.0308
18,total,835848,738036,88.2979,180.1846
19,0,139099,122416,88.0064,29.8867
19,1,139099,122416,88.0064,29.8867
19,2,139099,122416,88.0064,29.8867
19,3,139099,122416,88.0064,29.8867
19,4,139099,122416,88.0064,29.8867
19,5,139099,122416,88.0064,29.8867
19,total,834594,734496,88.0064,179.3203
20,0,139238,122918,88.2791,30.0093
20,1,139238,122918,88.2791,30.0093
20,2,139238,122918,88.2791,30.0093
20,3,139238,122918,88.2791,30.0093
20,4,139238,122918,88.2791,30.0093
20,5,139238,122918,88.2791,30.0093
20,total,835428,737508,88.2791,180.0557
21,0,138995,122624,88.2219,29.9375
21,1,138995,122624,88.2219,29.9375
21,2,138995,122624,88.2219,29.9375
21,3,138995,122624,88.2219,29.9375
21,4,138995,122624,88.2219,29.9375
21,5,138995,122624,88.2219,29.9375
21,total,833970,735744,88.2219,179.6250
22,0,139354,122758,88.0908,29.9702
22,1,139354,122758,88.0908,29.9702
22,2,139354,122758,88.0908,29.9702
22,3,139354,122758,88.0908,29.9702
22,4,139354,122758,88.0908,29.9702
22,5,139354,122758,88.0908,29.9702
22,total,836124,736548,88.0908,179.8213
23,0,139067,122742,88.2611,29.9663
23,1,139067,122742,88.2611,29.9663
23,2,139067,122742,88.2611,29.9663
23,3,139067,122742,88.2611,29.9663
23,4,139067,122742,88.2611,29.9663
23,5,139067,122742,88.2611,29.9663
23,total,834402,736452,88.2611,179.7979
24,0,138270,121018,87.5230,29.5454
24,1,138270,121018,87.5230,29.5454
24,2,138270,121018,87.5230,29.5454
24,3,138270,121018,87.5230,29.5454
24,4,138270,121018,87.5230,29.5454
24,5,138270,121018,87.5230,29.5454
24,total,829620,726108,87.5230,177.2725
25,0,139251,122031,87.6338,29.7927
25,1,139251,122031,87.6338,29.7927
25,2,139251,122031,87.6338,29.7927
25,3,139251,122031,87.6338,29.7927
25,4,139251,122031,87.6338,29.7927
25,5,139251,122031,87.6338,29.7927
25,total,835506,732186,87.6338,178.7563
26,0,138643,121596,87.7044,29.6865
26,1,138643,121596,87.7044,29.6865
26,2,138643,121596,87.7044,29.6865
26,3,138643,121596,87.7044,29.6865
26,4,138643,121596,87.7044,29.6865
26,5,138643,121596,87.7044,29.6865
26,total,831858,729576,87.7044,178.1191
27,0,137952,120678,87.4783,29.4624
27,1,137952,120678,87.4783,29.4624
27,2,137952,120678,87.4783,29.4624
27,3,137952,120678,87.4783,29.4624
27,4,137952,120678,87.4783,29.4624
27,5,137952,120678,87.4783,29.4624
27,total,827712,724068,87.4783,176.7744
28,0,139167,122642,88.1258,29.9419
28,1,139167,122642,88.1258,29.9419
28,2,139167,122642,88.1258,29.9419
28,3,139167,122642,88.1258,29.9419
28,4,139167,122642,88.1258,29.9419
28,5,139167,122642,88.1258,29.9419
28,total,835002,735852,88.1258,179.6514
29,0,139135,122229,87.8492,29.8411
29,1,139135,122229,87.8492,29.8411
29,2,139135,122229,87.8492,29.8411
29,3,139135,122229,87.8492,29.8411
29,4,139135,122229,87.8492,29.8411
29,5,139135,122229,87.8492,29.8411
29,total,834810,733374,87.8492,179.0464
30,0,137677,119982,87.1475,29.2925
30,1,137677,119982,87.1475,29.2925
30,2,137677,119982,87.1475,29.2925
30,3,137677,119982,87.1475,29.2925
30,4,137677,119982,87.1475,29.2925
30,5,137677,119982,87.1475,29.2925
30,total,826062,719892,87.1475,175.7549
31,0,139516,123231,88.3275,30.0857
31,1,139516,123231,88.3275,30.0857
31,2,139516,123231,88.3275,30.0857
31,3,139516,123231,88.3275,30.0857
31,4,139516,123231,88.3275,30.0857
31,5,139516,123231,88.3275,30.0857
31,total,837096,739386,88.3275,180.5142
32,0,138642,121920,87.9387,29.7656
32,1,138642,121920,87.9387,29.7656
32,2,138642,121920,87.9387,29.7656
32,3,138642,121920,87.9387,29.7656
32,4,138642,121920,87.9387,29.7656
32,5,138642,121920,87.9387,29.7656
32,total,831852,731520,87.9387,178.5938
33,0,139317,122724,88.0898,29.9619
33,1,139317,122724,88.0898,29.9619
33,2,139317,122724,88.0898,29.9619
33,3,139317,122724,88.0898,29.9619
33,4,139317,122724,88.0898,29.9619
33,5,139317,122724,88.0898,29.9619
33,total,835902,736344,88.0898,179.7715
34,0,140131,124432,88.7969,30.3789
34,1,140131,124432,88.7969,30.3789
34,2,140131,124432,88.7969,30.3789
34,3,140131,124432,88.7969,30.3789
34,4,140131,124432,88.7969,30.3789
34,5,140131,124432,88.7969,30.3789
34,total,840786,746592,88.7969,182.2734
35,0,138439,121391,87.6856,29.6365
35,1,138439,121391,87.6856,29.6365
35,2,138439,121391,87.6856,29.6365
35,3,138439,121391,87.6856,29.6365
35,4,138439,121391,87.6856,29.6365
35,5,138439,121391,87.6856,29.6365
35,total,830634,728346,87.6856,177.8188
36,0,138174,121035,87.5961,29.5496
36,1,138174,121035,87.5961,29.5496
36,2,138174,121035,87.5961,29.5496
36,3,138174,121035,87.5961,29.5496
36,4,138174,121035,87.5961,29.5496
36,5,138174,121035,87.5961,29.5496
36,total,829044,726210,87.5961,177.2974
37,0,139486,122828,88.0576,29.9873
37,1,139486,122828,88.0576,29.9873
37,2,139486,122828,88.0576,29.9873
37,3,139486,122828,88.0576,29.9873
37,4,139486,122828,88.0576,29.9873
37,5,139486,122828,88.0576,29.9873
37,total,836916,736968,88.0576,179.9238
38,0,139416,122990,88.2180,30.0269
38,1,139416,122990,88.2180,30.0269
38,2,139416,122990,88.2180,30.0269
38,3,139416,122990,88.2180,30.0269
38,4,139416,122990,88.2180,30.0269
38,5,139416,122990,88.2180,30.0269
38,total,836496,737940,88.2180,180.1611
39,0,138672,121831,87.8555,29.7439
39,1,138672,121831,87.8555,29.7439
39,2,138672,121831,87.8555,29.7439
39,3,138672,121831,87.8555,29.7439
39,4,138672,121831,87.8555,29.7439
39,5,138672,121831,87.8555,29.7439
39,total,832032,730986,87.8555,178.4634
40,0,137758,120589,87.5368,29.4407
40,1,137758,120589,87.5368,29.4407
40,2,137758,120589,87.5368,29.4407
40,3,137758,120589,87.5368,29.4407
40,4,137758,120589,87.5368,29.4407
40,5,137758,120589,87.5368,29.4407
40,total,826548,723534,87.5368,176.6440
41,0,139360,122958,88.2305,30.0190
41,1,139360,122958,88.2305,30.0190
41,2,139360,122958,88.2305,30.0190
41,3,139360,122958,88.2305,30.0190
41,4,139360,122958,88.2305,30.0190
41,5,139360,122958,88.2305,30.0190
41,total,836160,737748,88.2305,180.1143
42,0,139204,122957,88.3286,30.0188
42,1,139204,122957,88.3286,30.0188
42,2,139204,122957,88.3286,30.0188
42,3,139204,122957,88.3286,30.0188
42,4,139204,122957,88.3286,30.0188
42,5,139204,122957,88.3286,30.0188
42,total,835224,737742,88.3286,180.1128
43,0,138871,122270,88.0457,29.8511
43,1,138871,122270,88.0457,29.8511
43,2,138871,122270,88.0457,29.8511
43,3,138871,122270,88.0457,29.8511
43,4,138871,122270,88.0457,29.8511
43,5,138871,122270,88.0457,29.8511
43,total,833226,733620,88.0457,179.1064
44,0,138983,122108,87.8582,29.8115
44,1,138983,122108,87.8582,29.8115
44,2,138983,122108,87.8582,29.8115
44,3,138983,122108,87.8582,29.8115
44,4,138983,122108,87.8582,29.8115
44,5,138983,122108,87.8582,29.8115
44,total,833898,732648,87.8582,178.8691
45,0,138410,121320,87.6526,29.6191
45,1,138410,121320,87.6526,29.6191
45,2,138410,121320,87.6526,29.6191
45,3,138410,121320,87.6526,29.6191
