timestamp_iso,model,n_runs,seeds,macro_mean_prauc,deg-in_mean_prauc,deg-out_mean_prauc,fan-in_mean_prauc,fan-out_mean_prauc,C2_mean_prauc,C3_mean_prauc,C4_mean_prauc,C5_mean_prauc,C6_mean_prauc,S-G_mean_prauc,B-C_mean_prauc,deg-in_std_prauc,deg-out_std_prauc,fan-in_std_prauc,fan-out_std_prauc,C2_std_prauc,C3_std_prauc,C4_std_prauc,C5_std_prauc,C6_std_prauc,S-G_std_prauc,B-C_std_prauc,runtime
2026-04-07T17:41:37,"Layer-wise exchange (local, no FedAvg) | num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_163258",2,"0,1",83.95,99.82,99.76,100.0,100.0,97.09,58.88,79.39,76.5,77.54,65.87,68.57,0.0,0.03,0.0,0.0,0.48,0.34,0.13,0.05,0.04,0.15,0.45,01:08:40
2026-04-07T18:45:00,"Layer-wise exchange (local, no FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_155408",2,"0,1",86.52,100.0,100.0,100.0,100.0,99.18,62.85,83.43,80.62,82.02,70.54,73.08,0.0,0.0,0.0,0.0,0.1,0.43,0.04,0.4,0.32,0.14,0.01,02:50:52
2026-04-07T23:56:54,"Layer-wise exchange (local, no FedAvg) | num_clients=10, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_225231",2,"0,1",84.46,99.88,99.84,100.0,100.0,98.12,60.02,80.57,76.84,77.85,66.58,69.36,0.0,0.0,0.0,0.0,0.39,0.23,0.04,0.1,0.04,0.23,0.08,01:04:22
2026-04-08T00:19:47,"Layer-wise exchange (local, no FedAvg) | num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_230328",2,"0,1",85.41,100.0,99.98,100.0,100.0,98.85,61.67,81.64,78.91,80.17,67.86,70.4,0.0,0.01,0.0,0.0,0.24,0.22,0.0,0.12,0.12,0.08,0.22,01:16:19
2026-04-08T11:50:21,"Layer-wise exchange (local, no FedAvg) | num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_111659",2,"0,1",85.44,99.99,99.99,100.0,100.0,99.46,61.13,81.41,78.95,80.27,68.19,70.43,0.01,0.0,0.0,0.0,0.06,0.34,0.16,0.02,0.11,0.06,0.43,00:33:21
2026-04-08T12:07:33,"Layer-wise exchange (local, no FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_105835",2,"0,1",86.11,100.0,100.0,100.0,100.0,98.13,61.51,82.23,80.31,81.9,70.22,72.9,0.0,0.0,0.0,0.0,0.95,0.23,0.01,0.24,0.14,0.2,0.11,01:08:58
2026-04-08T12:10:08,"Layer-wise exchange (local, no FedAvg) | num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_113548",2,"0,1",84.25,99.86,99.7,100.0,100.0,98.83,59.04,79.32,76.86,77.79,66.75,68.6,0.01,0.02,0.0,0.0,0.14,0.05,0.02,0.19,0.02,0.29,0.28,00:34:20
2026-04-08T12:26:38,"Layer-wise exchange (local, no FedAvg) | num_clients=10, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_112654",2,"0,1",84.66,99.85,99.86,100.0,100.0,98.94,60.21,80.61,77.17,77.94,66.61,70.03,0.01,0.06,0.0,0.0,0.04,0.13,0.06,0.05,0.03,0.18,0.32,00:59:44
2026-04-08T15:55:40,"Layer-wise exchange (local, no FedAvg) | num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=64, lr=0.002, seeds=[0, 1], run_id=20260408_145808",2,"0,1",82.89,99.82,99.67,100.0,99.96,86.95,58.43,79.2,76.25,77.23,66.03,68.24,0.01,0.06,0.0,0.04,0.76,0.73,0.22,0.14,0.24,0.23,0.28,00:57:32
2026-04-30T13:31:19,"Layer-wise exchange (local, no FedAvg) | partition_strategy=louvain, num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260430_122751",2,"0,1",83.3,99.8,99.7,100.0,100.0,88.99,59.07,79.16,76.56,77.76,66.48,68.83,0.01,0.03,0.0,0.0,0.36,0.03,0.07,0.26,0.42,0.61,0.13,01:03:28
