timestamp_iso,model,n_runs,seeds,macro_mean_prauc,deg-in_mean_prauc,deg-out_mean_prauc,fan-in_mean_prauc,fan-out_mean_prauc,C2_mean_prauc,C3_mean_prauc,C4_mean_prauc,C5_mean_prauc,C6_mean_prauc,S-G_mean_prauc,B-C_mean_prauc,deg-in_std_prauc,deg-out_std_prauc,fan-in_std_prauc,fan-out_std_prauc,C2_std_prauc,C3_std_prauc,C4_std_prauc,C5_std_prauc,C6_std_prauc,S-G_std_prauc,B-C_std_prauc,runtime
2026-04-04T16:47:10,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0], run_id=20260404_161230",1,0,84.85,100.0,100.0,100.0,100.0,97.36,52.35,80.55,78.78,80.86,70.77,72.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:34:40
2026-04-04T19:24:46,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0], run_id=20260404_182851",1,0,86.42,100.0,100.0,100.0,100.0,98.42,61.86,83.54,80.64,81.88,71.75,72.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:55:55
2026-04-04T19:25:58,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0], run_id=20260404_191117",1,0,86.79,100.0,100.0,100.0,100.0,99.66,61.67,82.87,80.97,82.59,72.24,74.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:14:41
2026-04-05T10:40:25,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0], run_id=20260405_101722",1,0,86.74,100.0,100.0,100.0,100.0,99.58,61.78,82.61,81.08,82.64,71.77,74.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:23:03
2026-04-05T13:18:14,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260405_111027",3,"0,1,2",86.83,100.0,100.0,100.0,100.0,99.42,61.98,82.77,81.15,82.7,72.06,75.02,0.0,0.0,0.0,0.0,0.2,0.28,0.06,0.08,0.16,0.2,0.15,02:07:47
2026-04-06T16:06:31,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=5, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1, 2], run_id=20260406_155959",3,"0,1,2",85.16,99.91,99.99,100.0,100.0,98.82,60.37,81.55,78.66,79.67,67.49,70.27,0.03,0.0,0.0,0.0,1.06,0.1,0.11,0.23,0.15,0.41,0.34,00:06:32
2026-04-07T15:01:25,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_115527",2,"0,1",87.12,100.0,100.0,100.0,100.0,99.3,63.09,84.31,81.37,82.48,72.51,75.24,0.0,0.0,0.0,0.0,0.1,0.28,0.03,0.06,0.0,0.11,0.31,03:05:58
2026-04-07T20:06:17,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_170306",2,"0,1",85.38,100.0,100.0,100.0,100.0,99.85,61.71,80.65,78.27,79.29,68.32,71.05,0.0,0.0,0.0,0.0,0.07,0.25,0.12,0.18,0.07,0.26,0.05,03:03:12
2026-04-07T23:57:38,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_223036",2,"0,1",86.15,100.0,100.0,100.0,100.0,99.67,63.29,82.62,79.61,80.77,69.84,71.86,0.0,0.0,0.0,0.0,0.11,0.29,0.08,0.12,0.09,0.19,0.13,01:27:02
2026-04-08T00:19:16,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=10, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], seeds=[0, 1], run_id=20260407_224243",2,"0,1",85.66,100.0,100.0,100.0,100.0,99.47,61.93,81.9,78.79,79.52,68.77,71.86,0.0,0.0,0.0,0.0,0.04,0.19,0.03,0.13,0.12,0.63,0.18,01:36:33
2026-04-08T10:46:33,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_093604",2,"0,1",86.93,100.0,100.0,100.0,100.0,99.31,61.99,83.04,81.37,82.86,72.34,75.32,0.0,0.0,0.0,0.0,0.23,0.31,0.07,0.05,0.15,0.1,0.26,01:10:29
2026-04-08T10:55:06,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_094514",2,"0,1",86.03,100.0,100.0,100.0,100.0,99.42,62.05,82.38,79.77,81.13,69.68,71.94,0.0,0.0,0.0,0.0,0.19,0.14,0.08,0.1,0.09,0.17,0.24,01:09:52
2026-04-08T11:26:27,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=10, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_101346",2,"0,1",85.63,100.0,100.0,100.0,100.0,99.7,61.39,81.71,78.75,79.73,68.87,71.78,0.0,0.0,0.0,0.0,0.23,0.02,0.09,0.03,0.1,0.04,0.03,01:12:40
2026-04-08T11:42:27,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=3, neighbors_per_hop=[10, 10, 5], seeds=[0, 1], run_id=20260408_102735",2,"0,1",85.43,100.0,100.0,100.0,100.0,99.89,61.52,80.6,78.31,79.44,68.54,71.4,0.0,0.0,0.0,0.0,0.03,0.12,0.06,0.03,0.04,0.22,0.14,01:14:52
2026-04-08T16:32:03,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=64, lr=0.002, seeds=[0, 1], run_id=20260408_155010",2,"0,1",85.72,100.0,100.0,100.0,100.0,97.83,62.18,82.19,79.03,80.25,69.65,71.82,0.0,0.0,0.0,0.0,0.08,0.02,0.04,0.04,0.1,0.09,0.0,00:41:52
2026-04-08T16:42:12,"Layer-wise exchange oracle (sync+FedAvg) | num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=64, lr=0.002, seeds=[0, 1], run_id=20260408_152002",2,"0,1",85.29,100.0,100.0,100.0,100.0,98.91,61.32,80.49,78.19,79.25,68.54,71.44,0.0,0.0,0.0,0.0,0.15,0.07,0.18,0.09,0.16,0.15,0.16,01:22:10
