epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,51562,35315,68.4904,8.6218
1,1,51562,35315,68.4904,8.6218
1,2,51562,35315,68.4904,8.6218
1,3,51562,35315,68.4904,8.6218
1,4,51562,35315,68.4904,8.6218
1,5,51562,35315,68.4904,8.6218
1,total,309372,211890,68.4904,51.7310
2,0,51464,34745,67.5132,8.4827
2,1,51464,34745,67.5132,8.4827
2,2,51464,34745,67.5132,8.4827
2,3,51464,34745,67.5132,8.4827
2,4,51464,34745,67.5132,8.4827
2,5,51464,34745,67.5132,8.4827
2,total,308784,208470,67.5132,50.8960
3,0,51025,34963,68.5213,8.5359
3,1,51025,34963,68.5213,8.5359
3,2,51025,34963,68.5213,8.5359
3,3,51025,34963,68.5213,8.5359
3,4,51025,34963,68.5213,8.5359
3,5,51025,34963,68.5213,8.5359
3,total,306150,209778,68.5213,51.2153
4,0,51076,34717,67.9713,8.4758
4,1,51076,34717,67.9713,8.4758
4,2,51076,34717,67.9713,8.4758
4,3,51076,34717,67.9713,8.4758
4,4,51076,34717,67.9713,8.4758
4,5,51076,34717,67.9713,8.4758
4,total,306456,208302,67.9713,50.8550
5,0,51204,35169,68.6841,8.5862
5,1,51204,35169,68.6841,8.5862
5,2,51204,35169,68.6841,8.5862
5,3,51204,35169,68.6841,8.5862
5,4,51204,35169,68.6841,8.5862
5,5,51204,35169,68.6841,8.5862
5,total,307224,211014,68.6841,51.5171
6,0,51220,35399,69.1117,8.6423
6,1,51220,35399,69.1117,8.6423
6,2,51220,35399,69.1117,8.6423
6,3,51220,35399,69.1117,8.6423
6,4,51220,35399,69.1117,8.6423
6,5,51220,35399,69.1117,8.6423
6,total,307320,212394,69.1117,51.8540
7,0,50424,33823,67.0772,8.2576
7,1,50424,33823,67.0772,8.2576
7,2,50424,33823,67.0772,8.2576
7,3,50424,33823,67.0772,8.2576
7,4,50424,33823,67.0772,8.2576
7,5,50424,33823,67.0772,8.2576
7,total,302544,202938,67.0772,49.5454
8,0,51507,35306,68.5460,8.6196
8,1,51507,35306,68.5460,8.6196
8,2,51507,35306,68.5460,8.6196
8,3,51507,35306,68.5460,8.6196
8,4,51507,35306,68.5460,8.6196
8,5,51507,35306,68.5460,8.6196
8,total,309042,211836,68.5460,51.7178
9,0,50291,34396,68.3939,8.3975
9,1,50291,34396,68.3939,8.3975
9,2,50291,34396,68.3939,8.3975
9,3,50291,34396,68.3939,8.3975
9,4,50291,34396,68.3939,8.3975
9,5,50291,34396,68.3939,8.3975
9,total,301746,206376,68.3939,50.3848
10,0,50840,34983,68.8100,8.5408
10,1,50840,34983,68.8100,8.5408
10,2,50840,34983,68.8100,8.5408
10,3,50840,34983,68.8100,8.5408
10,4,50840,34983,68.8100,8.5408
10,5,50840,34983,68.8100,8.5408
10,total,305040,209898,68.8100,51.2446
11,0,50627,34516,68.1771,8.4268
11,1,50627,34516,68.1771,8.4268
11,2,50627,34516,68.1771,8.4268
11,3,50627,34516,68.1771,8.4268
11,4,50627,34516,68.1771,8.4268
11,5,50627,34516,68.1771,8.4268
11,total,303762,207096,68.1771,50.5605
12,0,50808,34812,68.5168,8.4990
12,1,50808,34812,68.5168,8.4990
12,2,50808,34812,68.5168,8.4990
12,3,50808,34812,68.5168,8.4990
12,4,50808,34812,68.5168,8.4990
12,5,50808,34812,68.5168,8.4990
12,total,304848,208872,68.5168,50.9941
13,0,51154,35462,69.3240,8.6577
13,1,51154,35462,69.3240,8.6577
13,2,51154,35462,69.3240,8.6577
13,3,51154,35462,69.3240,8.6577
13,4,51154,35462,69.3240,8.6577
13,5,51154,35462,69.3240,8.6577
13,total,306924,212772,69.3240,51.9463
14,0,51162,34955,68.3222,8.5339
14,1,51162,34955,68.3222,8.5339
14,2,51162,34955,68.3222,8.5339
14,3,51162,34955,68.3222,8.5339
14,4,51162,34955,68.3222,8.5339
14,5,51162,34955,68.3222,8.5339
14,total,306972,209730,68.3222,51.2036
15,0,50967,34877,68.4306,8.5149
15,1,50967,34877,68.4306,8.5149
15,2,50967,34877,68.4306,8.5149
