epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,178524,136238,76.3135,33.2612
1,1,178524,136238,76.3135,33.2612
1,2,178524,136238,76.3135,33.2612
1,3,178524,136238,76.3135,33.2612
1,4,178524,136238,76.3135,33.2612
1,5,178524,136238,76.3135,33.2612
1,total,1071144,817428,76.3135,199.5674
2,0,177895,135864,76.3731,33.1699
2,1,177895,135864,76.3731,33.1699
2,2,177895,135864,76.3731,33.1699
2,3,177895,135864,76.3731,33.1699
2,4,177895,135864,76.3731,33.1699
2,5,177895,135864,76.3731,33.1699
2,total,1067370,815184,76.3731,199.0195
3,0,176890,133883,75.6872,32.6863
3,1,176890,133883,75.6872,32.6863
3,2,176890,133883,75.6872,32.6863
3,3,176890,133883,75.6872,32.6863
3,4,176890,133883,75.6872,32.6863
3,5,176890,133883,75.6872,32.6863
3,total,1061340,803298,75.6872,196.1177
4,0,176989,134179,75.8121,32.7585
4,1,176989,134179,75.8121,32.7585
4,2,176989,134179,75.8121,32.7585
4,3,176989,134179,75.8121,32.7585
4,4,176989,134179,75.8121,32.7585
4,5,176989,134179,75.8121,32.7585
4,total,1061934,805074,75.8121,196.5513
5,0,178501,136585,76.5178,33.3459
5,1,178501,136585,76.5178,33.3459
5,2,178501,136585,76.5178,33.3459
5,3,178501,136585,76.5178,33.3459
5,4,178501,136585,76.5178,33.3459
5,5,178501,136585,76.5178,33.3459
5,total,1071006,819510,76.5178,200.0757
6,0,177104,134242,75.7984,32.7739
6,1,177104,134242,75.7984,32.7739
6,2,177104,134242,75.7984,32.7739
6,3,177104,134242,75.7984,32.7739
6,4,177104,134242,75.7984,32.7739
6,5,177104,134242,75.7984,32.7739
6,total,1062624,805452,75.7984,196.6436
7,0,177249,135544,76.4710,33.0918
7,1,177249,135544,76.4710,33.0918
7,2,177249,135544,76.4710,33.0918
7,3,177249,135544,76.4710,33.0918
7,4,177249,135544,76.4710,33.0918
7,5,177249,135544,76.4710,33.0918
7,total,1063494,813264,76.4710,198.5508
8,0,179666,138655,77.1738,33.8513
8,1,179666,138655,77.1738,33.8513
8,2,179666,138655,77.1738,33.8513
8,3,179666,138655,77.1738,33.8513
8,4,179666,138655,77.1738,33.8513
8,5,179666,138655,77.1738,33.8513
8,total,1077996,831930,77.1738,203.1079
9,0,177049,134846,76.1631,32.9214
9,1,177049,134846,76.1631,32.9214
9,2,177049,134846,76.1631,32.9214
9,3,177049,134846,76.1631,32.9214
9,4,177049,134846,76.1631,32.9214
9,5,177049,134846,76.1631,32.9214
9,total,1062294,809076,76.1631,197.5283
10,0,177668,134890,75.9225,32.9321
10,1,177668,134890,75.9225,32.9321
10,2,177668,134890,75.9225,32.9321
10,3,177668,134890,75.9225,32.9321
10,4,177668,134890,75.9225,32.9321
10,5,177668,134890,75.9225,32.9321
10,total,1066008,809340,75.9225,197.5928
11,0,178633,136601,76.4702,33.3499
11,1,178633,136601,76.4702,33.3499
11,2,178633,136601,76.4702,33.3499
11,3,178633,136601,76.4702,33.3499
11,4,178633,136601,76.4702,33.3499
11,5,178633,136601,76.4702,33.3499
11,total,1071798,819606,76.4702,200.0991
12,0,178724,137150,76.7384,33.4839
12,1,178724,137150,76.7384,33.4839
12,2,178724,137150,76.7384,33.4839
12,3,178724,137150,76.7384,33.4839
12,4,178724,137150,76.7384,33.4839
12,5,178724,137150,76.7384,33.4839
12,total,1072344,822900,76.7384,200.9033
13,0,179083,137187,76.6053,33.4929
13,1,179083,137187,76.6053,33.4929
13,2,179083,137187,76.6053,33.4929
13,3,179083,137187,76.6053,33.4929
13,4,179083,137187,76.6053,33.4929
13,5,179083,137187,76.6053,33.4929
13,total,1074498,823122,76.6053,200.9575
14,0,178218,135546,76.0563,33.0923
14,1,178218,135546,76.0563,33.0923
14,2,178218,135546,76.0563,33.0923
14,3,178218,135546,76.0563,33.0923
14,4,178218,135546,76.0563,33.0923
14,5,178218,135546,76.0563,33.0923
14,total,1069308,813276,76.0563,198.5537
15,0,176655,133764,75.7205,32.6572
15,1,176655,133764,75.7205,32.6572
15,2,176655,133764,75.7205,32.6572
15,3,176655,133764,75.7205,32.6572
15,4,176655,133764,75.7205,32.6572
15,5,176655,133764,75.7205,32.6572
15,total,1059930,802584,75.7205,195.9434
16,0,179092,136890,76.4356,33.4204
16,1,179092,136890,76.4356,33.4204
16,2,179092,136890,76.4356,33.4204
16,3,179092,136890,76.4356,33.4204
16,4,179092,136890,76.4356,33.4204
16,5,179092,136890,76.4356,33.4204
16,total,1074552,821340,76.4356,200.5225
17,0,178137,135765,76.2138,33.1458
17,1,178137,135765,76.2138,33.1458
17,2,178137,135765,76.2138,33.1458
17,3,178137,135765,76.2138,33.1458
17,4,178137,135765,76.2138,33.1458
17,5,178137,135765,76.2138,33.1458
17,total,1068822,814590,76.2138,198.8745
18,0,177785,136356,76.6971,33.2900
18,1,177785,136356,76.6971,33.2900
18,2,177785,136356,76.6971,33.2900
18,3,177785,136356,76.6971,33.2900
18,4,177785,136356,76.6971,33.2900
18,5,177785,136356,76.6971,33.2900
18,total,1066710,818136,76.6971,199.7402
19,0,177172,134617,75.9810,32.8655
19,1,177172,134617,75.9810,32.8655
19,2,177172,134617,75.9810,32.8655
19,3,177172,134617,75.9810,32.8655
19,4,177172,134617,75.9810,32.8655
19,5,177172,134617,75.9810,32.8655
19,total,1063032,807702,75.9810,197.1929
20,0,177074,133456,75.3674,32.5820
20,1,177074,133456,75.3674,32.5820
20,2,177074,133456,75.3674,32.5820
20,3,177074,133456,75.3674,32.5820
20,4,177074,133456,75.3674,32.5820
20,5,177074,133456,75.3674,32.5820
20,total,1062444,800736,75.3674,195.4922
21,0,177529,134795,75.9284,32.9089
21,1,177529,134795,75.9284,32.9089
21,2,177529,134795,75.9284,32.9089
21,3,177529,134795,75.9284,32.9089
21,4,177529,134795,75.9284,32.9089
21,5,177529,134795,75.9284,32.9089
21,total,1065174,808770,75.9284,197.4536
22,0,178973,136957,76.5238,33.4368
22,1,178973,136957,76.5238,33.4368
22,2,178973,136957,76.5238,33.4368
22,3,178973,136957,76.5238,33.4368
22,4,178973,136957,76.5238,33.4368
22,5,178973,136957,76.5238,33.4368
22,total,1073838,821742,76.5238,200.6206
23,0,176972,134255,75.8623,32.7771
23,1,176972,134255,75.8623,32.7771
23,2,176972,134255,75.8623,32.7771
23,3,176972,134255,75.8623,32.7771
23,4,176972,134255,75.8623,32.7771
23,5,176972,134255,75.8623,32.7771
23,total,1061832,805530,75.8623,196.6626
24,0,176855,134036,75.7886,32.7236
24,1,176855,134036,75.7886,32.7236
24,2,176855,134036,75.7886,32.7236
24,3,176855,134036,75.7886,32.7236
24,4,176855,134036,75.7886,32.7236
24,5,176855,134036,75.7886,32.7236
24,total,1061130,804216,75.7886,196.3418
25,0,177504,135867,76.5431,33.1707
25,1,177504,135867,76.5431,33.1707
25,2,177504,135867,76.5431,33.1707
25,3,177504,135867,76.5431,33.1707
25,4,177504,135867,76.5431,33.1707
25,5,177504,135867,76.5431,33.1707
25,total,1065024,815202,76.5431,199.0239
26,0,178105,136271,76.5116,33.2693
26,1,178105,136271,76.5116,33.2693
26,2,178105,136271,76.5116,33.2693
26,3,178105,136271,76.5116,33.2693
26,4,178105,136271,76.5116,33.2693
26,5,178105,136271,76.5116,33.2693
26,total,1068630,817626,76.5116,199.6157
27,0,179311,137923,76.9183,33.6726
27,1,179311,137923,76.9183,33.6726
27,2,179311,137923,76.9183,33.6726
27,3,179311,137923,76.9183,33.6726
27,4,179311,137923,76.9183,33.6726
27,5,179311,137923,76.9183,33.6726
27,total,1075866,827538,76.9183,202.0356
28,0,177667,135255,76.1284,33.0212
28,1,177667,135255,76.1284,33.0212
28,2,177667,135255,76.1284,33.0212
28,3,177667,135255,76.1284,33.0212
28,4,177667,135255,76.1284,33.0212
28,5,177667,135255,76.1284,33.0212
28,total,1066002,811530,76.1284,198.1274
29,0,178542,136981,76.7220,33.4426
29,1,178542,136981,76.7220,33.4426
29,2,178542,136981,76.7220,33.4426
29,3,178542,136981,76.7220,33.4426
29,4,178542,136981,76.7220,33.4426
29,5,178542,136981,76.7220,33.4426
29,total,1071252,821886,76.7220,200.6558
30,0,177603,135650,76.3782,33.1177
30,1,177603,135650,76.3782,33.1177
30,2,177603,135650,76.3782,33.1177
30,3,177603,135650,76.3782,33.1177
30,4,177603,135650,76.3782,33.1177
30,5,177603,135650,76.3782,33.1177
30,total,1065618,813900,76.3782,198.7061
31,0,179525,137443,76.5593,33.5554
31,1,179525,137443,76.5593,33.5554
31,2,179525,137443,76.5593,33.5554
31,3,179525,137443,76.5593,33.5554
31,4,179525,137443,76.5593,33.5554
31,5,179525,137443,76.5593,33.5554
31,total,1077150,824658,76.5593,201.3325
32,0,177690,135477,76.2435,33.0754
32,1,177690,135477,76.2435,33.0754
32,2,177690,135477,76.2435,33.0754
32,3,177690,135477,76.2435,33.0754
32,4,177690,135477,76.2435,33.0754
32,5,177690,135477,76.2435,33.0754
32,total,1066140,812862,76.2435,198.4526
33,0,178896,137259,76.7256,33.5105
33,1,178896,137259,76.7256,33.5105
33,2,178896,137259,76.7256,33.5105
33,3,178896,137259,76.7256,33.5105
33,4,178896,137259,76.7256,33.5105
33,5,178896,137259,76.7256,33.5105
33,total,1073376,823554,76.7256,201.0630
34,0,179054,136839,76.4233,33.4080
34,1,179054,136839,76.4233,33.4080
34,2,179054,136839,76.4233,33.4080
34,3,179054,136839,76.4233,33.4080
34,4,179054,136839,76.4233,33.4080
34,5,179054,136839,76.4233,33.4080
34,total,1074324,821034,76.4233,200.4478
35,0,176405,132816,75.2904,32.4258
35,1,176405,132816,75.2904,32.4258
35,2,176405,132816,75.2904,32.4258
35,3,176405,132816,75.2904,32.4258
35,4,176405,132816,75.2904,32.4258
35,5,176405,132816,75.2904,32.4258
35,total,1058430,796896,75.2904,194.5547
36,0,177400,135126,76.1702,32.9897
36,1,177400,135126,76.1702,32.9897
36,2,177400,135126,76.1702,32.9897
36,3,177400,135126,76.1702,32.9897
36,4,177400,135126,76.1702,32.9897
36,5,177400,135126,76.1702,32.9897
36,total,1064400,810756,76.1702,197.9385
37,0,176754,133053,75.2758,32.4836
37,1,176754,133053,75.2758,32.4836
37,2,176754,133053,75.2758,32.4836
37,3,176754,133053,75.2758,32.4836
37,4,176754,133053,75.2758,32.4836
37,5,176754,133053,75.2758,32.4836
37,total,1060524,798318,75.2758,194.9019
38,0,179533,137502,76.5887,33.5698
38,1,179533,137502,76.5887,33.5698
38,2,179533,137502,76.5887,33.5698
38,3,179533,137502,76.5887,33.5698
38,4,179533,137502,76.5887,33.5698
38,5,179533,137502,76.5887,33.5698
38,total,1077198,825012,76.5887,201.4189
39,0,177647,134752,75.8538,32.8984
39,1,177647,134752,75.8538,32.8984
39,2,177647,134752,75.8538,32.8984
39,3,177647,134752,75.8538,32.8984
39,4,177647,134752,75.8538,32.8984
39,5,177647,134752,75.8538,32.8984
39,total,1065882,808512,75.8538,197.3906
40,0,175411,132049,75.2798,32.2385
40,1,175411,132049,75.2798,32.2385
40,2,175411,132049,75.2798,32.2385
40,3,175411,132049,75.2798,32.2385
40,4,175411,132049,75.2798,32.2385
40,5,175411,132049,75.2798,32.2385
40,total,1052466,792294,75.2798,193.4312
41,0,176100,132557,75.2737,32.3625
41,1,176100,132557,75.2737,32.3625
41,2,176100,132557,75.2737,32.3625
41,3,176100,132557,75.2737,32.3625
41,4,176100,132557,75.2737,32.3625
41,5,176100,132557,75.2737,32.3625
41,total,1056600,795342,75.2737,194.1753
42,0,177135,135053,76.2430,32.9719
42,1,177135,135053,76.2430,32.9719
42,2,177135,135053,76.2430,32.9719
42,3,177135,135053,76.2430,32.9719
42,4,177135,135053,76.2430,32.9719
42,5,177135,135053,76.2430,32.9719
42,total,1062810,810318,76.2430,197.8315
43,0,178331,135966,76.2436,33.1948
43,1,178331,135966,76.2436,33.1948
43,2,178331,135966,76.2436,33.1948
43,3,178331,135966,76.2436,33.1948
43,4,178331,135966,76.2436,33.1948
43,5,178331,135966,76.2436,33.1948
43,total,1069986,815796,76.2436,199.1689
44,0,178601,136455,76.4021,33.3142
44,1,178601,136455,76.4021,33.3142
44,2,178601,136455,76.4021,33.3142
44,3,178601,136455,76.4021,33.3142
44,4,178601,136455,76.4021,33.3142
44,5,178601,136455,76.4021,33.3142
44,total,1071606,818730,76.4021,199.8853
45,0,177756,134524,75.6790,32.8428
45,1,177756,134524,75.6790,32.8428
45,2,177756,134524,75.6790,32.8428
45,3,177756,134524,75.6790,32.8428
45,4,177756,134524,75.6790,32.8428
45,5,177756,134524,75.6790,32.8428
45,total,1066536,807144,75.6790,197.0566
46,0,178145,136423,76.5798,33.3064
46,1,178145,136423,76.5798,33.3064
46,2,178145,136423,76.5798,33.3064
46,3,178145,136423,76.5798,33.3064
46,4,178145,136423,76.5798,33.3064
46,5,178145,136423,76.5798,33.3064
46,total,1068870,818538,76.5798,199.8384
47,0,177439,135232,76.2132,33.0156
47,1,177439,135232,76.2132,33.0156
47,2,177439,135232,76.2132,33.0156
47,3,177439,135232,76.2132,33.0156
47,4,177439,135232,76.2132,33.0156
47,5,177439,135232,76.2132,33.0156
47,total,1064634,811392,76.2132,198.0938
48,0,176700,133643,75.6327,32.6277
