# model_name=layerwise_exchange_sync_sgd_bwd_client_13
# seed=1
# started_at=20260531-180138
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.5758422227466807,0.5338137184872347,0.7140451561320912,0.7403873340650038,0.9665809869766235,0.9679144024848938,0.921914279460907,0.8660286664962769,0.4432132840156555,0.6666666865348816,0.6450216174125671,0.5559567213058472,0.5191256999969482,0.6118980050086975,0.6901763677597046,0.9791843891143799,0.9710167646408081,0.9982231259346008,1.0,0.41894739866256714,0.6678781509399414,0.6605652570724487,0.6342140436172485,0.4582462012767792,0.6835227012634277,0.6724626421928406
2,0.4216356312527376,0.37453992927775664,0.7562065937302329,0.7847249182787809,0.9715762138366699,0.9732620120048523,1.0,0.997245192527771,0.483775794506073,0.6653226017951965,0.7294589877128601,0.6550725102424622,0.5592705011367798,0.6166220307350159,0.6666666865348816,0.9957512021064758,0.9969689846038818,1.0,1.0,0.47874027490615845,0.6917251348495483,0.7834639549255371,0.6980958580970764,0.5574049949645996,0.7110350728034973,0.7187886238098145
3,0.3901067779344671,0.33738380319931927,0.7784405242313038,0.8261541507460854,0.989847719669342,0.978723406791687,0.9865951538085938,0.997245192527771,0.5517241954803467,0.6681715250015259,0.7545126080513,0.6718346476554871,0.6242038607597351,0.6649874448776245,0.675000011920929,0.99980229139328,0.9995721578598022,1.0,0.9992557764053345,0.533729076385498,0.7142526507377625,0.8327543139457703,0.7658367156982422,0.7692725658416748,0.7335032820701599,0.7397168278694153
4,0.33200692955185385,0.3002270652967341,0.8048774870959196,0.8621695583516901,0.9715762138366699,0.981432318687439,1.0,0.997245192527771,0.6985294222831726,0.6831275820732117,0.7364185452461243,0.7014492750167847,0.7360000014305115,0.6611570119857788,0.6867167949676514,0.9999253749847412,0.9997104406356812,1.0,0.999908447265625,0.7161669731140137,0.726762592792511,0.8585648536682129,0.8242853879928589,0.8368200659751892,0.7546151876449585,0.7671058177947998
5,0.32398198807940765,0.27787063139326434,0.8124957789074291,0.872302071614699,0.9715762138366699,0.9894736409187317,0.9945945739746094,0.997245192527771,0.7983871102333069,0.7112171649932861,0.7760140299797058,0.6832917928695679,0.6881720423698425,0.648910403251648,0.6785714030265808,0.9997773170471191,1.0,0.9998828172683716,1.0,0.7796903252601624,0.7796503305435181,0.8745643496513367,0.8146936297416687,0.8431116342544556,0.7413527965545654,0.7625995874404907
6,0.30349983800860014,0.25356479339739857,0.8208382508971475,0.887942758473483,0.9715762138366699,0.9841269850730896,1.0,0.997245192527771,0.8582677245140076,0.7420147061347961,0.7557932138442993,0.7061728239059448,0.6779661178588867,0.6543534994125366,0.6817042827606201,0.9999499917030334,0.9999729990959167,1.0,1.0,0.8792324066162109,0.8363019227981567,0.8599714040756226,0.8295058012008667,0.8410516381263733,0.7511082887649536,0.770275890827179
7,0.30043726458269004,0.2506626616506016,0.8256221088496122,0.8875846754420887,0.9846938848495483,0.981432318687439,1.0,0.997245192527771,0.8352490663528442,0.7294686436653137,0.7669724822044373,0.7329842448234558,0.6783217191696167,0.6698794960975647,0.7055961489677429,0.9998515844345093,1.0,1.0,1.0,0.855636477470398,0.8169361352920532,0.8667720556259155,0.8418806195259094,0.8558233976364136,0.7631227970123291,0.763408362865448
8,0.2824021420058082,0.24706271641394673,0.8216083320704374,0.8922980536114086,0.9820971488952637,0.9868074059486389,0.9919137358665466,0.997245192527771,0.7985075116157532,0.7706012725830078,0.7639999985694885,0.7074467539787292,0.673758864402771,0.6633906960487366,0.7019230723381042,0.9999748468399048,1.0,0.9999411106109619,1.0,0.8753795027732849,0.8482984304428101,0.8667222857475281,0.8217799067497253,0.8463785648345947,0.763363778591156,0.7934401631355286
9,0.2879920540487065,0.24425815484103033,0.8370270566506819,0.8904063864187761,1.0,0.9921259880065918,0.9919137358665466,0.997245192527771,0.8806584477424622,0.7811765074729919,0.7760617733001709,0.72826087474823,0.683098554611206,0.6634382605552673,0.7133182883262634,1.0,1.0,1.0,1.0,0.865771472454071,0.8263426423072815,0.8795846104621887,0.8426182866096497,0.863028347492218,0.757064938545227,0.7600599527359009
10,0.2870282074984382,0.23094479564358206,0.8340455456213518,0.8989936004985463,0.9820971488952637,0.997389018535614,0.9972899556159973,0.997245192527771,0.9230769276618958,0.7893462777137756,0.7801417708396912,0.6932084560394287,0.6455696225166321,0.6701570153236389,0.6989796161651611,0.9999499917030334,1.0,0.9999411106109619,1.0,0.9574094414710999,0.8468559384346008,0.8787350654602051,0.8320409059524536,0.8452929854393005,0.7591354250907898,0.7695687413215637
11,0.2783294749610564,0.22292090514126947,0.8444623188538984,0.9074300094084307,0.9898989796638489,0.9868074059486389,0.9892473220825195,1.0,0.8861788511276245,0.8091602921485901,0.7888889312744141,0.732824444770813,0.7087719440460205,0.6804123520851135,0.7168949842453003,0.9996799230575562,1.0,1.0,1.0,0.9526726007461548,0.8753736019134521,0.8833825588226318,0.8598524332046509,0.8697747588157654,0.7667135000228882,0.7742807269096375
