timestamp_iso,model,n_runs,seeds,macro_mean_prauc,deg-in_mean_prauc,deg-out_mean_prauc,fan-in_mean_prauc,fan-out_mean_prauc,C2_mean_prauc,C3_mean_prauc,C4_mean_prauc,C5_mean_prauc,C6_mean_prauc,S-G_mean_prauc,B-C_mean_prauc,deg-in_std_prauc,deg-out_std_prauc,fan-in_std_prauc,fan-out_std_prauc,C2_std_prauc,C3_std_prauc,C4_std_prauc,C5_std_prauc,C6_std_prauc,S-G_std_prauc,B-C_std_prauc,runtime
2026-04-27T23:10:55,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=metis, num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260427_220914",2,"0,1",92.39,100.0,100.0,100.0,100.0,97.26,90.18,88.21,84.98,88.05,84.09,83.57,0.0,0.0,0.0,0.0,0.54,0.94,0.34,0.13,0.02,1.44,0.37,01:01:41
2026-04-27T23:47:27,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=metis, num_clients=10, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260427_223859",2,"0,1",93.82,100.0,100.0,100.0,100.0,98.45,93.18,91.97,85.44,87.0,87.77,88.26,0.0,0.0,0.0,0.0,0.15,0.05,0.26,1.55,0.37,0.01,0.84,01:08:29
2026-04-28T00:12:58,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=metis, num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260427_232046",2,"0,1",95.75,100.0,100.0,100.0,100.0,99.16,97.17,96.79,83.53,86.45,95.17,94.98,0.0,0.0,0.0,0.0,0.01,0.1,0.22,0.12,0.04,0.27,0.31,00:52:12
2026-04-28T00:29:46,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=metis, num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260427_231102",2,"0,1",94.81,100.0,100.0,100.0,100.0,98.9,95.68,94.67,83.12,85.95,91.59,93.06,0.0,0.0,0.0,0.0,0.03,0.06,0.48,0.46,0.46,0.48,0.98,01:18:44
2026-04-28T11:59:26,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=partition_aware, num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260428_111114",2,"0,1",86.67,100.0,100.0,100.0,100.0,98.3,63.98,82.95,80.37,81.95,71.64,74.23,0.0,0.0,0.0,0.0,0.15,0.14,0.03,0.15,0.38,0.62,1.01,00:48:12
2026-04-28T12:29:15,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=partition_aware, num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260428_112411",2,"0,1",86.1,100.0,100.0,100.0,100.0,99.49,62.4,81.3,79.57,80.69,70.66,72.98,0.0,0.0,0.0,0.0,0.13,0.15,0.06,0.21,0.15,0.07,0.07,01:05:05
2026-04-28T13:25:30,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=partition_aware, num_clients=10, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260428_111732",2,"0,1",86.47,100.0,100.0,100.0,100.0,99.16,62.91,82.55,80.09,81.75,70.89,73.82,0.0,0.0,0.0,0.0,0.05,0.33,0.06,0.02,0.19,0.15,0.15,02:07:58
2026-04-28T13:49:49,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=partition_aware, num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260428_105217",2,"0,1",88.89,100.0,100.0,100.0,100.0,98.19,66.56,84.0,81.53,83.11,80.71,83.66,0.0,0.0,0.0,0.0,0.23,0.23,0.01,0.2,0.21,0.47,0.53,02:57:32
2026-04-28T15:16:36,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=louvain, num_clients=10, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260428_142001",2,"0,1",96.81,100.0,100.0,100.0,100.0,99.24,97.61,97.05,86.18,89.18,97.99,97.62,0.0,0.0,0.0,0.0,0.03,0.29,0.05,0.59,0.26,0.19,0.03,00:56:35
2026-04-28T16:29:09,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=louvain, num_clients=5, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260428_151642",2,"0,1",97.6,100.0,100.0,100.0,100.0,99.53,98.59,98.46,92.03,88.55,98.28,98.18,0.0,0.0,0.0,0.0,0.15,0.18,0.07,0.36,0.31,0.13,0.08,01:12:27
2026-04-28T18:02:11,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=louvain, num_clients=3, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260428_163414",2,"0,1",98.18,100.0,100.0,100.0,100.0,99.41,99.12,99.13,96.02,88.39,98.89,98.97,0.0,0.0,0.0,0.0,0.18,0.05,0.07,0.04,0.36,0.01,0.11,01:27:57
2026-04-28T00:30:46,"Layer-wise exchange + Sync-SGD (gradient averaging, shared Adam) | partition_strategy=louvain, num_clients=15, cross_edges=True, local_labels=False, global_epochs=100, local_epochs=1, use_port_ids=True, use_ego_ids=True, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32, lr=0.001, seeds=[0, 1], run_id=20260427_235202",2,"0,1",96.19,100.0,100.0,100.0,100.0,99.1,95.35,95.06,86.6,89.72,96.22,96.08,0.0,0.0,0.0,0.0,0.16,0.69,0.21,0.24,0.01,0.35,0.19,00:38:44
