# model_name=layerwise_fullbatch_fedavg_client_0
# seed=0
# started_at=20260404-180409
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.7715885082064353,0.7736763769552248,0.2602587569801306,0.6747167977419767,0.21532846987247467,0.002061855746433139,0.23219512403011322,0.0,0.0,0.0,0.6445828080177307,0.49696633219718933,0.38900068402290344,0.37122559547424316,0.5114854574203491,0.9884670972824097,0.8481236696243286,0.9722074866294861,0.8248726725578308,0.3657067120075226,0.5300548076629639,0.676726222038269,0.4975632131099701,0.31648731231689453,0.6956725120544434,0.7060030698776245
2,0.5051544703767304,0.5095041922691765,0.7259949147701263,0.7439847696911205,0.9617834687232971,0.9558189511299133,0.9762711524963379,1.0,0.4318617880344391,0.4776119291782379,0.7090122699737549,0.6331384181976318,0.4831461012363434,0.6756604909896851,0.6816394925117493,0.99017733335495,0.9930141568183899,0.9995688199996948,1.0,0.43009209632873535,0.5925145745277405,0.7318638563156128,0.6041880249977112,0.4973779320716858,0.677577793598175,0.6674578785896301
3,0.4504430257521914,0.45277282566105553,0.7105381922288374,0.7880351976914839,0.9628844261169434,0.9484536051750183,0.9988950490951538,0.9902690649032593,0.4017278254032135,0.40782541036605835,0.70505291223526,0.5840350389480591,0.4569827616214752,0.6781545281410217,0.6816394925117493,0.9983891248703003,0.9970070123672485,1.0,0.9999603033065796,0.4609781503677368,0.5864059925079346,0.7740719318389893,0.7178587913513184,0.6903951168060303,0.7270889282226562,0.7162318229675293
4,0.5262491462515805,0.5329442446384954,0.6743602725592527,0.785554977980527,0.9639830589294434,0.9558189511299133,0.9983452558517456,1.0,0.2878120541572571,0.24343258142471313,0.6741393208503723,0.5431873202323914,0.41589120030403137,0.6615018248558044,0.6738514304161072,0.9989649057388306,0.9970869421958923,0.9999951124191284,1.0,0.5045467019081116,0.55949866771698,0.7733352780342102,0.7181310057640076,0.6650847792625427,0.7221655249595642,0.7022958397865295
5,0.5465625605859568,0.5540300385886376,0.6973781802437522,0.796558445150202,0.9694415330886841,0.9696969985961914,0.9988974928855896,0.9983022212982178,0.3648833930492401,0.349232017993927,0.6835650205612183,0.5536829233169556,0.4225865304470062,0.680827260017395,0.6800445914268494,0.9995854496955872,0.99984210729599,0.9999975562095642,1.0,0.5300717949867249,0.5826804041862488,0.7902256846427917,0.7347873449325562,0.6899622082710266,0.7257269024848938,0.7092634439468384
6,0.5658739111218833,0.5770031851366025,0.6574190218340267,0.790346546606584,0.9705263376235962,0.9603004455566406,0.9977948665618896,0.9988675117492676,0.12692967057228088,0.24007220566272736,0.6659729480743408,0.5299498438835144,0.4027729332447052,0.6561743021011353,0.6822481751441956,0.9997650980949402,0.999592661857605,0.9999914765357971,1.0,0.5342761874198914,0.5687204003334045,0.7721039056777954,0.7243151664733887,0.6724407076835632,0.7085553407669067,0.7140510678291321
7,0.5752815086003708,0.5866864897570478,0.6761547327041626,0.7926975055174394,0.9969230890274048,0.9614148139953613,0.9972481727600098,0.9988675117492676,0.24126982688903809,0.25022026896476746,0.6748335361480713,0.5498918890953064,0.4101838767528534,0.6797093152999878,0.6771397590637207,1.0,0.9997491836547852,0.999877393245697,1.0,0.5537397861480713,0.5606089234352112,0.7745001316070557,0.7263182401657104,0.6745187044143677,0.7163224816322327,0.7140377163887024
8,0.5555899395106562,0.5733268108061694,0.6923528990962289,0.7907068024982106,0.9984638690948486,0.9597423672676086,0.9972481727600098,1.0,0.32844576239585876,0.2991596758365631,0.6821155548095703,0.556707501411438,0.4353383481502533,0.682634711265564,0.676025927066803,1.0,0.9996523261070251,0.9999792575836182,1.0,0.5707601308822632,0.573825478553772,0.7715557813644409,0.7041150331497192,0.6392249464988708,0.7182496786117554,0.7204121947288513
9,0.6752977571064116,0.6889173449070082,0.6414594751867381,0.7945212938568809,0.991752564907074,0.9974133372306824,0.9950358867645264,0.9932432174682617,0.0361010804772377,0.1495145708322525,0.6593350172042847,0.5202078223228455,0.386069655418396,0.6512477993965149,0.6761332750320435,1.0,0.999993622303009,0.9995237588882446,1.0,0.5194936990737915,0.5992129445075989,0.7903225421905518,0.7306232452392578,0.694175660610199,0.7082399725914001,0.698148787021637
10,0.46690022429384387,0.47324106915281455,0.7214295945384286,0.8028286803852428,0.9927908778190613,0.9948133230209351,0.996692419052124,0.9977375268936157,0.40316206216812134,0.42990654706954956,0.6977007985115051,0.5939925909042358,0.47025027871131897,0.6815393567085266,0.6771397590637207,1.0,0.9999690055847168,0.9998534321784973,1.0,0.5996202230453491,0.5785700082778931,0.7820425629615784,0.7370334267616272,0.6997494101524353,0.7242777943611145,0.7099996209144592
