epoch,layer,remote_total,remote_served,coverage_pct,bytes_communicated_mb
1,0,510528,510528,100.0000,124.6406
1,1,510528,510528,100.0000,124.6406
1,2,510528,510528,100.0000,124.6406
1,3,510528,510528,100.0000,124.6406
1,4,510528,510528,100.0000,124.6406
1,5,510528,510528,100.0000,124.6406
1,total,3063168,3063168,100.0000,747.8438
2,0,513552,513552,100.0000,125.3789
2,1,513552,513552,100.0000,125.3789
2,2,513552,513552,100.0000,125.3789
2,3,513552,513552,100.0000,125.3789
2,4,513552,513552,100.0000,125.3789
2,5,513552,513552,100.0000,125.3789
2,total,3081312,3081312,100.0000,752.2734
3,0,511848,511848,100.0000,124.9629
3,1,511848,511848,100.0000,124.9629
3,2,511848,511848,100.0000,124.9629
3,3,511848,511848,100.0000,124.9629
3,4,511848,511848,100.0000,124.9629
3,5,511848,511848,100.0000,124.9629
3,total,3071088,3071088,100.0000,749.7773
4,0,509172,509172,100.0000,124.3096
4,1,509172,509172,100.0000,124.3096
4,2,509172,509172,100.0000,124.3096
4,3,509172,509172,100.0000,124.3096
4,4,509172,509172,100.0000,124.3096
4,5,509172,509172,100.0000,124.3096
4,total,3055032,3055032,100.0000,745.8574
5,0,512704,512704,100.0000,125.1719
5,1,512704,512704,100.0000,125.1719
5,2,512704,512704,100.0000,125.1719
5,3,512704,512704,100.0000,125.1719
5,4,512704,512704,100.0000,125.1719
5,5,512704,512704,100.0000,125.1719
5,total,3076224,3076224,100.0000,751.0312
6,0,510429,510429,100.0000,124.6165
6,1,510429,510429,100.0000,124.6165
6,2,510429,510429,100.0000,124.6165
6,3,510429,510429,100.0000,124.6165
6,4,510429,510429,100.0000,124.6165
6,5,510429,510429,100.0000,124.6165
6,total,3062574,3062574,100.0000,747.6987
7,0,509359,509359,100.0000,124.3552
7,1,509359,509359,100.0000,124.3552
7,2,509359,509359,100.0000,124.3552
7,3,509359,509359,100.0000,124.3552
7,4,509359,509359,100.0000,124.3552
7,5,509359,509359,100.0000,124.3552
7,total,3056154,3056154,100.0000,746.1313
8,0,509974,509974,100.0000,124.5054
8,1,509974,509974,100.0000,124.5054
8,2,509974,509974,100.0000,124.5054
8,3,509974,509974,100.0000,124.5054
8,4,509974,509974,100.0000,124.5054
8,5,509974,509974,100.0000,124.5054
8,total,3059844,3059844,100.0000,747.0322
9,0,511437,511437,100.0000,124.8625
9,1,511437,511437,100.0000,124.8625
9,2,511437,511437,100.0000,124.8625
9,3,511437,511437,100.0000,124.8625
9,4,511437,511437,100.0000,124.8625
9,5,511437,511437,100.0000,124.8625
9,total,3068622,3068622,100.0000,749.1753
10,0,511355,511355,100.0000,124.8425
10,1,511355,511355,100.0000,124.8425
10,2,511355,511355,100.0000,124.8425
10,3,511355,511355,100.0000,124.8425
10,4,511355,511355,100.0000,124.8425
10,5,511355,511355,100.0000,124.8425
10,total,3068130,3068130,100.0000,749.0552
11,0,510483,510483,100.0000,124.6296
11,1,510483,510483,100.0000,124.6296
11,2,510483,510483,100.0000,124.6296
11,3,510483,510483,100.0000,124.6296
11,4,510483,510483,100.0000,124.6296
11,5,510483,510483,100.0000,124.6296
11,total,3062898,3062898,100.0000,747.7778
