# model_name=local_baseline_client_0
# seed=0
# started_at=20260321-170204
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.78491726664782,0.7854521122013629,0.32092440873384476,0.3819646875966679,0.34285715222358704,0.4956521689891815,0.2818181812763214,0.2511627972126007,0.2717219591140747,0.47743815183639526,0.11726383864879608,0.1201716735959053,0.4164038300514221,0.26217228174209595,0.49350646138191223,0.46710720658302307,0.4445641338825226,0.44503042101860046,0.36357954144477844,0.16587857902050018,0.37559810280799866,0.48494619131088257,0.3528461754322052,0.30198752880096436,0.3834429383277893,0.41663074493408203
2,0.7734646021339096,0.773867921811789,0.22897655042735013,0.379964831200513,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.2717219591140747,0.14718614518642426,0.0,0.12173911929130554,0.42424237728118896,0.26217228174209595,0.2278480976819992,0.47926080226898193,0.4420892894268036,0.4268263280391693,0.39289817214012146,0.17027470469474792,0.35916104912757874,0.4855646789073944,0.3568057715892792,0.26050347089767456,0.37223052978515625,0.43399834632873535
3,0.769828201320969,0.7670660018920898,0.2988440807570111,0.37642302296378394,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.28260868787765503,0.11184210330247879,0.5163297057151794,0.4164038300514221,0.24242424964904785,0.49565213918685913,0.48304271697998047,0.4246324598789215,0.41924160718917847,0.37859585881233215,0.16113296151161194,0.38973379135131836,0.4789176881313324,0.3501904308795929,0.2753257155418396,0.3619113564491272,0.41792866587638855
4,0.7696765872634526,0.7673525313354715,0.3329875577579845,0.37489565123211255,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.16239316761493683,0.6434540152549744,0.5163297057151794,0.42424237728118896,0.2009132355451584,0.49350646138191223,0.47396159172058105,0.42755892872810364,0.42864614725112915,0.3661433458328247,0.15649735927581787,0.381193608045578,0.48122552037239075,0.3675740957260132,0.28718066215515137,0.34988757967948914,0.40398332476615906
5,0.7694665193557739,0.7686809669682922,0.3361186425794255,0.3847502971237356,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.16101695597171783,0.6434540152549744,0.5163297057151794,0.4164038300514221,0.24242424964904785,0.49565213918685913,0.46180233359336853,0.4398829936981201,0.44984737038612366,0.38887515664100647,0.15327133238315582,0.3941929340362549,0.5009159445762634,0.3593052327632904,0.275516152381897,0.4004370868206024,0.4082067310810089
6,0.7697579533787925,0.7698259577018906,0.3318001627922058,0.3763061775402589,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.14718614518642426,0.6434540152549744,0.5163297057151794,0.42424237728118896,0.2009132355451584,0.49565213918685913,0.4842926561832428,0.4392397105693817,0.41582444310188293,0.36712682247161865,0.15133218467235565,0.3407588601112366,0.5121128559112549,0.3487040400505066,0.26955947279930115,0.3758786916732788,0.43453821539878845
7,0.7694357733839826,0.7677955739676844,0.3109368505803021,0.3907868347384713,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.1825726181268692,0.6434540152549744,0.5163297057151794,0.42424237728118896,0.2009132355451584,0.23076923191547394,0.4873066544532776,0.4522809386253357,0.44506391882896423,0.3819873332977295,0.1553249955177307,0.370735228061676,0.49917855858802795,0.38189855217933655,0.30257123708724976,0.38321536779403687,0.43909239768981934
8,0.7690689084298867,0.7666876165696864,0.3114936270497062,0.3791136226870797,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.14718614518642426,0.6434540152549744,0.5163297057151794,0.42424237728118896,0.24242424964904785,0.23076923191547394,0.4819560945034027,0.44345560669898987,0.4462619125843048,0.38431522250175476,0.15481892228126526,0.3251461386680603,0.5188945531845093,0.37157130241394043,0.2836134135723114,0.36804354190826416,0.3921731412410736
9,0.7686675879593523,0.7649364833204141,0.34404740076173435,0.3824568878520619,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.10000000149011612,0.2939068377017975,0.6434540152549744,0.5163297057151794,0.42424237728118896,0.24710425734519958,0.49565213918685913,0.46656709909439087,0.44725143909454346,0.418540358543396,0.3952404260635376,0.16956734657287598,0.3731044828891754,0.5111952424049377,0.35928693413734436,0.28632432222366333,0.3698391616344452,0.4101089537143707
10,0.7688670677066504,0.7660907157160465,0.35888433591886,0.38463369553739374,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.0875912457704544,0.5115646123886108,0.6434540152549744,0.5163297057151794,0.42424237728118896,0.20720720291137695,0.49350646138191223,0.4627359211444855,0.43170544505119324,0.42721113562583923,0.3680306077003479,0.16386675834655762,0.3762398660182953,0.5330197811126709,0.3915153443813324,0.29036930203437805,0.3669137954711914,0.4193626940250397
11,0.7699020751215641,0.7661889906993078,0.40247116712006653,0.38061869821765204,0.5036179423332214,0.2500000298023224,0.47633135318756104,0.2511627972126007,0.15819209814071655,0.5115646123886108,0.6434540152549744,0.5163297057151794,0.42211058735847473,0.2009132355451584,0.49350646138191223,0.46775534749031067,0.4354460537433624,0.4219323992729187,0.3568287491798401,0.15214993059635162,0.38744524121284485,0.47373127937316895,0.34510037302970886,0.3176836669445038,0.40847334265708923,0.4202592968940735
12,0.7696836976508118,0.7681146923323218,0.4069560332731767,0.3740943399342624,0.2808510661125183,0.2500000298023224,0.47633135318756104,0.2511627972126007,0.15819209814071655,0.5115646123886108,0.6434540152549744,0.5163297057151794,0.41001564264297485,0.4829629063606262,0.49565213918685913,0.4652423560619354,0.4312503933906555,0.4175998568534851,0.36159393191337585,0.1462130844593048,0.40755271911621094,0.4803825616836548,0.38161250948905945,0.23432928323745728,0.37528228759765625,0.4139787554740906
13,0.7686670436719654,0.7666407581657116,0.34790333292701026,0.37933671745386993,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.2939068377017975,0.6434540152549744,0.5163297057151794,0.4131455421447754,0.24242424964904785,0.49565213918685913,0.4665762186050415,0.42562445998191833,0.4472186863422394,0.38001012802124023,0.15639859437942505,0.39087405800819397,0.4782959520816803,0.381420761346817,0.27762627601623535,0.3471977412700653,0.4214610159397125
14,0.7687764181951282,0.7655194531411096,0.34579063003713434,0.3816586136817932,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.1599999964237213,0.2939068377017975,0.6434540152549744,0.5163297057151794,0.4254606366157532,0.20720720291137695,0.49350646138191223,0.4633556604385376,0.4347607493400574,0.4094722270965576,0.38660910725593567,0.15645518898963928,0.3782423138618469,0.505351185798645,0.35394057631492615,0.2920386791229248,0.38671502470970154,0.43130403757095337
15,0.7692459040411648,0.7646475756843958,0.34460122747854754,0.37906390157612885,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.28985509276390076,0.6434540152549744,0.5201238393783569,0.4144427180290222,0.20720720291137695,0.49350646138191223,0.4613173305988312,0.4258319139480591,0.42660853266716003,0.37773868441581726,0.15631240606307983,0.3940025568008423,0.5304573178291321,0.35333847999572754,0.2635839283466339,0.38199499249458313,0.39851677417755127
16,0.7692298638537336,0.7665172978772542,0.3369642049074173,0.3814028040929274,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.2049180269241333,0.6434540152549744,0.5163297057151794,0.4254606366157532,0.2009132355451584,0.49350646138191223,0.4695645272731781,0.435863196849823,0.4403320252895355,0.3700810968875885,0.145538330078125,0.3959176540374756,0.5037590861320496,0.3627910017967224,0.2785898745059967,0.39651238918304443,0.3964816629886627
17,0.7687939710547327,0.7651576347499268,0.3365171104669571,0.37381489033048804,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.19999998807907104,0.6434540152549744,0.5163297057151794,0.4254606366157532,0.2009132355451584,0.49350646138191223,0.4416065216064453,0.41186994314193726,0.414969801902771,0.36547964811325073,0.16995106637477875,0.405673623085022,0.5023655295372009,0.3694747984409332,0.26491865515708923,0.37761664390563965,0.3880375623703003
18,0.7683537082654684,0.7687336622687972,0.30598488450050354,0.38155218823389575,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.08955223858356476,0.19834710657596588,0.6435506343841553,0.5163297057151794,0.4254606366157532,0.2009132355451584,0.2278480976819992,0.4779492914676666,0.4151611328125,0.44584140181541443,0.3758980631828308,0.14415134489536285,0.38612353801727295,0.5253239274024963,0.3555683195590973,0.2872733175754547,0.37351807951927185,0.41026565432548523
19,0.7683868115083391,0.7663277532544389,0.32074682820927014,0.377295045690103,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.2939068377017975,0.6435506343841553,0.5163297057151794,0.4254606366157532,0.19909502565860748,0.2278480976819992,0.48541614413261414,0.42389482259750366,0.4398651123046875,0.37438929080963135,0.15407060086727142,0.3816814720630646,0.49486011266708374,0.3354351818561554,0.30506575107574463,0.34411194920539856,0.41145506501197815
20,0.7686046066624155,0.7659352045826328,0.32023166797377844,0.3877223608168689,0.27586206793785095,0.2500000298023224,0.2764976918697357,0.2511627972126007,0.15819209814071655,0.2939068377017975,0.6434540152549744,0.5163297057151794,0.4254606366157532,0.2009132355451584,0.23076923191547394,0.47932982444763184,0.43869468569755554,0.41738075017929077,0.38812682032585144,0.16998408734798431,0.384756863117218,0.5167276263237,0.37555477023124695,0.28244125843048096,0.37200918793678284,0.43994009494781494
21,0.7688914813114912,0.7665707545263022,0.3205349960110404,0.3789522336287932,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.28985509276390076,0.6434540152549744,0.5163297057151794,0.4254606366157532,0.2009132355451584,0.2278480976819992,0.48108088970184326,0.4330384135246277,0.4080258905887604,0.37218794226646423,0.16564734280109406,0.36826640367507935,0.5196747779846191,0.3696759343147278,0.2624436020851135,0.3648782968521118,0.42355507612228394
22,0.7674697044780528,0.7662893535885994,0.32480548457665875,0.3781560171734203,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.15819209814071655,0.28985509276390076,0.6434540152549744,0.5201238393783569,0.4254606366157532,0.24409447610378265,0.2278480976819992,0.461229532957077,0.4134574830532074,0.4306808114051819,0.37661561369895935,0.14668512344360352,0.40842077136039734,0.49299806356430054,0.36457306146621704,0.2970617115497589,0.3647391200065613,0.403254896402359
23,0.768051923410984,0.7665888359821257,0.33959062736142764,0.38287290930747986,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.10000000149011612,0.28985509276390076,0.6434540152549744,0.5163297057151794,0.4254606366157532,0.2009132355451584,0.49565213918685913,0.49840301275253296,0.4232255220413208,0.42622604966163635,0.37104061245918274,0.1502225399017334,0.39486685395240784,0.5055066347122192,0.3591650426387787,0.2831267714500427,0.36905932426452637,0.43075963854789734
24,0.7685688597846511,0.7733518674125183,0.28639650073918427,0.37566186352209613,0.2808510661125183,0.2500000298023224,0.2818181812763214,0.2511627972126007,0.0875912457704544,0.19409282505512238,0.6434540152549744,0.0,0.4254606366157532,0.24242424964904785,0.49350646138191223,0.46453362703323364,0.4140782952308655,0.44609302282333374,0.37477684020996094,0.16125920414924622,0.35102078318595886,0.5071808695793152,0.3709750473499298,0.27558866143226624,0.35951095819473267,0.4072631895542145
