# model_name=local_baseline_client_1
# seed=2
# started_at=20260320-100223
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.5520865478358425,0.5607566105055417,0.6989181746136058,0.7224789207631891,0.9457364082336426,0.9343433976173401,0.991643488407135,0.9523809552192688,0.45454543828964233,0.6306695938110352,0.6741572618484497,0.5977011919021606,0.24031007289886475,0.6190476417541504,0.6475644707679749,0.9881890416145325,0.9878012537956238,1.0,1.0,0.5650495886802673,0.6839597225189209,0.6578802466392517,0.5238527059555054,0.24774640798568726,0.6839218139648438,0.608867347240448
2,0.40413152887707665,0.4368767669148593,0.7436760772358287,0.748520469123667,0.9493333697319031,0.9473684430122375,1.0,1.0,0.565055787563324,0.5923753380775452,0.6779660582542419,0.6549450755119324,0.5206185579299927,0.6337209939956665,0.639053225517273,0.9915683269500732,0.9806852340698242,1.0,1.0,0.6555755138397217,0.6878899931907654,0.6790729761123657,0.5936405062675476,0.43323448300361633,0.6352483034133911,0.576809823513031
3,0.39961362671066114,0.43589656433631996,0.7154707529328086,0.783221727067774,0.847161591053009,0.9073634147644043,0.8557692170143127,0.9600000381469727,0.632835865020752,0.6288032531738281,0.6641075015068054,0.6267029643058777,0.5192307233810425,0.6157635450363159,0.6124401688575745,0.9925862550735474,0.9930388927459717,1.0,1.0,0.7978405356407166,0.690112292766571,0.7098788619041443,0.6530598402023315,0.5279331803321838,0.6651256084442139,0.5858635306358337
4,0.343002519546411,0.3886880566258753,0.7733834656802091,0.78363513675603,0.9496021270751953,0.9448818564414978,1.0,1.0,0.8178138136863708,0.652482271194458,0.6908397674560547,0.6636569499969482,0.5404040813446045,0.6153846383094788,0.6321526169776917,0.9881425499916077,0.9880034923553467,1.0,1.0,0.8391002416610718,0.6990489959716797,0.7135928869247437,0.6544895172119141,0.48199382424354553,0.6489236950874329,0.606691300868988
5,0.3340138812095691,0.37728889332828836,0.7697136781432412,0.7999645200642672,0.9309463500976562,0.9578947424888611,0.9753424525260925,1.0,0.7896678447723389,0.6247086524963379,0.6881720423698425,0.6567900776863098,0.5773809552192688,0.6375320553779602,0.6284152865409851,0.9885433316230774,0.9862300157546997,1.0,1.0,0.8294444680213928,0.6823526620864868,0.732814371585846,0.6918202042579651,0.614619255065918,0.6608355641365051,0.6129498481750488
6,0.34882010153798393,0.3981726252945511,0.7767857963388617,0.8037064183842052,0.9493333697319031,0.9549071788787842,1.0,1.0,0.8571428656578064,0.6271185874938965,0.706080973148346,0.6384778618812561,0.5350649356842041,0.6355684995651245,0.6409494876861572,0.9853849411010742,0.9888125061988831,1.0,1.0,0.8671097755432129,0.6874120235443115,0.7297113537788391,0.6647242307662964,0.6218180060386658,0.6568527221679688,0.6389450430870056
7,0.31850830299077015,0.36156804445565727,0.7765895886854692,0.8154524618929083,0.9493333697319031,0.9538461565971375,1.0,0.9972299337387085,0.8962656259536743,0.634429395198822,0.6583850979804993,0.6322188377380371,0.5425867438316345,0.6395348906517029,0.638655424118042,0.9883549213409424,0.9896461963653564,1.0,1.0,0.9148098826408386,0.6705480813980103,0.7683025002479553,0.7374263405799866,0.6865109205245972,0.6296136975288391,0.5847645401954651
8,0.3042335859585158,0.3584802669406591,0.7824090448292819,0.8184854984283447,0.9493333697319031,0.9578947424888611,1.0,1.0,0.8527132272720337,0.6439790725708008,0.7030075192451477,0.6605504751205444,0.5614034533500671,0.6404494643211365,0.6371681690216064,0.9880852103233337,0.9936454892158508,1.0,1.0,0.9196440577507019,0.686051607131958,0.7713914513587952,0.7214704751968384,0.6931477189064026,0.6374035477638245,0.5925009250640869
9,0.29442343219514294,0.3404377570862744,0.7830488573421132,0.8199298761107705,0.9740932583808899,0.961240291595459,0.9971989393234253,0.9972299337387085,0.9327730536460876,0.6481876373291016,0.6322580575942993,0.6462395787239075,0.6120996475219727,0.599078357219696,0.6131386756896973,0.991866946220398,0.9942425489425659,1.0,1.0,0.9353564381599426,0.6858488321304321,0.7700189352035522,0.7445895671844482,0.7134338021278381,0.6137932538986206,0.5700783133506775
10,0.29478684089559337,0.34275922636881173,0.7888477932323109,0.8286010243675925,0.9493333697319031,0.963350772857666,1.0,1.0,0.9568966031074524,0.6084656119346619,0.6985815167427063,0.6359223127365112,0.581250011920929,0.638176679611206,0.645348846912384,0.9927176237106323,0.9923489093780518,1.0,1.0,0.9921871423721313,0.6753607988357544,0.7603479623794556,0.7318529486656189,0.7280012369155884,0.6372371912002563,0.604557454586029
11,0.28248428042991697,0.33887411357061953,0.7831950187683105,0.8285300460728732,0.9871464967727661,0.960629940032959,1.0,1.0,0.8809524178504944,0.6252771615982056,0.6961326003074646,0.635869562625885,0.5979381203651428,0.6184538006782532,0.6127451062202454,0.997753918170929,0.9924335479736328,1.0,1.0,0.9871229529380798,0.6851078271865845,0.7663148045539856,0.7321609854698181,0.7178191542625427,0.6280927658081055,0.6070245504379272
12,0.27782369424135256,0.3409280949689353,0.7914051847024397,0.832875669002533,0.9658792614936829,0.9578947424888611,1.0,0.9972299337387085,0.9173554182052612,0.6494117379188538,0.6693068742752075,0.6501240730285645,0.6181818246841431,0.6340057849884033,0.6460673809051514,0.9937196373939514,0.9958787560462952,1.0,1.0,0.9835666418075562,0.6843631267547607,0.7706846594810486,0.7400026321411133,0.7300651669502258,0.6448842883110046,0.6184674501419067
13,0.3003734379679292,0.3530298435491879,0.7818238464268771,0.8286413116888567,0.9421052932739258,0.9400479793548584,0.9943820238113403,0.9972299337387085,0.8880000114440918,0.6439024806022644,0.6942445635795593,0.6488889455795288,0.5674931406974792,0.6481994390487671,0.6355684995651245,0.9887840747833252,0.9966760873794556,0.9999685883522034,1.0,0.9515156149864197,0.6794863343238831,0.7691811323165894,0.7296566367149353,0.7293793559074402,0.6541209816932678,0.6162856221199036
14,0.28810411353251,0.3466397949393968,0.7889762737534263,0.8314860354770314,0.9493333697319031,0.9576719403266907,1.0,1.0,0.9487179517745972,0.6359832882881165,0.6833977103233337,0.617486298084259,0.6024845242500305,0.6420454382896423,0.6416184902191162,0.9858565330505371,0.9970698356628418,1.0,1.0,0.9865026473999023,0.6838599443435669,0.7680395841598511,0.7333342432975769,0.7180411219596863,0.6470806002616882,0.6265618801116943
15,0.3084958612700522,0.3647167533363677,0.7803968949751421,0.8349481225013733,0.9493333697319031,0.960422158241272,0.997183084487915,1.0,0.9098360538482666,0.588921308517456,0.7049179673194885,0.6488706469535828,0.5472636222839355,0.6404494643211365,0.6371681690216064,0.9872923493385315,0.994856059551239,1.0,1.0,0.9938124418258667,0.6921669840812683,0.77299565076828,0.7414908409118652,0.7430732250213623,0.6319178938865662,0.626823902130127
16,0.2685750501278119,0.3154230973729268,0.7925692417404868,0.8350659283724698,0.9576719403266907,0.9583333730697632,1.0,1.0,0.9823009371757507,0.6298850774765015,0.6480000019073486,0.6170798540115356,0.6381322741508484,0.6464087963104248,0.6404494047164917,0.9976009726524353,0.995438277721405,1.0,1.0,0.9876286387443542,0.6902697682380676,0.7707517743110657,0.7433363199234009,0.7508967518806458,0.6246628761291504,0.6251398324966431
17,0.270504436759285,0.32681136895686225,0.7902593179182573,0.8322415026751432,0.9521276354789734,0.9578947424888611,1.0,0.9972299337387085,0.9487179517745972,0.6197916865348816,0.6862385272979736,0.6666666865348816,0.5864198207855225,0.6335078477859497,0.644257664680481,0.9952202439308167,0.9930136203765869,1.0,1.0,0.9973289370536804,0.6883377432823181,0.7660890817642212,0.7308794856071472,0.7308802604675293,0.6216803789138794,0.6312267780303955
18,0.27130917184082143,0.3190047282187551,0.7962636189027266,0.8314668427814137,0.960422158241272,0.9774435758590698,1.0,0.9944751262664795,0.9866666793823242,0.648421049118042,0.6544715166091919,0.6304348111152649,0.6494465470314026,0.6366196870803833,0.6204986572265625,0.9926737546920776,0.9988716244697571,1.0,1.0,0.9960417747497559,0.6870259642601013,0.773449718952179,0.740906298160553,0.7488832473754883,0.6079043745994568,0.6003785133361816
19,0.2626828739603797,0.32037345795352457,0.7905158400535583,0.8336030407385393,0.9897959232330322,0.9740932583808899,1.0,0.9917355179786682,0.9652174115180969,0.6266666650772095,0.6746506094932556,0.6312997341156006,0.6174495816230774,0.6213592290878296,0.6034063100814819,0.9977651834487915,0.997258722782135,1.0,1.0,0.9995062351226807,0.6778051853179932,0.7699974179267883,0.748778760433197,0.7553049921989441,0.6166492104530334,0.6065677404403687
20,0.27715951204299927,0.3270109858656714,0.7932341965762052,0.8296843442049894,0.9819121360778809,0.9772151708602905,1.0,0.9944751262664795,0.9688888788223267,0.6044444441795349,0.6653306484222412,0.6526315808296204,0.6266666650772095,0.6368421316146851,0.6171693801879883,0.9974105358123779,0.9963002800941467,1.0,1.0,0.9841573238372803,0.6680991053581238,0.7498012185096741,0.7408215403556824,0.7460474967956543,0.6295425891876221,0.6143476963043213
21,0.2917790861575158,0.3493876669698921,0.7817680456421592,0.8343993750485507,0.9766233563423157,0.9845360517501831,1.0,1.0,0.9493087530136108,0.6285714507102966,0.6139955520629883,0.5762711763381958,0.649789035320282,0.5981308817863464,0.6222222447395325,0.9952008724212646,0.9972243309020996,1.0,1.0,0.9813616275787354,0.6752643585205078,0.7757155895233154,0.7493306994438171,0.7515277862548828,0.6363583207130432,0.6164095401763916
22,0.2733740182695808,0.3333703240812152,0.7809811993078752,0.8318113630468195,0.9685863852500916,0.9685863852500916,1.0,1.0,0.9061225056648254,0.5433525443077087,0.6975089907646179,0.6415094137191772,0.5775076150894165,0.6424580812454224,0.6451612710952759,0.9947512745857239,0.9988793730735779,1.0,1.0,0.9985226392745972,0.6676758527755737,0.7741472721099854,0.7327557802200317,0.722780168056488,0.6348637342453003,0.6255488991737366
23,0.26561038681875654,0.3244788877979275,0.7941054539246992,0.8372865427624095,0.9549071788787842,0.9793814420700073,0.994350254535675,0.9972299337387085,0.9823009371757507,0.6275510191917419,0.7042253017425537,0.6465115547180176,0.5616044998168945,0.6480446457862854,0.639053225517273,0.9941595792770386,0.9986761212348938,1.0,1.0,0.999421238899231,0.6886928677558899,0.7728046178817749,0.7391051650047302,0.744239091873169,0.6296728253364563,0.6433804631233215
24,0.2783780962556273,0.3335966873212532,0.7836285721171986,0.8373144594105807,0.9355608820915222,0.9712793827056885,0.967391312122345,0.9972299337387085,0.9694323539733887,0.606965184211731,0.6846153736114502,0.6410256028175354,0.6245847940444946,0.617710530757904,0.6041189432144165,0.9979749917984009,0.9981549978256226,0.9999685883522034,1.0,0.9984477162361145,0.6785200834274292,0.7701950073242188,0.7516470551490784,0.7538443803787231,0.6236398816108704,0.6380663514137268
25,0.2916588014735407,0.34383333513897996,0.7745304649526422,0.8262739398262717,0.9377990961074829,0.9819121360778809,0.9393139481544495,0.9972299337387085,0.9487179517745972,0.6447368264198303,0.6705202460289001,0.6271604299545288,0.5454545617103577,0.6249999403953552,0.6019900441169739,0.9986490607261658,0.999719500541687,1.0,1.0,0.9985354542732239,0.6831535696983337,0.7583838105201721,0.7203134894371033,0.6856703758239746,0.6262477040290833,0.6183403730392456
26,0.26712372451474814,0.3188474307984277,0.7933594963767312,0.8316353505307977,0.9897959232330322,0.9796954393386841,1.0,0.9944751262664795,0.9779735803604126,0.6298850774765015,0.6707070469856262,0.6299212574958801,0.6202090978622437,0.6226414442062378,0.6116504669189453,0.9976326823234558,0.99859619140625,1.0,1.0,0.9904470443725586,0.6882734298706055,0.7666110396385193,0.7487120628356934,0.7373999357223511,0.6196145415306091,0.6007019281387329
27,0.26454319600220566,0.3288988200794408,0.7908519506454468,0.8317530859600414,0.9521276354789734,0.9739583730697632,1.0,0.9944751262664795,0.9736841917037964,0.6338027715682983,0.6851851940155029,0.6380952596664429,0.5714285373687744,0.6331360936164856,0.643478274345398,0.9905411005020142,0.9989266991615295,1.0,1.0,0.9969155788421631,0.6762307286262512,0.7642519474029541,0.7461046576499939,0.735559344291687,0.6330605745315552,0.6076933145523071
28,0.2576539181309305,0.3159240345305455,0.7926256114786322,0.8348455158146945,0.960422158241272,0.9712793827056885,1.0,0.9944751262664795,0.9866666793823242,0.6284289360046387,0.6918919086456299,0.6550218462944031,0.560693621635437,0.6351706385612488,0.634831428527832,0.9961528778076172,0.998109757900238,1.0,1.0,0.9987108111381531,0.682166576385498,0.7659429311752319,0.744642972946167,0.7384667992591858,0.6412774324417114,0.6178305149078369
29,0.26299002635609975,0.32053634818554794,0.7883411104028876,0.8338256586681713,0.9744898080825806,0.9793814420700073,1.0,0.9944751262664795,0.9736841917037964,0.6297029256820679,0.6271929740905762,0.6037735939025879,0.642201840877533,0.6278026700019836,0.6190476417541504,0.996126651763916,0.9982650279998779,1.0,1.0,0.999421238899231,0.6764625906944275,0.7677372097969055,0.7485047578811646,0.7526183724403381,0.6274842619895935,0.6054621338844299
30,0.26539367734840064,0.3256586058920001,0.7873106707226146,0.8301373828541149,0.9846938848495483,0.9655172228813171,1.0,0.9917355179786682,0.9568966031074524,0.6403161883354187,0.6004619002342224,0.6340057849884033,0.6441947221755981,0.6200465559959412,0.6225489974021912,0.9964826703071594,0.9976934790611267,1.0,1.0,0.9932323694229126,0.6757472157478333,0.7669827938079834,0.7467433214187622,0.7387802004814148,0.6102344989776611,0.6056146621704102
31,0.2538047886484272,0.3134197613983747,0.7907205278223212,0.8315589157017794,0.9770992398262024,0.9720101952552795,1.0,0.9944751262664795,0.9823009371757507,0.6263982653617859,0.6589147448539734,0.6126582026481628,0.6296295523643494,0.6218905448913574,0.6225489974021912,0.9954484701156616,0.9978815913200378,1.0,1.0,1.0,0.6694334149360657,0.7604306936264038,0.7403975129127502,0.7326195240020752,0.6245742440223694,0.6263626217842102
32,0.2514659197994204,0.3201483334712616,0.7924125682223927,0.8315958272327076,0.9872123003005981,0.9767441749572754,1.0,0.9944751262664795,0.9779735803604126,0.6056644320487976,0.6543967127799988,0.637532114982605,0.646258533000946,0.6221080422401428,0.6141732335090637,0.9964216351509094,0.9941617846488953,1.0,1.0,0.9889815449714661,0.6679195761680603,0.7630984783172607,0.7479693293571472,0.7549952864646912,0.6203749775886536,0.6136314868927002
33,0.24804532047593114,0.32159845620884103,0.7953809553926642,0.8311107754707336,0.9846153855323792,0.9766233563423157,1.0,0.9972299337387085,0.9688888788223267,0.625,0.7029877305030823,0.6359223127365112,0.585669755935669,0.6305419206619263,0.6417112350463867,0.998124897480011,0.9978668093681335,1.0,1.0,0.99637770652771,0.6702538132667542,0.7585647702217102,0.7494412064552307,0.736320972442627,0.6169540882110596,0.618314266204834
34,0.2514537534652612,0.3216750948694986,0.784351413900202,0.8262869932434775,0.9660574197769165,0.9721519351005554,1.0,0.9944751262664795,0.9652174115180969,0.6060605645179749,0.646934449672699,0.604651153087616,0.6255143880844116,0.617647111415863,0.6291559934616089,0.9973740577697754,0.9974320530891418,1.0,1.0,0.9743562936782837,0.6649706959724426,0.7589461803436279,0.7376275062561035,0.7440404295921326,0.6045869588851929,0.6098227500915527
35,0.2466031946105398,0.33634356786607605,0.7883066860112277,0.8325100432742726,0.96875,0.9660574197769165,1.0,1.0,0.9769585132598877,0.6289592385292053,0.6640471816062927,0.6129870414733887,0.5949366688728333,0.6201550364494324,0.6385224461555481,0.9951431155204773,0.998367190361023,1.0,1.0,1.0,0.6741674542427063,0.7670205235481262,0.7496595978736877,0.7378661036491394,0.630125880241394,0.6052606105804443
36,0.24510754898681744,0.32871450565523813,0.7913644042882052,0.8267341472885825,0.9714285731315613,0.9658792614936829,1.0,1.0,0.9446808695793152,0.6384977102279663,0.7037701606750488,0.6394230723381042,0.5974025726318359,0.6165803670883179,0.627345860004425,0.9970535039901733,0.9977588653564453,1.0,1.0,0.968123733997345,0.6828373670578003,0.7617724537849426,0.74609375,0.7363811731338501,0.6005373001098633,0.603517472743988
37,0.2463661240134047,0.33064420790951254,0.7915358597582037,0.8258800398219716,0.96875,0.9680589437484741,1.0,0.9917355179786682,0.9779735803604126,0.6443514227867126,0.6692913174629211,0.6310160756111145,0.6300366520881653,0.6065163016319275,0.6191646456718445,0.9953895807266235,0.9997236728668213,1.0,1.0,0.9845507144927979,0.6621085405349731,0.7596205472946167,0.7451938390731812,0.7461420297622681,0.5929148197174072,0.599036693572998
38,0.2568545177742675,0.34972597835704655,0.7816993160681291,0.8185141628438776,0.960422158241272,0.9820051193237305,1.0,0.9917355179786682,0.9694323539733887,0.585365891456604,0.6858108043670654,0.6266666650772095,0.5411764979362488,0.6337209939956665,0.6223564743995667,0.997389018535614,0.998795211315155,1.0,1.0,0.9833241701126099,0.6600257754325867,0.7424578070640564,0.7174397110939026,0.7003309726715088,0.6114263534545898,0.5924667716026306
39,0.24894874158141378,0.3317036687565024,0.7890955805778503,0.8260294469920072,0.9740932583808899,0.9631578922271729,1.0,1.0,0.9568966031074524,0.6118143200874329,0.6744186282157898,0.6461538672447205,0.6118420958518982,0.6209850311279297,0.6206896901130676,0.9935309886932373,0.9972509145736694,1.0,1.0,0.9823136329650879,0.6482682824134827,0.7596659660339355,0.7425941228866577,0.7478360533714294,0.595423698425293,0.6194402575492859
40,0.26690202465642504,0.3376645243963332,0.7848360267552462,0.8315127112648704,0.9680589437484741,0.960422158241272,0.9888889193534851,1.0,0.9910714030265808,0.5761904120445251,0.6527196764945984,0.6324324607849121,0.6222222447395325,0.6165048480033875,0.6246852278709412,0.9990247488021851,0.9942157864570618,1.0,1.0,0.9999195337295532,0.6567619442939758,0.7579823732376099,0.7469630241394043,0.7406460642814636,0.6270897388458252,0.6240366101264954
41,0.25444927151168223,0.33072652208739706,0.7835616740313444,0.8320796923203901,0.9820051193237305,0.961240291595459,1.0,1.0,0.9367088675498962,0.6097560524940491,0.6275395154953003,0.6438746452331543,0.6229507923126221,0.6035242080688477,0.6315789222717285,0.9980481863021851,0.9943870306015015,1.0,1.0,0.9992645978927612,0.6583471894264221,0.7672392725944519,0.7502159476280212,0.7406548857688904,0.6150045990943909,0.6297149062156677
42,0.2610835966828105,0.34578820594485976,0.7803915468129244,0.8311038234017112,0.979797899723053,0.9506493806838989,0.9944133758544922,0.9972299337387085,0.8951612710952759,0.6244542002677917,0.6167800426483154,0.639118492603302,0.6209677457809448,0.6261682510375977,0.6395664215087891,0.997267484664917,0.9931546449661255,1.0,1.0,0.9910088777542114,0.6586293578147888,0.7687126398086548,0.7508105635643005,0.7385344505310059,0.6140992045402527,0.6299248337745667
43,0.26265152442804623,0.3339307888988167,0.7821081226522272,0.8290010744875128,0.882882833480835,0.9616368412971497,0.9726775884628296,1.0,0.9910714030265808,0.6332574486732483,0.6837944388389587,0.6327078342437744,0.5980066657066345,0.6168224811553955,0.630331814289093,0.9970268607139587,0.996772825717926,1.0,1.0,0.9954515099525452,0.6652855277061462,0.7694329619407654,0.7487987875938416,0.7223477959632874,0.612593948841095,0.611301600933075
44,0.26756758654947244,0.3423809956697921,0.7860412435098127,0.825215220451355,0.9465649127960205,0.9556135535240173,0.9944133758544922,1.0,0.9367088675498962,0.6462882161140442,0.677354633808136,0.6393862366676331,0.5850340127944946,0.6177214980125427,0.6473683714866638,0.9922129511833191,0.9962712526321411,1.0,1.0,0.9957424998283386,0.6857492327690125,0.7617383003234863,0.720772922039032,0.6560214757919312,0.6349873542785645,0.6338714361190796
45,0.25174767401192216,0.3175900789076493,0.7949423248117621,0.8330243229866028,0.9768637418746948,0.9743590354919434,0.9971989393234253,1.0,0.9694323539733887,0.6523605585098267,0.6652806401252747,0.6201117038726807,0.63670414686203,0.6137565970420837,0.6382978558540344,0.9952442646026611,0.9976606369018555,1.0,1.0,0.9759556651115417,0.6812263131141663,0.7643413543701172,0.7427049875259399,0.7344678640365601,0.6319481134414673,0.6397183537483215
46,0.24883685007200138,0.32443938492856905,0.7931193113327026,0.8292052258144725,0.9576719403266907,0.9662337899208069,1.0,1.0,0.9823009371757507,0.62269127368927,0.7001795172691345,0.6575964093208313,0.5604395270347595,0.6410958766937256,0.6361031532287598,0.9958756566047668,0.9972583055496216,1.0,1.0,0.9756097793579102,0.6870822310447693,0.7631554007530212,0.742027997970581,0.7222816944122314,0.6222696304321289,0.6156967878341675
47,0.26003610083471723,0.34907950697912815,0.7843327251347628,0.8279577710411765,0.9576719403266907,0.9631578922271729,1.0,1.0,0.9487179517745972,0.5635359287261963,0.6976744532585144,0.6372092962265015,0.5882352590560913,0.6300578117370605,0.6413994431495667,0.9948216080665588,0.9970340132713318,1.0,1.0,0.9975981712341309,0.6695383191108704,0.757573664188385,0.7412050366401672,0.7326401472091675,0.6067100167274475,0.6104145050048828
48,0.2626317567277304,0.33441370703838424,0.7880069667642767,0.8284873312169855,0.9578164219856262,0.960422158241272,0.9888889193534851,1.0,0.9779735803604126,0.6105262637138367,0.6706114411354065,0.6580086946487427,0.5722891092300415,0.6198546886444092,0.651685357093811,0.9950640797615051,0.9960254430770874,1.0,1.0,0.9874669313430786,0.6734060049057007,0.7645048499107361,0.743105947971344,0.7307653427124023,0.6089974045753479,0.6140246391296387
49,0.2554734487891634,0.3339245494257597,0.7946618036790327,0.8234135400165211,0.9766233563423157,0.9775561094284058,1.0,1.0,0.9683258533477783,0.6388206481933594,0.6970227956771851,0.6545455455780029,0.5658263564109802,0.6304348111152649,0.6321243643760681,0.9974809885025024,0.9992369413375854,1.0,1.0,0.9685711860656738,0.6662411093711853,0.7681697010993958,0.7337594032287598,0.7030179500579834,0.6068235039710999,0.6142481565475464
50,0.26272156818227455,0.3318387493899797,0.786235511302948,0.8328702395612543,0.9746192693710327,0.963350772857666,0.9944133758544922,1.0,0.9734513759613037,0.5920745730400085,0.6985294222831726,0.6361185908317566,0.6233766078948975,0.5964125394821167,0.5962440967559814,0.9968951940536499,0.9954400658607483,1.0,1.0,0.972244381904602,0.6585278511047363,0.7686030268669128,0.7460771799087524,0.7538707852363586,0.6387475728988647,0.6311665773391724
51,0.24260268717895062,0.32171239985844335,0.7876823923804543,0.8326482176780701,0.9794871807098389,0.9746192693710327,1.0,0.9917355179786682,0.9568966031074524,0.6382978558540344,0.6599190831184387,0.6379746794700623,0.5898305177688599,0.605911374092102,0.6298342347145081,0.9972033500671387,0.9979298710823059,1.0,1.0,0.9800843000411987,0.6800481677055359,0.7623137831687927,0.750766932964325,0.7374169230461121,0.6344109177589417,0.6189561486244202
52,0.2364903811242554,0.3265871119019754,0.7942954247648065,0.8308378458023071,0.9740932583808899,0.9770992398262024,1.0,0.9972299337387085,0.9865471124649048,0.6407322287559509,0.6914498209953308,0.6370370388031006,0.5796178579330444,0.6194225549697876,0.6340206265449524,0.9958552122116089,0.9988074898719788,1.0,1.0,0.999679684638977,0.678179919719696,0.764991283416748,0.7433357238769531,0.7243953347206116,0.6188323497772217,0.6151393055915833
53,0.24404430585903125,0.3339883286294815,0.7929204973307523,0.8260205767371438,0.9819121360778809,0.9685863852500916,1.0,0.9972299337387085,0.9727272987365723,0.5973333716392517,0.6846543550491333,0.6450115442276001,0.5975609421730042,0.6267030239105225,0.6504064798355103,0.9965354204177856,0.9971095323562622,1.0,1.0,0.9604081511497498,0.6652795672416687,0.7533371448516846,0.7483399510383606,0.7332921624183655,0.6134692430496216,0.618455171585083
54,0.24058854754591164,0.3334568500164658,0.7937846779823303,0.8262413469227877,0.9739583730697632,0.9768637418746948,1.0,1.0,0.9646017551422119,0.6385809779167175,0.6744186282157898,0.6469135880470276,0.59333336353302,0.6240000128746033,0.6389610171318054,0.9939996600151062,0.9971346259117126,1.0,1.0,0.9982244968414307,0.6711852550506592,0.7536301612854004,0.7440624833106995,0.7110599279403687,0.6035274267196655,0.6158307790756226
