# model_name=local_baseline_client_0
# seed=0
# started_at=20260327-090838
epoch,train_loss,val_loss,val_macro_minF1,val_macro_pr_auc,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1,val_deg-in_pr_auc,val_deg-out_pr_auc,val_fan-in_pr_auc,val_fan-out_pr_auc,val_C2_pr_auc,val_C3_pr_auc,val_C4_pr_auc,val_C5_pr_auc,val_C6_pr_auc,val_S-G_pr_auc,val_B-C_pr_auc
1,0.9988953103658189,1.0781735532984669,0.3607203835113482,0.44970946555787866,0.6919540166854858,0.7067669034004211,0.7678301334381104,0.7443181872367859,0.43137258291244507,0.16438357532024384,0.11663807928562164,0.04205607250332832,0.045698925852775574,0.14077670872211456,0.11612903326749802,0.987186849117279,0.8419250845909119,0.8890470862388611,0.9170536398887634,0.4681829810142517,0.091034896671772,0.2791993021965027,0.059213705360889435,0.09138938784599304,0.13206107914447784,0.1905101090669632
2,0.6727824343575372,0.7782702042754432,0.43697991289875726,0.4849779097871347,0.8415672779083252,0.7393526434898376,0.8440366983413696,0.7749999761581421,0.5841583609580994,0.1666666716337204,0.2594142258167267,0.08433734625577927,0.1043478325009346,0.21538463234901428,0.1925133764743805,0.9348257184028625,0.8297252655029297,0.9316986799240112,0.8743907809257507,0.5998860001564026,0.25830554962158203,0.2741847634315491,0.06786265224218369,0.10409174859523773,0.23599457740783691,0.22379127144813538
3,0.6978990277673445,0.7628807221684802,0.39206706427715043,0.5102788020264019,0.7727856040000916,0.7792208194732666,0.7541899085044861,0.757079005241394,0.5461121201515198,0.078125,0.17632241547107697,0.051575932651758194,0.0696721225976944,0.15816326439380646,0.16949151456356049,0.9918829798698425,0.9340023994445801,0.9943815469741821,0.9444501996040344,0.600923478603363,0.26057127118110657,0.27888497710227966,0.08591470122337341,0.12186053395271301,0.21519973874092102,0.18499499559402466
4,0.6556654802099398,1.1120582810920396,0.5182838961482048,0.5317251187833872,0.9593220353126526,0.8319672346115112,0.9648798704147339,0.847161591053009,0.522088348865509,0.4137931168079376,0.3414634168148041,0.09090908616781235,0.1886792629957199,0.3199999928474426,0.22085890173912048,0.9872105121612549,0.9695428609848022,0.9956448078155518,0.9860016107559204,0.673678457736969,0.33210399746894836,0.2568040192127228,0.09634963423013687,0.1421472728252411,0.22817176580429077,0.18132136762142181
5,0.46479478998789714,0.6528773020407663,0.5037669214335355,0.5515106997706674,0.9389830231666565,0.8848685026168823,0.9907918572425842,0.9138839840888977,0.6823529601097107,0.22580645978450775,0.2594142258167267,0.09859155118465424,0.1011904776096344,0.2626262605190277,0.18292683362960815,0.9853641986846924,0.9761995673179626,0.9996458888053894,0.9929971694946289,0.7203091382980347,0.4226447343826294,0.25438982248306274,0.09540042281150818,0.146223783493042,0.27409806847572327,0.19934490323066711
6,0.40898808443939294,0.6609302912764297,0.5098023231733929,0.5466671735048294,0.9362415671348572,0.9019607901573181,0.9853479862213135,0.9128919839859009,0.6666666269302368,0.260869562625885,0.21587301790714264,0.08888889104127884,0.13452914357185364,0.22053231298923492,0.2840236723423004,0.9888643026351929,0.9911118745803833,0.9992141723632812,0.9995389580726624,0.7356718182563782,0.33740031719207764,0.2539714574813843,0.1269817054271698,0.17431879043579102,0.2020268589258194,0.2042386531829834
7,0.37301449941628145,0.6044426616120896,0.5274495482444763,0.5637810988859697,0.9309791326522827,0.9513888955116272,0.9540635943412781,0.9757913947105408,0.7031964063644409,0.1975308507680893,0.23741008341312408,0.09859155118465424,0.15962442755699158,0.22413791716098785,0.3692307770252228,0.9891214370727539,0.9948807954788208,0.9991005063056946,0.999956488609314,0.7614735960960388,0.32459941506385803,0.24534006416797638,0.11715154349803925,0.17936623096466064,0.280278742313385,0.3103232681751251
8,0.40429557148499073,0.6334631208417454,0.5126698735085401,0.5653617327863519,0.9540033936500549,0.9585584998130798,0.9908257126808167,0.9776118993759155,0.5895522236824036,0.19512195885181427,0.18518517911434174,0.09756097197532654,0.11034482717514038,0.2300884872674942,0.3505154550075531,0.9908193349838257,0.9863804578781128,0.9996761679649353,0.9997314214706421,0.8029784560203552,0.3556184470653534,0.21572647988796234,0.11631259322166443,0.1426110416650772,0.27789416909217834,0.331230491399765
9,0.40850954658382543,0.7191009635305052,0.5029588409445502,0.5508833994919603,0.9407665729522705,0.8566552996635437,0.9852398633956909,0.8710280656814575,0.6859903335571289,0.11510791629552841,0.27619048953056335,0.08421053737401962,0.14035087823867798,0.27807489037513733,0.29893240332603455,0.9835602641105652,0.9495725631713867,0.9991443157196045,0.9553194046020508,0.7417541146278381,0.2812870442867279,0.2680051922798157,0.11877385526895523,0.18827542662620544,0.25066903233528137,0.32335618138313293
10,0.47293989187486296,1.1526167877339202,0.5494986271316354,0.5775913243943994,0.9372822642326355,0.9511754512786865,0.9619772434234619,0.9923664331436157,0.6601306796073914,0.3809524178504944,0.42424240708351135,0.12765957415103912,0.21176470816135406,0.1785714477300644,0.21836227178573608,0.989571750164032,0.989936351776123,0.998065710067749,0.9996537566184998,0.7179702520370483,0.3453209400177002,0.33678925037384033,0.12971317768096924,0.17821404337882996,0.2258797287940979,0.4423896074295044
