timestamp_iso,model,n_runs,seeds,macro_mean_prauc,deg-in_mean_prauc,deg-out_mean_prauc,fan-in_mean_prauc,fan-out_mean_prauc,C2_mean_prauc,C3_mean_prauc,C4_mean_prauc,C5_mean_prauc,C6_mean_prauc,S-G_mean_prauc,B-C_mean_prauc,deg-in_std_prauc,deg-out_std_prauc,fan-in_std_prauc,fan-out_std_prauc,C2_std_prauc,C3_std_prauc,C4_std_prauc,C5_std_prauc,C6_std_prauc,S-G_std_prauc,B-C_std_prauc,runtime
2026-03-19T18:01:11,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=auto, num_layers=2, neighbors_per_hop=[10, 4], batch_size=32",3,"0,1,2",88.74,100.0,100.0,100.0,100.0,97.96,66.28,86.23,85.18,88.2,75.39,76.86,0.0,0.0,0.0,0.0,0.09,0.31,0.13,0.29,0.29,0.34,0.13,00:14:41
2026-03-24T10:02:46,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=auto, num_layers=3, neighbors_per_hop=[10, 10, 5], batch_size=32",3,"0,1,2",92.56,100.0,100.0,100.0,100.0,99.31,98.88,87.31,86.76,89.91,77.62,78.41,0.0,0.0,0.0,0.0,0.27,0.2,0.11,0.11,0.06,0.15,0.34,01:03:11
2026-03-24T15:59:54,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=None, num_layers=3, neighbors_per_hop=[10, 10, 5], batch_size=32",3,"0,1,2",92.18,100.0,100.0,100.0,100.0,97.33,97.19,87.16,86.85,89.83,77.3,78.31,0.0,0.0,0.0,0.0,1.41,0.85,0.12,0.13,0.06,0.27,0.04,00:47:25
2026-03-27T00:18:47,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=None, num_layers=2, neighbors_per_hop=[10, 4], batch_size=32",3,"0,1,2",88.83,100.0,100.0,100.0,100.0,98.07,66.78,86.15,85.11,87.89,75.68,77.46,0.0,0.0,0.0,0.0,0.56,0.12,0.2,0.39,0.4,0.17,0.34,00:46:45
2026-03-27T20:08:52,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=auto, num_layers=2, neighbors_per_hop=[15, 10], batch_size=32",3,"0,1,2",88.98,100.0,100.0,100.0,100.0,97.77,67.21,86.39,85.43,88.09,76.35,77.52,0.0,0.0,0.0,0.0,1.75,0.11,0.07,0.07,0.11,0.16,0.29,00:29:53
2026-03-28T09:36:13,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=None, num_layers=2, neighbors_per_hop=[15, 10], batch_size=32",3,"0,1,2",88.57,100.0,100.0,100.0,100.0,96.12,66.54,85.73,85.16,87.82,75.57,77.29,0.0,0.0,0.0,0.0,2.14,0.29,0.24,0.01,0.07,0.22,0.07,00:32:57
2026-03-28T09:56:46,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=None, num_layers=3, neighbors_per_hop=[15, 10, 5], batch_size=32",3,"0,1,2",92.37,100.0,99.99,100.0,100.0,98.28,97.86,87.13,86.95,89.88,77.62,78.37,0.0,0.01,0.0,0.0,1.17,1.05,0.17,0.22,0.18,0.18,0.3,00:47:49
2026-03-28T10:09:14,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=auto, num_layers=3, neighbors_per_hop=[15, 10, 5], batch_size=32",3,"0,1,2",92.56,100.0,100.0,100.0,100.0,99.17,98.84,87.32,86.8,89.88,77.53,78.65,0.0,0.0,0.0,0.0,0.16,0.16,0.07,0.1,0.07,0.22,0.14,00:50:49
2026-03-28T12:17:58,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=auto, num_layers=6, neighbors_per_hop=[10, 10, 10, 10, 5, 5], batch_size=32",3,"0,1,2",98.15,100.0,100.0,100.0,100.0,99.63,99.6,99.68,93.51,88.57,99.34,99.3,0.0,0.0,0.0,0.0,0.34,0.02,0.05,5.71,0.06,0.22,0.2,02:49:47
2026-03-28T12:23:53,"PNA reverse MP with mini-batch training, port numbers=True, & ego IDs=True, seeds=[0, 1, 2], weighting=auto, num_layers=6, neighbors_per_hop=[15, 15, 10, 10, 5, 5], batch_size=32",3,"0,1,2",98.27,100.0,100.0,100.0,100.0,99.85,99.56,99.8,94.19,88.94,99.46,99.18,0.0,0.0,0.0,0.0,0.07,0.13,0.01,6.01,0.33,0.08,0.31,02:49:33
